,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,122.57,411.62,388.36,428.81,312.08,275.49,-
1,Short-Term Investments,-,-,-,-,2.03,2.13,-
2,Cash & Short-Term Investments,122.57,411.62,388.36,428.81,314.11,277.62,-
3,Cash Growth,-68.44%,-4.01%,23.64%,54.46%,-,-,-
4,Accounts Receivable,388.39,374.68,400.24,310.27,252.32,212.46,-
5,Other Receivables,269.16,1.3,7.65,1.86,1.97,2.39,-
6,Receivables,657.56,375.98,407.89,312.13,254.3,214.85,-
7,Inventory,15.75,3.42,43.42,43.13,42.39,42.25,-
8,Prepaid Expenses,0.19,0.32,0,0,-,-,-
9,Other Current Assets,4.54,6.89,3.75,9,37.59,30.86,-
10,Total Current Assets,800.61,798.23,843.41,793.07,648.38,565.58,-
11,"Property, Plant & Equipment",50.86,52.47,54.1,55.38,55.62,57.4,-
12,Other Intangible Assets,0.88,1.08,1.28,1.46,1.75,1.81,-
13,Long-Term Deferred Tax Assets,7.62,6.61,9.73,8.73,10.29,9.62,-
14,Long-Term Deferred Charges,3.07,2.9,0.49,0.6,-,-,-
15,Other Long-Term Assets,38.63,39.5,-,-,-,-,-
16,Total Assets,901.67,900.8,909.01,859.24,716.04,634.4,-
17,Accounts Payable,90.91,106.53,112.91,93.74,173.64,137.53,-
18,Accrued Expenses,29.19,34.33,34.01,48.92,54.03,55.79,-
19,Short-Term Debt,8.01,-,-,-,0.02,0.6,-
20,Current Portion of Leases,0.83,0.95,2.64,2.4,0.75,0.73,-
21,Current Income Taxes Payable,4.56,1.82,8.1,7.93,8.66,6.53,-
22,Current Unearned Revenue,63.08,72.14,54.37,54.97,66.1,60.85,-
23,Other Current Liabilities,157.69,159.58,161.07,145.24,68.96,69.49,-
24,Total Current Liabilities,354.27,375.36,373.11,353.2,372.16,331.51,-
25,Long-Term Debt,-,-,-,-,0.97,-,-
26,Long-Term Leases,1.76,1.74,1.71,2.69,2.5,2.44,-
27,Total Liabilities,356.03,377.1,374.82,355.89,375.63,333.95,-
28,Common Stock,133.34,133.34,133.34,133.34,100,100,-
29,Additional Paid-In Capital,213.92,208.8,220.8,208.8,-,-,-
30,Retained Earnings,194.16,177.61,170.46,152.56,115.76,75.7,-
31,Comprehensive Income & Other,-,-,5.68,5.53,122.4,123.18,-
32,Total Common Equity,541.42,519.76,530.28,500.23,338.16,298.88,-
33,Minority Interest,4.21,3.95,3.9,3.12,2.25,1.57,-
34,Shareholders' Equity,545.63,523.71,534.18,503.35,340.41,300.44,-
35,Total Liabilities & Equity,901.67,900.8,909.01,859.24,716.04,634.4,-
36,Total Debt,10.61,2.69,4.36,5.1,4.23,3.77,-
37,Net Cash (Debt),111.97,408.93,384,423.72,309.88,273.85,-
38,Net Cash Growth,-70.84%,-3.49%,23.92%,54.73%,-,-,-
39,Net Cash Per Share,0.83,3.09,2.90,3.19,3.09,2.74,-
40,Filing Date Shares Outstanding,133.34,133.34,133.34,133.34,133.34,133.34,100
41,Total Common Shares Outstanding,133.34,133.34,133.34,133.34,133.34,100,100
42,Working Capital,446.34,422.88,470.3,439.87,276.22,234.06,-
43,Book Value Per Share,4.06,3.90,3.98,3.75,2.54,2.99,-
44,Tangible Book Value,540.55,518.67,529,498.77,336.41,297.07,-
45,Tangible Book Value Per Share,4.05,3.89,3.97,3.74,2.52,2.97,-
46,Buildings,41.79,41.79,41.79,41.79,-,-,-
47,Machinery,31.33,30.03,28.79,27.23,70.31,69.59,-
