,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,922.36,1559,1521,1666,1604,1666,1939,1974,1810,2201,Upgrade
1,Short-Term Investments,-,17.38,107.89,-,-,-,-,17.25,55.19,42.29,Upgrade
2,Trading Asset Securities,179.88,179.44,178.01,179.37,198.28,25.6,18.82,-,22.04,-,Upgrade
3,Cash & Short-Term Investments,1102,1756,1807,1846,1802,1692,1958,1992,1888,2243,Upgrade
4,Cash Growth,-39.00%,-4.88%,0.28%,9.12%,-7.96%,-15.07%,3.71%,-11.21%,-13.73%,4.53%,Upgrade
5,Accounts Receivable,46.93,56.33,62.79,67.13,78.01,190.06,177.38,1635,113.83,179.43,Upgrade
6,Other Receivables,74.79,42.99,2.84,100.03,96.31,59.94,-,-,-,-,Upgrade
7,Receivables,121.71,99.31,65.63,167.16,174.32,250,177.38,1635,113.83,179.43,Upgrade
8,Prepaid Expenses,23.32,26.25,27.6,22.69,26.1,30.08,35.08,44.04,51.25,47.29,Upgrade
9,Other Current Assets,27,26.97,-,-,-,-,-,-,-,395.55,Upgrade
10,Total Current Assets,1274,1908,1900,2036,2002,1972,2170,3671,2053,2865,Upgrade
11,"Property, Plant & Equipment",188.2,202.39,179.88,197.35,218.59,238.4,249.66,208.56,212.08,235.49,Upgrade
12,Long-Term Investments,2089,2353,2362,2289,2493,3244,2952,2219,1988,1616,Upgrade
13,Other Intangible Assets,11.43,12.73,14.12,15.69,13.43,14.93,15.36,16.36,17.2,15.41,Upgrade
14,Long-Term Deferred Tax Assets,3.59,3.41,3.42,3.09,1.79,1.54,1.64,1.1,0.27,-,Upgrade
15,Other Long-Term Assets,194.85,198.37,193.01,207.1,202.95,199.41,199.57,183.65,166.76,180.16,Upgrade
16,Total Assets,3761,4678,4653,4748,4932,5670,5588,6299,4437,4913,Upgrade
17,Accrued Expenses,45.23,50.4,51.84,95.54,124.11,221.21,132,494.33,167.46,308.25,Upgrade
18,Current Portion of Long-Term Debt,1.15,1.17,74.13,76.05,-,-,0.87,86.5,-,-,Upgrade
19,Current Portion of Leases,13.31,14.45,18.08,19.52,19.16,19.77,19.01,12.46,26.9,28.06,Upgrade
20,Current Income Taxes Payable,-,-,-,-,-,-,188.28,170.77,13.8,40.64,Upgrade
21,Other Current Liabilities,35.23,962.55,70.53,43.9,39.26,44.93,40.86,64.75,37.23,43.13,Upgrade
22,Total Current Liabilities,94.91,1029,214.58,235.02,182.53,285.91,381.02,828.81,245.4,420.08,Upgrade
23,Long-Term Debt,70.89,72.7,-,-,77.08,82.63,84.52,-,78.28,80.54,Upgrade
24,Long-Term Leases,24.31,31.7,2.06,9.66,19.12,25.88,34.32,0.78,0.97,12.34,Upgrade
25,Long-Term Deferred Tax Liabilities,-,-,-,-,0.38,-,-,-,-,0.41,Upgrade
26,Other Long-Term Liabilities,0.71,2.4,1.74,8.98,3.97,11.17,71.54,51.19,8.26,9.94,Upgrade
27,Total Liabilities,190.82,1135,218.37,253.66,283.07,405.59,571.4,880.77,332.91,523.3,Upgrade
28,Common Stock,182.67,1327,182.67,1327,183.76,1385,1404,1407,1407,1407,Upgrade
29,Additional Paid-In Capital,2011,-,2011,-,2031,-,-,-,-,-,Upgrade
30,Retained Earnings,2194,2154,3049,3106,3222,3797,3314,3714,2458,2740,Upgrade
31,Comprehensive Income & Other,-817.22,62,-808.5,61.12,-786.62,83.13,298.61,296.59,239.04,242.44,Upgrade
32,Total Common Equity,3570,3543,4434,4494,4649,5265,5017,5418,4104,4389,Upgrade
33,Shareholders' Equity,3570,3543,4434,4494,4649,5265,5017,5418,4104,4389,Upgrade
34,Total Liabilities & Equity,3761,4678,4653,4748,4932,5670,5588,6299,4437,4913,Upgrade
35,Total Debt,109.65,120.03,94.27,105.24,115.36,128.28,138.72,99.73,106.16,120.93,Upgrade
36,Net Cash (Debt),992.59,1636,1713,1741,1687,1563,1819,1892,1781,2122,Upgrade
37,Net Cash Growth,-42.05%,-6.03%,1.55%,11.34%,-7.28%,-17.37%,2.11%,-10.85%,-13.17%,2.88%,Upgrade
38,Net Cash Per Share,0.54,0.90,0.94,0.95,0.91,0.84,0.97,1.01,0.97,1.15,Upgrade
39,Filing Date Shares Outstanding,1827,1827,1827,1827,1838,1850,1855,1855,1855,1855,Upgrade
40,Total Common Shares Outstanding,1827,1827,1827,1827,1838,1850,1855,1855,1855,1855,Upgrade
41,Working Capital,1179,879.66,1686,1801,1820,1686,1789,2842,1807,2445,Upgrade
42,Book Value Per Share,1.95,1.94,2.43,2.46,2.53,2.85,2.71,2.92,2.21,2.37,Upgrade
43,Tangible Book Value,3559,3530,4420,4479,4636,5250,5002,5402,4087,4374,Upgrade
44,Tangible Book Value Per Share,1.95,1.93,2.42,2.45,2.52,2.84,2.70,2.91,2.20,2.36,Upgrade
45,Machinery,-,29.39,-,28.98,-,27.75,-,24.89,-,24.32,Upgrade
46,Leasehold Improvements,-,21.25,-,25.23,-,25.03,-,20.97,-,17.15,Upgrade
