,Fiscal Quarter,Q4 2024,null null,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Revenue,-,-,268258,225049,204639,177850
1,Cost of Revenue,-,-,253264,207221,187800,159894
2,Gross Profit,-,-,14994,17828,16839,17956
3,"Selling, General & Admin",-,-,13074,13605,11919,11851
4,Operating Expenses,-,-,13074,13605,11919,11851
5,Operating Income,-,-,1919,4223,4919,6105
6,Interest Expense,-,-,-2095,-1810,-2594,-1793
7,Interest & Investment Income,-,-,2552,1819,1808,1433
8,Other Non Operating Income (Expenses),-,-,3337,2023,2015,1380
9,Pretax Income,-,-,5713,6255,6148,7124
10,Income Tax Expense,-,-,1259,1377,1537,1781
11,Net Income,-,-,4454,4878,4611,5343
12,Net Income to Common,-,-,4454,4878,4611,5343
13,Shares Outstanding (Basic),11,-,-,-,-,-
14,Shares Outstanding (Diluted),11,-,-,-,-,-
15,Free Cash Flow,-,-,26443,26443,-52123,-52123
16,Gross Margin,-,-,5.59%,7.92%,8.23%,10.10%
17,Operating Margin,-,-,0.72%,1.88%,2.40%,3.43%
18,Profit Margin,-,-,1.66%,2.17%,2.25%,3.00%
19,Free Cash Flow Margin,-,-,9.86%,11.75%,-25.47%,-29.31%
20,D&A For EBITDA,1648,-,-,-,-,-
21,EBIT,-,-,1919,4223,4919,6105
22,EBIT Margin,-,-,0.72%,1.88%,2.40%,3.43%
23,Effective Tax Rate,-,-,22.04%,22.02%,25.00%,25.00%
24,Revenue as Reported,-,-,268258,225049,204639,177850
