,Fiscal Quarter,Q4 2024,null null,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,3125.0,-,15617,-,-,-
1,Cash & Short-Term Investments,3125.0,-,15617,-,-,-
2,Accounts Receivable,35673.0,-,105441,-,-,-
3,Other Receivables,4.11,-,470.01,-,-,-
4,Receivables,35677.0,-,105911,-,-,-
5,Inventory,131297.0,-,166286,-,-,-
6,Prepaid Expenses,624.53,-,1220,-,-,-
7,Other Current Assets,154.4,-,46534,-,-,-
8,Total Current Assets,170878.0,-,335567,-,-,-
9,"Property, Plant & Equipment",23649.0,-,33996,-,-,-
10,Other Intangible Assets,61.84,-,-,-,-,-
11,Other Long-Term Assets,536.0,-,19.6,-,-,-
12,Total Assets,195125.0,-,369582,-,-,-
13,Accounts Payable,12913.0,-,58189,-,-,-
14,Accrued Expenses,2208.0,-,17795,-,-,-
15,Short-Term Debt,55908.0,-,154037,-,-,-
16,Current Income Taxes Payable,1372.0,-,1339,-,-,-
17,Other Current Liabilities,4155.0,-,28572,-,-,-
18,Total Current Liabilities,76557.0,-,259932,-,-,-
19,Other Long-Term Liabilities,270.0,-,19.6,-,-,-
20,Total Liabilities,76827.0,-,259951,-,-,-
21,Common Stock,107778.0,-,80000,-,-,-
22,Retained Earnings,10551.0,-,29707,-,-,-
23,Comprehensive Income & Other,-31.82,-,-76.36,-,-,-
24,Shareholders' Equity,118298.0,-,109631,-,-,-
25,Total Liabilities & Equity,195125.0,-,369582,-,-,-
26,Total Debt,55908.0,-,154037,-,-,-
27,Net Cash (Debt),-52783.0,-,-138420,-,-,-
28,Net Cash Per Share,-4897.37,-,-,-,-,-
29,Filing Date Shares Outstanding,10.78,-,-,-,-,-
30,Total Common Shares Outstanding,10.78,-,-,-,-,-
31,Working Capital,94321.0,-,75635,-,-,-
32,Book Value Per Share,10976.04,-,-,-,-,-
33,Tangible Book Value,118236.0,-,109631,-,-,-
34,Tangible Book Value Per Share,10970.3,-,-,-,-,-
35,Buildings,39984.0,-,-,-,-,-
36,Machinery,82739.0,-,-,-,-,-
37,Construction In Progress,124.24,-,657.03,-,-,-
