,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,2009,2362,1717,1635,2163,1993,1094,1360,780.82,603.93
1,Short-Term Investments,163.92,198.32,144.52,-,20,70,397,350,-,184.76
2,Trading Asset Securities,1158,725.5,1305,1252,791.73,831.12,912.76,1170,1690,1361
3,Cash & Short-Term Investments,3331,3286,3167,2887,2975,2894,2403,2880,2471,2150
4,Cash Growth,5.17%,13.84%,6.47%,-0.27%,23.78%,0.49%,-2.74%,33.96%,9.78%,-18.03%
5,Accounts Receivable,135.36,56.95,58.07,64.06,35.9,63.5,29.47,53.77,34.92,20.49
6,Other Receivables,14.43,15.45,8.97,7.25,8.03,11.81,31.75,24.71,24.3,19.07
7,Receivables,276.82,209.39,209.84,185.55,155.38,183.56,128.65,104.09,140.27,72.06
8,Inventory,10.55,10.24,11.87,14.07,12.09,12.31,11.72,11.52,0.86,1.25
9,Prepaid Expenses,47.45,63.52,82.54,48.44,34.5,58.86,83.15,56.89,27.97,45.63
10,Restricted Cash,159.38,58.39,92.25,60.4,56.11,0.61,5.61,14.38,26.37,39.42
11,Other Current Assets,332.86,351.32,311.3,317.79,234.6,369.52,267.08,188.55,143.72,111.91
12,Total Current Assets,4158,3979,3875,3513,3468,3519,2900,3256,2810,2420
13,"Property, Plant & Equipment",118.12,104.45,60.72,75.22,183.79,201.98,200.83,165.49,147.1,165.06
14,Long-Term Investments,735.45,726.58,655.66,701.66,830.66,642.44,770.42,482.35,714.1,1070
15,Goodwill,-,-,-,1.27,28.05,514.03,521.76,575.14,526.91,526.91
16,Other Intangible Assets,57.21,56.59,66.03,61.51,64.06,76.37,83.72,100.97,95.28,107.65
17,Long-Term Deferred Tax Assets,65.95,65.8,63.85,68.88,80.67,71.06,64.78,60.55,51.75,53.11
18,Other Long-Term Assets,169.42,209.72,237.87,231.98,226.04,209.95,216.12,-12.94,7.97,6.71
19,Total Assets,5305,5146,4960,4661,4883,5238,4778,4670,4371,4462
20,Accounts Payable,603.31,508.37,463.18,444.68,497.33,669.34,568.14,638.79,484.71,512.05
21,Accrued Expenses,-,127.64,-,117.87,-,199.06,-,111.63,-,81.7
22,Current Portion of Leases,11.5,17.5,21.96,18.81,32.24,32.04,28.39,33.32,26.83,25.77
23,Current Income Taxes Payable,19.31,35.37,34.52,33.76,41.98,16.48,16.52,16.02,0.7,6
24,Current Unearned Revenue,114.55,93.04,160.02,119.91,117.57,128.28,119.98,120.73,111.23,113.05
25,Other Current Liabilities,159.74,37.25,146.77,27.28,168.27,89.39,221.83,49.74,115.17,69.91
26,Total Current Liabilities,908.4,819.16,826.47,762.31,857.4,1135,954.86,970.23,738.64,808.48
27,Long-Term Leases,4.82,8.7,10.06,21.12,133,150.78,151.72,125.91,112.29,127.96
28,Long-Term Deferred Tax Liabilities,33.94,36.01,28.58,24.74,19.61,21.86,23.15,26.79,26.57,27.68
29,Other Long-Term Liabilities,-,-,-,-,-,-,3.19,3.14,25.87,36
30,Total Liabilities,947.15,863.87,865.11,808.17,1010,1307,1133,1126,903.37,1000
31,Common Stock,12.8,12.8,12.8,12.8,12.8,13.26,13.26,13.26,13.26,13.35
32,Additional Paid-In Capital,-,3687,-,3681,-,3697,-,3709,-,3824
33,Retained Earnings,351.9,231.3,35.12,-155.23,-99.04,10.88,-281.43,-404.51,-525.15,-598.41
34,Treasury Stock,-,-,-,-,-,-,-,-,-,-0.2
35,Comprehensive Income & Other,3962,334.99,4040,315.18,3959,208.24,3910,196.74,3979,226.4
36,Total Common Equity,4327,4266,4088,3854,3873,3930,3642,3515,3467,3465
37,Minority Interest,30.53,15.71,6.5,-1.21,-0.01,1.34,2.75,28.57,-,-3.45
38,Shareholders' Equity,4358,4282,4095,3852,3873,3931,3645,3544,3467,3462
39,Total Liabilities & Equity,5305,5146,4960,4661,4883,5238,4778,4670,4371,4462
40,Total Debt,16.31,26.2,32.02,39.93,165.24,182.82,180.11,159.23,139.12,153.73
41,Net Cash (Debt),3315,3260,3135,2847,2810,2712,2223,2721,2332,1996
42,Net Cash Growth,5.73%,14.52%,11.59%,4.98%,26.38%,-0.35%,-4.66%,36.30%,11.56%,-23.89%
43,Net Cash Per Share,1.77,1.74,1.69,1.54,1.51,1.44,1.18,1.42,1.19,0.98
44,Filing Date Shares Outstanding,1858,1867,1841,1843,1858,1864,1869,1891,1957,2006
45,Total Common Shares Outstanding,1858,1867,1841,1843,1858,1864,1869,1891,1957,2006
46,Working Capital,3250,3160,3049,2750,2610,2385,1945,2286,2072,1612
47,Book Value Per Share,2.33,2.29,2.22,2.09,2.09,2.11,1.95,1.86,1.77,1.73
48,Tangible Book Value,4270,4210,4022,3791,3781,3339,3037,2839,2845,2831
49,Tangible Book Value Per Share,2.30,2.26,2.18,2.06,2.04,1.79,1.62,1.50,1.45,1.41
50,Buildings,76.12,51.93,5.72,5.72,-,-,-,-,-,-
51,Machinery,45.11,41.98,42.81,41.49,54.1,50.07,45.01,39.01,35.91,35.49
52,Leasehold Improvements,39.87,37.66,34.71,32.83,36.84,35.9,34.15,27.49,26.76,26.65
