,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3623,1396,1609,1318,1880,2714,3244,4283,2144,2056,2238
1,Market Cap Growth,5.88%,5.88%,-14.43%,-51.43%,-42.04%,-36.65%,51.27%,108.37%,-4.20%,-36.56%,-45.69%
2,Enterprise Value,94,-2178,-1772,-1901,-1411,-613,573,1086,-414,-182,-142
3,Last Close Price,1.87,0.72,0.79,0.65,0.92,1.33,1.60,2.09,1.05,1.00,1.07
4,PE Ratio,10.24,4.10,3.78,9.09,-,-,6.36,14.61,9.31,12.12,36.43
5,Forward PE,-,3.43,3.43,2.28,3.00,3.41,6.36,4.30,4.30,4.30,4.30
6,PS Ratio,0.45,0.18,0.21,0.23,0.26,0.25,0.29,0.53,0.36,0.47,0.61
7,PB Ratio,0.75,0.30,0.34,0.30,0.43,0.60,0.67,0.98,0.51,0.54,0.58
8,P/TBV Ratio,0.30,0.30,0.35,0.30,0.44,0.61,0.79,1.17,0.64,0.66,0.71
9,P/FCF Ratio,9.33,3.59,3.73,-298.17,-,2.52,4.92,-,12.32,-,21.54
10,P/OCF Ratio,3.44,3.44,3.59,106.54,-,2.48,4.73,20.25,11.77,-,19.58
11,EV/Sales Ratio,0.01,-,-,-,-,-,0.05,0.13,-,-,-
12,EV/EBITDA Ratio,0.20,-,-,-,-,-,0.85,5.40,-,-,-
13,EV/EBIT Ratio,0.29,-,-,-,-,-,0.90,7.58,-,-,-
14,EV/FCF Ratio,0.24,-,-,-,-,-,0.87,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.04,0.05,0.05,0.04,0.04,0.04
16,Debt / FCF Ratio,0.05,0.05,0.07,-7.83,-,0.18,0.34,-,1.09,-,1.65
17,Return on Capital Employed (ROCE),6.73%,6.70%,6.34%,2.30%,-,23.28%,12.62%,3.11%,-,3.02%,-0.01%
18,Earnings Yield,9.39%,24.39%,26.47%,11.00%,-9.99%,7.87%,15.72%,6.84%,10.74%,8.25%,2.75%
19,FCF Yield,10.72%,27.82%,26.81%,-0.34%,12.87%,39.61%,20.31%,4.42%,8.12%,3.88%,4.64%
20,Buyback Yield / Dilution,-1.27%,-0.76%,-1.78%,-0.00%,2.41%,1.60%,1.18%,3.85%,5.75%,4.16%,0.49%
21,Total Shareholder Return,0.94%,-0.76%,-1.78%,-0.00%,2.41%,1.60%,1.18%,3.85%,5.75%,4.16%,0.49%
