,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,"Property, Plant & Equipment",4700,5089,5317,5534,5527,5535,5245,5131,5124,5155,Upgrade
1,Cash & Equivalents,38.37,44.65,61.11,38.54,28.01,64.76,68.38,74.13,123.29,129.38,Upgrade
2,Accounts Receivable,3.63,4.74,7.16,2.63,8.03,7.41,4.67,7.5,5.92,6.9,Upgrade
3,Other Receivables,7.6,5.41,6.21,4.39,5.92,3.16,3.99,6.84,5.91,3.57,Upgrade
4,Investment In Debt and Equity Securities,94.62,104.17,103.88,154.98,121.63,119.49,152.42,128.53,109.37,103.59,Upgrade
5,Goodwill,-,-,-,-,-,-,0.79,-,-,-,Upgrade
6,Other Intangible Assets,-,-,-,-,0.3,1.59,0.93,-,-,-,Upgrade
7,Other Current Assets,69.49,67.59,64.72,35.88,35.68,25.32,24.57,26.34,58.64,56.16,Upgrade
8,Trading Asset Securities,55.12,50.87,39.58,21.8,20.48,26.07,25.18,29.73,20.69,21.73,Upgrade
9,Other Long-Term Assets,148.01,143.93,148.94,159.75,160.88,185.83,178.66,175.21,150.99,139.27,Upgrade
10,Total Assets,5117,5510,5749,5952,5908,5968,5704,5579,5599,5616,Upgrade
11,Accounts Payable,1.51,2.37,2.78,2.1,1.03,2.44,3.61,4.69,2.57,0.73,Upgrade
12,Accrued Expenses,1.13,1.13,1.41,1.13,1.42,4.69,3.65,3.16,8.34,11.23,Upgrade
13,Current Income Taxes Payable,2.85,3.45,0.68,3.55,1.39,5.8,1.52,3.78,7.27,5.52,Upgrade
14,Current Unearned Revenue,6.73,8.41,8.48,18.3,9.12,6.41,6.8,5.65,8.44,5.59,Upgrade
15,Other Current Liabilities,44.55,44.22,43.39,43.99,46.47,44.96,49.02,45.31,45.09,41.76,Upgrade
16,Long-Term Deferred Tax Liabilities,62.9,59.21,57.65,57.18,55.16,53.73,51.93,52.12,47.29,45.58,Upgrade
17,Total Liabilities,493.72,515.07,498.82,487.62,428.54,466.41,181.52,179.72,173.99,168.8,Upgrade
18,Common Stock,146.13,146.13,146.13,146.13,146.13,146.13,146.13,146.13,146.13,146.13,Upgrade
19,Retained Earnings,4463,4846,5102,5305,5328,5330,5355,5229,5260,5278,Upgrade
20,Comprehensive Income & Other,13.81,3,1.99,13.28,7.6,27.15,22.58,24.52,18.97,22.44,Upgrade
21,Total Common Equity,4623,4995,5250,5465,5482,5504,5524,5400,5425,5447,Upgrade
22,Minority Interest,0.02,0.02,0.03,0.02,-2.39,-1.73,-0.99,0.02,0.03,0.03,Upgrade
23,Shareholders' Equity,4623,4995,5250,5465,5479,5502,5523,5400,5425,5447,Upgrade
24,Total Liabilities & Equity,5117,5510,5749,5952,5908,5968,5704,5579,5599,5616,Upgrade
25,Total Debt,374.05,396.29,384.44,361.37,313.96,348.39,65,65,55,58.39,Upgrade
26,Net Cash / Debt,-280.55,-300.77,-283.75,-301.03,-265.47,-257.55,28.56,38.86,88.98,92.72,Upgrade
27,Net Cash Growth,-,-,-,-,-,-,-67.90%,-58.09%,-43.50%,-44.04%,Upgrade
28,Net Cash Per Share,-2.55,-2.73,-2.58,-2.73,-2.41,-2.34,0.26,0.35,0.81,0.84,Upgrade
29,Filing Date Shares Outstanding,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,Upgrade
30,Total Common Shares Outstanding,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,Upgrade
31,Book Value Per Share,41.96,45.34,47.65,49.60,49.75,49.95,50.14,49.01,49.24,49.44,Upgrade
32,Tangible Book Value,4623,4995,5250,5465,5482,5502,5522,5400,5425,5447,Upgrade
33,Tangible Book Value Per Share,41.96,45.34,47.65,49.60,49.75,49.94,50.12,49.01,49.24,49.44,Upgrade
34,Land,-,-,-,-,-,-,-,-,1.17,-,Upgrade
35,Buildings,5.27,-,5.27,-,5.27,-,5.27,-,5.27,-,Upgrade
