,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1210654,1128554,948786,704101,664764,681360,611423,655142,845366,778572,929221,652451,671423,475605,449267,359006,361722,288319,261944,279683,Upgrade
1,Revenue Growth (YoY),82.12%,65.63%,55.18%,7.47%,-21.36%,-12.49%,-34.20%,0.41%,25.91%,63.70%,106.83%,81.74%,85.62%,64.96%,71.51%,28.36%,21.32%,0.68%,-9.42%,18.91%,Upgrade
2,Cost of Revenue,692439,736199,698894,597857,551572,523137,464244,462671,574490,414554,500916,293905,334865,335770,308287,262086,281112,243616,201681,225876,Upgrade
3,Gross Profit,518215,392355,249891,106244,113193,158224,147179,192470,270876,364018,428305,358546,336559,139835,140979,96921,80610,44703,60263,53807,Upgrade
4,"Selling, General & Admin",86850,45747,43745,34197,33343,33900,28069,30065,31171,31331,27637,23626,25958,18959,23245,16866,16971,17458,17386,16072,Upgrade
5,Operating Expenses,86850,45747,43745,34197,33343,33900,28069,30065,31171,31331,27637,23626,25958,18959,23245,16866,16971,17458,17386,16072,Upgrade
6,Operating Income,431365,346608,206146,72047,79850,124323,119110,162405,239705,332687,400668,334920,310601,120876,117735,80055,63639,27245,42877,37735,Upgrade
7,Interest Expense,-39290,-28471,-21879,-18928,-18818,-17937,-19233,-19478,-19392,-14703,-13814,-9259,-8895,-8536,-8310,-6389,-7080,-6835,-2597,-6939,Upgrade
8,Interest & Investment Income,-,3653,5023,7793,-,6871,5220,7420,407.23,2505,14639,8324,5737,1202,7105,6066,698.9,1205,6146,5864,Upgrade
9,Earnings From Equity Investments,6263,5813,3025,3237,-6679,16422,768.22,4439,-188.94,11569,8459,9500,9378,4111,3436,2389,2943,1875,-670.74,1827,Upgrade
10,Currency Exchange Gain (Loss),-1968,-1601,-9138,10739,-1263,2020,2958,-2958,-6329,2127,1561,-3687,5368,2235,-1.07,-2234,1819,800.1,1792,-2592,Upgrade
11,Other Non Operating Income (Expenses),18730,-4463,-11201,-9231,-10478,4352,-267.05,2052,4107,54.15,-15189,-19480,-19345,-180.82,-1906,20732,1768,266.75,-1650,116.96,Upgrade
12,EBT Excluding Unusual Items,415100,321540,171976,65656,42611,136053,108556,153881,218309,334238,396324,320318,302845,119707,118059,100618,63787,24557,45897,36013,Upgrade
13,Gain (Loss) on Sale of Assets,3018,-172.95,514.61,-341.66,10369,-1425,860.62,-860.62,-,-,-,-,21088,562.01,-1662,1100,-,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,3227,-0.47,0.47,-,-,-,-,-,-94.08,-,-,-,Upgrade
15,Pretax Income,418118,321367,172490,65315,52980,134628,109416,153020,221536,334238,396324,320318,323934,120269,116397,101718,63693,24557,45897,36013,Upgrade
16,Income Tax Expense,70255,44815,44011,17982,13827,22049,29696,26646,42200,59885,71902,57636,57279,19505,18715,16203,8954,2995,6800,4813,Upgrade
17,Earnings From Continuing Operations,347862,276552,128479,47332,39152,112579,79720,126374,179337,274353,324422,262682,266655,100764,97682,85515,54739,21562,39097,31199,Upgrade
18,Minority Interest in Earnings,-67674,-77302,-16661,11910,23821,-6882,16799,-6664,-15171,-56215,-84731,-62739,-63169,-7879,-15339,-18716,-5153,1533,-3219,-1462,Upgrade
19,Net Income,280188,199250,111819,59242,62974,105697,96520,119710,164165,218137,239691,199943,203486,92885,82344,66799,49586,23095,35878,29737,Upgrade
20,Preferred Dividends & Other Adjustments,17315,13948,-5745,11534,9186,8626,-,17253,22463,-,16888,20723,7203,-,7203,14405,2616,-,1372,3961,Upgrade
21,Net Income to Common,262873,185303,117564,47708,53788,97071,96520,102457,141702,218137,222803,179220,196283,92885,75141,52394,46970,23095,34506,25776,Upgrade
22,Net Income Growth,344.93%,88.51%,15.85%,-50.51%,-61.64%,-51.55%,-59.73%,-40.13%,-19.32%,134.85%,191.09%,199.32%,310.37%,302.18%,129.51%,124.63%,56.23%,-3.27%,3.81%,-4.69%,Upgrade
23,Shares Outstanding (Basic),121,121,128,115,133,121,133,109,145,128,174,56,125,122,128,103,121,121,116,109,Upgrade
24,Shares Outstanding (Diluted),121,121,128,115,133,121,133,109,145,128,174,56,125,122,128,103,121,121,116,109,Upgrade
25,Shares Change (YoY),-8.68%,-,-3.97%,4.84%,-8.50%,-4.97%,-23.20%,96.37%,16.58%,4.79%,35.46%,-46.16%,2.88%,0.49%,10.21%,-4.68%,-3.35%,-2.22%,6.81%,-6.79%,Upgrade
26,EPS (Basic),2166.36,1527.10,918.28,416.08,404.78,799.97,724.00,936.78,975.77,1708.41,1283.54,3217.86,1575.72,762.32,586.39,506.50,387.92,190.48,296.77,237.53,Upgrade
27,EPS (Diluted),2166.00,1527.10,917.98,416.08,404.54,799.97,724.00,936.78,975.35,1708.41,1283.54,3217.86,1575.72,762.32,586.24,506.50,387.60,190.48,296.77,237.53,Upgrade
28,EPS Growth,435.43%,90.89%,26.79%,-55.58%,-58.52%,-53.17%,-43.59%,-70.89%,-38.10%,124.11%,118.95%,535.31%,306.53%,300.22%,97.54%,113.24%,63.24%,-1.08%,6.65%,-5.50%,Upgrade
29,Free Cash Flow,-38674,-38335,-191663,-12653,-724313,323022,51654,19936,-385172,188085,149499,-261474,342105,-10258,-228229,66617,95101,-151882,32414,-47703,Upgrade
30,Free Cash Flow Per Share,-318.72,-315.93,-1497.06,-110.35,-5450.86,2662.05,387.46,182.28,-2652.33,1473.05,861.24,-4694.70,2746.34,-84.19,-1781.06,644.00,785.43,-1252.64,278.78,-439.59,Upgrade
31,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,414.079,-,-,-,414.079,-,-,-,Upgrade
32,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,-0.00%,-,-,-,0%,-,-,-,Upgrade
33,Gross Margin,42.80%,34.77%,26.34%,15.09%,17.03%,23.22%,24.07%,29.38%,32.04%,46.75%,46.09%,54.95%,50.13%,29.40%,31.38%,27.00%,22.29%,15.50%,23.01%,19.24%,Upgrade
34,Operating Margin,35.63%,30.71%,21.73%,10.23%,12.01%,18.25%,19.48%,24.79%,28.36%,42.73%,43.12%,51.33%,46.26%,25.42%,26.21%,22.30%,17.59%,9.45%,16.37%,13.49%,Upgrade
35,Profit Margin,21.71%,16.42%,12.39%,6.78%,8.09%,14.25%,15.79%,15.64%,16.76%,28.02%,23.98%,27.47%,29.23%,19.53%,16.73%,14.59%,12.99%,8.01%,13.17%,9.22%,Upgrade
36,Free Cash Flow Margin,-3.19%,-3.40%,-20.20%,-1.80%,-108.96%,47.41%,8.45%,3.04%,-45.56%,24.16%,16.09%,-40.08%,50.95%,-2.16%,-50.80%,18.56%,26.29%,-52.68%,12.37%,-17.06%,Upgrade
37,EBITDA,546811,481732,311638,172225,194590,197084,213413,244945,317138,411434,470982,386493,360692,166293,154389,111434,101026,64144,74933,68595,Upgrade
38,EBITDA Margin,45.17%,42.69%,32.85%,24.46%,29.27%,28.93%,34.90%,37.39%,37.51%,52.84%,50.69%,59.24%,53.72%,34.96%,34.36%,31.04%,27.93%,22.25%,28.61%,24.53%,Upgrade
39,D&A For EBITDA,115446,135124,105492,100178,114740,72761,94303,82540,77433,78747,70314,51573,50091,45417,36655,31379,37387,36898,32056,30860,Upgrade
40,EBIT,431365,346608,206146,72047,79850,124323,119110,162405,239705,332687,400668,334920,310601,120876,117735,80055,63639,27245,42877,37735,Upgrade
41,EBIT Margin,35.63%,30.71%,21.73%,10.23%,12.01%,18.25%,19.48%,24.79%,28.36%,42.73%,43.12%,51.33%,46.26%,25.42%,26.21%,22.30%,17.59%,9.45%,16.37%,13.49%,Upgrade
42,Effective Tax Rate,16.80%,13.94%,25.51%,27.53%,26.10%,16.38%,27.14%,17.41%,19.05%,17.92%,18.14%,17.99%,17.68%,16.22%,16.08%,15.93%,14.06%,12.19%,14.82%,13.37%,Upgrade
43,Revenue as Reported,1210654,1128554,948786,704101,664764,681360,611423,655142,845366,778572,929221,652451,671423,475605,449267,359006,361722,288319,261944,279683,Upgrade
