,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1540,1540,1004,1272,1707,2376,2778,2811,2912,3180,4384,Upgrade
1,Market Cap Growth,21.05%,21.05%,-41.18%,-46.48%,-38.55%,-15.48%,-4.60%,-11.58%,-33.59%,-25.78%,0%,Upgrade
2,Enterprise Value,28827,30383,29738,27747,27925,22991,22902,23475,23160,19391,18948,Upgrade
3,Last Close Price,0.46,0.46,0.30,0.38,0.51,0.71,0.81,0.82,0.83,0.90,1.15,Upgrade
4,PE Ratio,-,-,-,-0.95,-,20.12,31.14,23.53,25.91,17.39,4.65,Upgrade
5,Forward PE,-,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,7.58,Upgrade
6,PS Ratio,0.17,0.17,0.08,0.10,0.17,0.17,0.22,0.28,0.38,0.38,0.39,Upgrade
7,PB Ratio,0.37,0.13,0.07,0.08,0.10,0.12,0.12,0.13,0.13,0.19,0.27,Upgrade
8,P/TBV Ratio,0.37,0.37,0.19,0.20,0.25,0.26,0.22,0.23,0.21,0.26,0.34,Upgrade
9,P/FCF Ratio,1.77,1.77,-,-1.97,-,-,-,0.73,-,-,-,Upgrade
10,P/OCF Ratio,1.65,1.65,-,-2.03,-,-,-,0.73,-,-,-,Upgrade
11,PEG Ratio,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,Upgrade
12,EV/Sales Ratio,3.10,3.26,2.35,2.29,2.77,1.61,1.78,2.37,3.02,2.33,1.68,Upgrade
13,EV/EBITDA Ratio,-,-,-,50.32,-,27.39,17.47,30.99,89.46,51.79,10.01,Upgrade
14,EV/EBIT Ratio,-,-,-,53.34,-,29.49,18.24,33.08,105.38,56.79,10.14,Upgrade
15,EV/FCF Ratio,33.10,34.89,-,-43.03,-,-,-,6.13,-,-,-,Upgrade
16,Debt / Equity Ratio,1.81,1.81,1.63,1.57,1.45,1.25,0.91,1.14,0.90,1.14,1.04,Upgrade
17,Debt / FCF Ratio,25.47,25.47,-,-39.89,-,-,-,6.31,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,1.74%,-,2.16%,3.31%,1.91%,0.57%,1.03%,7.19%,Upgrade
19,Earnings Yield,-141.06%,-141.06%,-101.14%,-105.59%,-77.17%,9.50%,9.15%,11.97%,11.43%,12.55%,26.50%,Upgrade
20,FCF Yield,56.57%,56.57%,36.36%,-50.70%,-179.93%,-134.55%,99.37%,136.22%,-80.92%,-143.21%,-40.45%,Upgrade
21,Buyback Yield / Dilution,-0.04%,-0.08%,-0.00%,0.00%,-0.34%,0.34%,0.11%,-0.11%,0.10%,-0.13%,0.07%,Upgrade
22,Total Shareholder Return,-0.04%,-0.08%,-0.00%,0.00%,-0.34%,0.34%,0.11%,-0.11%,0.10%,-0.13%,0.07%,Upgrade
