,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,276,326,281,351,299,328,403,437,129,87,140
1,Market Cap Growth,-7.23%,-7.23%,-6.00%,7.06%,-25.89%,-24.92%,213.04%,400.00%,-8.00%,-61.00%,-35.57%
2,Enterprise Value,419,387,245,214,263,205,342,431,134,80,147
3,Last Close Price,0.18,0.22,0.19,0.23,0.20,0.24,0.30,0.33,0.11,0.08,0.12
4,PE Ratio,-,-,-,-,-33.84,-,-,-,-,-29.35,-
5,PS Ratio,0.84,0.99,0.57,0.54,0.45,0.59,1.32,2.78,0.58,0.34,0.47
6,PB Ratio,2.20,2.41,1.82,2.23,1.76,2.48,2.77,2.80,1.09,0.71,1.20
7,P/TBV Ratio,2.59,2.59,1.94,2.23,1.76,2.48,2.77,2.80,1.09,0.71,1.20
8,P/FCF Ratio,-,-65.03,-,-,-16.37,-,5.59,24.08,60.27,-,66.57
9,P/OCF Ratio,7.65,7.65,-4.95,-,-17.04,-,5.41,23.97,57.97,-,65.79
10,EV/Sales Ratio,1.27,1.17,0.50,0.33,0.40,0.37,1.12,2.74,0.60,0.31,0.50
11,EV/EBITDA Ratio,-,-,-,-,-36.31,-,-,-,-,-89.94,-
12,EV/EBIT Ratio,-,-,-,-,-32.16,-,-,-,-,-32.59,-
13,EV/FCF Ratio,-83.72,-77.20,-,-,-14.42,-,4.75,23.76,62.49,-,70.13
14,Debt / Equity Ratio,1.19,1.19,0.49,0.15,0.10,0.12,0.11,0.05,0.21,0.31,0.28
15,Debt / FCF Ratio,-,-32.06,-,-,-0.91,-,0.23,0.47,11.75,-,15.75
16,Return on Capital Employed (ROCE),-,-,-,-,-4.81%,-,-,-,-,-1.99%,-
17,Earnings Yield,-11.76%,-9.98%,-7.10%,-1.99%,-2.95%,-6.15%,-5.21%,-3.43%,0.78%,-3.41%,0.74%
18,FCF Yield,-1.81%,-1.54%,-37.13%,-5.38%,-6.11%,-5.41%,17.88%,4.15%,1.66%,7.91%,1.50%
19,Buyback Yield / Dilution,-0.73%,-,-1.48%,-11.16%,-9.58%,-16.69%,-20.43%,-2.83%,0.40%,-,-
20,Total Shareholder Return,-0.73%,-,-1.48%,-11.16%,-9.58%,-16.69%,-20.43%,-2.83%,0.40%,-,-
