,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,201,234,129,260,156,254,260,293,66,66,64,Upgrade
1,Market Cap Growth,50.00%,-10.00%,-17.11%,2.15%,-40.00%,-13.08%,291.75%,341.24%,4.30%,-40.85%,-53.27%,Upgrade
2,Enterprise Value,182,211,171,237,132,229,235,418,180,197,200,Upgrade
3,Last Close Price,0.20,0.28,0.19,0.38,0.23,0.37,0.38,0.43,0.34,0.34,0.32,Upgrade
4,PE Ratio,-,-,-,5.14,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,1.08,1.66,0.62,2.91,-,9.43,4.26,4.62,0.67,0.30,0.15,Upgrade
6,PB Ratio,1.80,2.61,1.34,2.24,1.21,1.76,1.74,1.66,1.03,1.45,1.01,Upgrade
7,P/TBV Ratio,2.51,2.51,1.34,2.23,1.40,2.01,1.99,1.97,-,-,3.68,Upgrade
8,P/FCF Ratio,7.43,-,-1.96,-,-,-,-,-,2.28,1.04,-1.25,Upgrade
9,P/OCF Ratio,7.46,-,-2.10,-,-,-,-,34.62,1.63,0.89,-1.51,Upgrade
10,EV/Sales Ratio,1.29,1.49,0.82,2.65,-,8.48,3.86,6.60,1.83,0.89,0.49,Upgrade
11,EV/FCF Ratio,6.72,-,-2.60,-,-,-,-,-,6.18,3.08,-3.91,Upgrade
12,Debt / Equity Ratio,0.07,0.07,0.02,0.53,0.02,0.01,0.01,0.01,3.61,5.53,4.14,Upgrade
13,Debt / FCF Ratio,0.24,-,-0.03,-,-,-,-,-,7.94,3.96,-5.09,Upgrade
14,Earnings Yield,-42.12%,-36.18%,-9.61%,19.47%,-,-8.91%,-19.58%,-20.64%,-85.84%,-114.11%,-62.14%,Upgrade
15,FCF Yield,13.45%,11.55%,-50.97%,-41.90%,-,-2.68%,-5.10%,-2.66%,43.95%,96.43%,-80.28%,Upgrade
16,Buyback Yield / Dilution,-9.07%,-18.13%,-,-0.00%,-,-212.82%,-214.96%,-27.87%,-31.28%,-,-0.03%,Upgrade
17,Total Shareholder Return,-9.07%,-18.13%,-,-0.00%,-,-212.82%,-214.96%,-27.87%,-31.28%,-,-0.03%,Upgrade
