,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,21.66,119.28,89.34,-,3.54,23.43,37.54,25.8,72.6,148.45,Upgrade
1,Revenue Growth (YoY),-75.75%,-,2425.04%,-,-90.58%,-9.21%,-48.29%,-82.62%,-72.31%,-47.56%,Upgrade
2,Cost of Revenue,20.23,114.38,82.83,-,2.83,23.01,34.93,24.47,67.17,104.79,Upgrade
3,Gross Profit,1.43,4.9,6.51,-,0.71,0.42,2.61,1.34,5.43,43.67,Upgrade
4,"Selling, General & Admin",17.56,11.2,11.49,-,8.98,9.6,17.17,11.76,18.75,72.2,Upgrade
5,Research & Development,-,-,-,-,-,-,-,-,-,-1.23,Upgrade
6,Operating Expenses,25.21,17.93,15.31,-,8.77,9.37,17.4,12.88,18.75,70.97,Upgrade
7,Operating Income,-23.78,-13.03,-8.8,-,-8.06,-8.95,-14.79,-11.54,-13.32,-27.3,Upgrade
8,Interest Expense,-0.09,-0.02,-0.03,-,-0.07,-0.02,-11.92,-15.75,-16.6,-17.04,Upgrade
9,Interest & Investment Income,0.47,0.76,0.87,-,-,2.25,-,1.93,-,1.73,Upgrade
10,Earnings From Equity Investments,-,0,-0,-,-0,0,-0,-,-,-,Upgrade
11,Currency Exchange Gain (Loss),-,-0.07,-,-,-,-0.01,-,0.83,-,-1.7,Upgrade
12,Other Non Operating Income (Expenses),0.13,-0.02,0.71,-,1.25,-1.96,3.36,-3.98,5.22,-5.13,Upgrade
13,EBT Excluding Unusual Items,-23.27,-12.37,-7.25,-,-6.88,-8.68,-23.36,-28.53,-24.7,-49.44,Upgrade
14,Gain (Loss) on Sale of Investments,-1.73,-1.39,-18.09,-,1.35,-0.31,-13.55,-10.94,-3.63,-0,Upgrade
15,Gain (Loss) on Sale of Assets,-,-44.17,76.31,-,-,0.2,-0.2,-0.73,-,-,Upgrade
16,Asset Writedown,-,-5.87,0.13,-,-,-5.32,-,2.27,-7.38,-8.32,Upgrade
17,Other Unusual Items,-,-0.06,-,-,-,-1.38,-,8.19,-,8.01,Upgrade
18,Pretax Income,-25,-63.87,51.09,-,-5.53,-15.5,-37.11,-29.73,-35.71,-49.75,Upgrade
19,Income Tax Expense,0,-0.85,0.29,-,0.24,-0.09,0.52,2.31,0.21,-3.52,Upgrade
20,Earnings From Continuing Operations,-25,-63.02,50.8,-,-5.77,-15.41,-37.63,-32.05,-35.93,-46.24,Upgrade
21,Earnings From Discontinued Operations,-,-,-,-,-,-1.26,2.8,5.62,5.41,-,Upgrade
22,Net Income to Company,-25,-63.02,50.8,-,-5.77,-16.67,-34.83,-26.43,-30.52,-46.24,Upgrade
23,Minority Interest in Earnings,3.39,0.01,-0.21,-,-0.2,-0.03,0.66,0.19,-0.19,1.25,Upgrade
24,Net Income,-21.61,-63.01,50.59,-,-5.96,-16.7,-34.17,-26.24,-30.7,-44.99,Upgrade
25,Net Income to Common,-21.61,-63.01,50.59,-,-5.96,-16.7,-34.17,-26.24,-30.7,-44.99,Upgrade
26,Shares Outstanding (Basic),808,684,684,-,684,707,219,224,171,171,Upgrade
27,Shares Outstanding (Diluted),808,684,684,-,684,707,219,224,171,171,Upgrade
28,Shares Change (YoY),18.13%,-,0.00%,-,212.82%,214.96%,27.87%,31.28%,-,0.03%,Upgrade
29,EPS (Basic),-0.03,-0.09,0.07,-,-0.01,-0.02,-0.16,-0.12,-0.18,-0.26,Upgrade
30,EPS (Diluted),-0.03,-0.09,0.07,-,-0.01,-0.02,-0.16,-0.12,-0.18,-0.26,Upgrade
31,Free Cash Flow,-15.98,43,-108.87,-,-3.45,-3.38,-9.87,2.09,27.07,36.89,Upgrade
32,Free Cash Flow Per Share,-0.02,0.06,-0.16,-,-0.01,-0.00,-0.05,0.01,0.16,0.22,Upgrade
33,Operating Margin,-109.75%,-10.93%,-9.85%,-,-227.81%,-38.19%,-39.41%,-44.74%,-18.34%,-18.39%,Upgrade
34,Profit Margin,-99.75%,-52.83%,56.63%,-,-168.54%,-71.26%,-91.03%,-101.69%,-42.29%,-30.30%,Upgrade
35,Free Cash Flow Margin,-73.76%,36.05%,-121.86%,-,-97.51%,-14.41%,-26.30%,8.09%,37.29%,24.85%,Upgrade
36,EBITDA,-22.94,-13.48,-8.23,-,-8.04,-5.82,-14.55,-4.18,-11.72,-19.53,Upgrade
37,D&A For EBITDA,0.84,-0.45,0.58,0.36,0.02,3.13,0.24,7.36,1.6,7.77,Upgrade
38,EBIT,-23.78,-13.03,-8.8,-,-8.06,-8.95,-14.79,-11.54,-13.32,-27.3,Upgrade
