,Fiscal Quarter,Current,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 13, 2025","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Debt / Equity Ratio,0.08,0.11,0.08,0.06,0.06,-,0.27,0.27,0.27,0.35,0.35,0.40,0.40,-,0.57
1,Debt / EBITDA Ratio,0.44,0.73,0.73,0.49,0.49,-,1.52,3.86,3.86,2.46,2.46,2.88,2.88,-,-
2,Debt / FCF Ratio,0.30,2.77,2.44,-,-,-,-,-,-,-304.30,-3.00,-,-,-,-
3,Asset Turnover,0.88,0.82,0.90,-,-,-,0.95,0.91,0.59,0.65,0.70,-,-,-,
4,Inventory Turnover,7.25,5.50,5.51,6.57,-,-,-,5.38,5.46,3.66,3.95,4.44,-,-,-
5,Quick Ratio,0.82,1.35,1.35,1.45,1.45,-,-,0.85,0.85,0.86,0.86,0.76,0.76,-,-
6,Current Ratio,1.05,1.70,1.76,1.81,1.81,-,-,1.19,1.19,1.21,1.21,1.13,1.13,-,-
7,Return on Equity (ROE),8.26%,5.71%,6.71%,-,-,11.12%,-0.98%,-0.93%,8.10%,9.23%,12.12%,-,-,-,
8,Return on Assets (ROA),3.96%,2.47%,3.45%,-,-,-,0.01%,0.01%,2.76%,3.01%,2.35%,-,-,-,
9,Return on Capital (ROIC),5.82%,3.60%,5.01%,-,-,5.39%,0.01%,0.01%,3.86%,4.32%,3.49%,-,-,-,
10,Return on Capital Employed (ROCE),4.86%,8.03%,7.88%,8.06%,5.96%,-,-,4.53%,6.13%,6.98%,4.05%,1.39%,-0.41%,-,-
11,Payout Ratio,0.00%,2.75%,3.54%,3.82%,3.82%,2.62%,6.69%,-,-,16.12%,16.12%,11.05%,11.05%,-,-
12,Buyback Yield / Dilution,-8.00%,-23.27%,-28.87%,-20.46%,-20.46%,15.90%,-23.96%,-40.60%,-40.60%,-36.86%,-36.86%,-,-,-,-
13,Total Shareholder Return,-8.00%,-23.27%,-28.87%,-20.46%,-20.46%,15.90%,-23.96%,-40.60%,-40.60%,-36.86%,-36.86%,-,-,-,-
