,Fiscal Quarter,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Revenue,239.91,210.45,227.74,227.74,255.74,190.51,179.81,179.81,122.08,122.08,121.02,121.02,33.7,33.7
1,Revenue Growth (YoY),-6.19%,10.46%,26.66%,26.66%,109.49%,56.06%,48.57%,48.57%,262.21%,262.21%,-,-,-,-
2,Cost of Revenue,197.15,178.27,194.15,194.15,216.05,163.25,148.96,148.96,98.48,98.48,102.19,102.19,30.25,30.25
3,Gross Profit,42.77,32.18,33.59,33.59,39.69,27.26,30.85,30.85,23.6,23.6,18.83,18.83,3.46,3.46
4,"Selling, General & Admin",8.54,22.43,26.15,26.15,11.36,16.13,30.35,30.35,14.5,14.5,12.36,12.36,7.43,7.43
5,Research & Development,18.21,-,-,-,13.05,-,-,-,-,-,-,-,-,-
6,Other Operating Expenses,-1.19,-0.45,-6.56,-6.56,0.4,0.35,0.48,0.48,-,-,-,-,-,-
7,Operating Expenses,25.56,21.98,19.6,19.6,24.81,16.49,30.82,30.82,14.5,14.5,12.36,12.36,7.43,7.43
8,Operating Income,17.2,10.2,14,14,14.88,10.78,0.02,0.02,9.09,9.09,6.47,6.47,-3.98,-3.98
9,Interest & Investment Income,-,0.1,0.17,0.17,-,-,-,-,-,-,-,-,-,-
10,Other Non Operating Income (Expenses),0.59,0.21,-2.5,-2.5,7.15,2.95,1.07,1.07,-0.15,-0.15,-0.7,-0.7,0.04,0.04
11,EBT Excluding Unusual Items,17.8,10.51,11.66,11.66,22.04,13.73,1.09,1.09,8.95,8.95,5.77,5.77,-3.94,-3.94
12,Gain (Loss) on Sale of Investments,-,-,0.23,0.23,-0.46,-,-0.02,-0.02,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,0.03,-,-0.01,-0.01,-,-,-,-,-,-,-,-,-,-
14,Asset Writedown,-1.43,0.83,1,1,-1.9,-0.81,-0.72,-0.72,-0.09,-0.09,0.22,0.22,-0.38,-0.38
15,Pretax Income,16.4,11.35,12.88,12.88,19.68,12.92,0.36,0.36,8.86,8.86,5.99,5.99,-4.32,-4.32
16,Income Tax Expense,2.5,1.91,1.87,1.87,3.01,1.94,1.32,1.32,-,-,-4.02,-4.02,-,-
17,Net Income,13.9,9.44,11.01,11.01,16.67,10.98,-0.97,-0.97,8.86,8.86,10,10,-4.32,-4.32
18,Net Income to Common,13.9,9.44,11.01,11.01,16.67,10.98,-0.97,-0.97,8.86,8.86,10,10,-4.32,-4.32
19,Net Income Growth,-16.59%,-14.09%,-,-,88.13%,23.96%,-,-,-,-,-,-,-,-
20,Shares Outstanding (Basic),306,472,405,405,248,366,336,336,295,295,239,239,216,216
21,Shares Outstanding (Diluted),306,472,405,405,248,366,336,336,295,295,239,239,216,216
22,Shares Change (YoY),23.27%,28.87%,20.46%,20.46%,-15.90%,23.96%,40.60%,40.60%,36.86%,36.86%,-,-,-,-
23,EPS (Basic),0.05,0.02,0.03,0.03,0.07,0.03,-0.00,-0.00,0.03,0.03,0.04,0.04,-0.02,-0.02
24,EPS (Diluted),0.05,0.02,0.03,0.03,0.07,0.03,-0.00,-0.00,0.03,0.03,0.04,0.04,-0.02,-0.02
25,EPS Growth,-32.34%,-33.33%,-,-,123.70%,0%,-,-,-,-,-,-,-,-
26,Free Cash Flow,29.04,29,-15.01,-15.01,22.95,-8.37,-42.67,-42.67,34.9,34.9,-35.15,-35.15,-15.31,-15.31
27,Free Cash Flow Per Share,0.09,0.06,-0.04,-0.04,0.09,-0.02,-0.13,-0.13,0.12,0.12,-0.15,-0.15,-0.07,-0.07
28,Gross Margin,17.83%,15.29%,14.75%,14.75%,15.52%,14.31%,17.16%,17.16%,19.33%,19.33%,15.56%,15.56%,10.25%,10.25%
29,Operating Margin,7.17%,4.85%,6.15%,6.15%,5.82%,5.66%,0.01%,0.01%,7.45%,7.45%,5.35%,5.35%,-11.80%,-11.80%
30,Profit Margin,5.80%,4.48%,4.83%,4.83%,6.52%,5.77%,-0.54%,-0.54%,7.26%,7.26%,8.26%,8.26%,-12.81%,-12.81%
31,Free Cash Flow Margin,12.11%,13.78%,-6.59%,-6.59%,8.97%,-4.39%,-23.73%,-23.73%,28.59%,28.59%,-29.04%,-29.04%,-45.41%,-45.41%
32,EBITDA,26.61,18.39,21.37,21.37,22.53,17.34,6.81,6.81,15.43,15.43,11.57,11.57,-0.2,-0.2
33,EBITDA Margin,11.09%,8.74%,9.38%,9.38%,8.81%,9.10%,3.79%,3.79%,12.64%,12.64%,9.56%,9.56%,-0.60%,-0.60%
