,Fiscal Quarter,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,300.87,244.1,203.36,203.36,-,-,47.08,47.08,102.96,102.96,19.55,19.55,-,-
1,Cash & Short-Term Investments,300.87,244.1,203.36,203.36,-,47.08,47.08,47.08,102.96,102.96,19.55,19.55,-,8.35
2,Cash Growth,-,418.42%,331.91%,331.91%,-,-54.27%,140.83%,140.83%,-,1132.82%,-,-,-,-
3,Accounts Receivable,276.47,256.58,290.51,290.51,-,-,255.33,255.33,218.84,218.84,227.96,227.96,-,-
4,Other Receivables,9.27,8.96,11.49,11.49,-,-,2.6,2.6,1.9,1.9,2.87,2.87,-,-
5,Receivables,285.74,265.54,302,302,-,-,257.93,257.93,220.74,220.74,230.83,230.83,-,-
6,Inventory,146.06,140.71,118.16,118.16,-,-,110.82,110.82,107.49,107.49,92.03,92.03,-,-
7,Prepaid Expenses,1.02,1.3,1.05,1.05,-,-,0.98,0.98,3.48,3.48,1.36,1.36,-,-
8,Other Current Assets,5.05,11.11,7.59,7.59,-,-,11.25,11.25,20.81,20.81,27.13,27.13,-,-
9,Total Current Assets,738.74,662.76,632.16,632.16,-,-,428.06,428.06,455.47,455.47,370.9,370.9,-,-
10,"Property, Plant & Equipment",300.94,300.9,298.4,298.4,-,-,242.62,242.62,207.63,207.63,191.44,191.44,-,-
11,Long-Term Investments,-,-,-,-,-,-,1.16,1.16,-,-,-,-,-,-
12,Other Intangible Assets,45.28,46.59,47.91,47.91,-,-,53.19,53.19,85.23,85.23,69.46,69.46,-,-
13,Long-Term Deferred Tax Assets,0.66,0.59,0.72,0.72,-,-,9.15,9.15,8.03,8.03,8.03,8.03,-,-
14,Long-Term Deferred Charges,19.76,21.03,21.46,21.46,-,-,6.08,6.08,31.03,31.03,30.34,30.34,-,-
15,Other Long-Term Assets,17.61,18.6,13.87,13.87,-,-,20.39,20.39,35.57,35.57,17.53,17.53,-,-
16,Total Assets,1123,1050,1015,1015,-,-,760.64,760.64,822.96,822.96,687.69,687.69,-,-
17,Accounts Payable,328.28,298.36,284.34,284.34,-,-,231.01,231.01,207.16,207.16,196.14,196.14,-,-
18,Accrued Expenses,11.6,12.95,12.19,12.19,-,-,7.42,7.42,6.13,6.13,4.38,4.38,-,-
19,Short-Term Debt,77.64,53.48,41.79,41.79,-,-,105.32,105.32,126.93,126.93,103.29,103.29,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,24.98,24.98,11,11,-,-
21,Current Income Taxes Payable,3.78,2.24,0.81,0.81,-,-,0.19,0.19,0.67,0.67,0.11,0.11,-,-
22,Other Current Liabilities,12.18,9.8,9.68,9.68,-,-,14.27,14.27,10.83,10.83,13.8,13.8,-,-
23,Total Current Liabilities,433.49,376.83,348.8,348.8,-,-,358.22,358.22,376.7,376.7,328.71,328.71,-,-
24,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,18.98,18.98,-,-
25,Long-Term Unearned Revenue,8.1,8.32,9.57,9.57,-,-,7.4,7.4,8.63,8.63,9.99,9.99,-,-
26,Total Liabilities,441.58,385.15,358.37,358.37,-,-,365.62,365.62,385.33,385.33,357.69,357.69,-,-
27,Common Stock,397.39,395.7,395.7,395.7,-,-,317.4,317.4,319.09,319.09,280,280,-,-
28,Additional Paid-In Capital,182.85,182.64,182.64,182.64,-,-,50.21,50.21,74.82,74.82,24.01,24.01,-,-
29,Retained Earnings,101.22,87.32,77.88,77.88,-,-,27.41,27.41,43.72,43.72,26,26,-,-
30,Comprehensive Income & Other,-0.06,-0.34,-0.08,-0.08,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,681.41,665.32,656.15,656.15,-,395.02,395.02,395.02,437.63,437.63,330,330,-,179.55
32,Total Liabilities & Equity,1123,1050,1015,1015,-,-,760.64,760.64,822.96,822.96,687.69,687.69,-,-
33,Total Debt,77.64,53.48,41.79,41.79,-,105.32,105.32,105.32,151.91,151.91,133.27,133.27,-,102.16
34,Net Cash (Debt),223.23,190.62,161.57,161.57,-,-58.24,-58.24,-58.24,-48.96,-48.96,-113.72,-113.72,-,-93.81
35,Net Cash Per Share,0.73,0.40,0.40,0.40,-,-0.16,-0.17,-0.17,-0.17,-0.17,-0.48,-0.48,-,-0.43
36,Filing Date Shares Outstanding,306.19,471.79,404.86,404.86,248.39,366.11,336.1,336.1,295.34,295.34,239.04,239.04,215.8,215.8
37,Total Common Shares Outstanding,306.19,471.79,404.86,404.86,248.39,366.11,336.1,336.1,295.34,295.34,239.04,239.04,215.8,215.8
38,Working Capital,305.26,285.93,283.36,283.36,-,-,69.84,69.84,78.77,78.77,42.18,42.18,-,-
39,Book Value Per Share,2.23,1.41,1.62,1.62,-,1.18,1.18,1.18,1.48,1.48,1.45,1.38,-,1.14
40,Tangible Book Value,636.13,618.73,608.23,608.23,-,341.83,341.83,341.83,352.4,352.4,260.54,260.54,-,164.4
41,Tangible Book Value Per Share,2.08,1.31,1.50,1.50,-,1.02,1.02,1.02,1.19,1.19,1.15,1.09,-,1.04
