,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,151.83,148.9,256.57,301.01,133.44,167.51,191,216.72,895.72,107.99,-,160.74,-,-,-
1,Short-Term Investments,-,80.81,-,30.02,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,207.02,202.15,160.56,261,366.1,369.22,475.35,379.44,-,0.04,-,2.3,-,-,-
3,Cash & Short-Term Investments,358.85,431.87,417.13,592.03,499.54,536.72,666.35,596.16,895.72,108.03,163.03,163.03,-,-,132.99
4,Cash Growth,-28.16%,-19.54%,-37.40%,-0.69%,-44.23%,396.82%,308.72%,265.67%,-,-,22.59%,-,-,-,-
5,Accounts Receivable,321.6,244.1,223.19,215.9,268.06,260.8,237.19,371.08,458.63,320.33,-,324.76,-,-,-
6,Other Receivables,8.69,8.65,8.65,8.79,9.03,9.17,9.1,9.08,13.01,10.23,-,5.58,-,-,-
7,Receivables,330.28,252.75,231.84,224.69,277.09,269.97,246.29,380.17,471.63,330.56,-,330.35,-,-,-
8,Inventory,87.66,85.79,80.81,79.12,99.57,113.09,110.69,101.01,130.23,140.61,-,87.44,-,-,-
9,Prepaid Expenses,-,-,-,0,-,0.07,-,0.28,-,-,-,0.83,-,-,-
10,Other Current Assets,64.56,22.83,113.45,23.95,23.8,22.9,21.67,21.38,25.76,24.98,-,20.28,-,-,-
11,Total Current Assets,841.35,793.24,843.23,919.79,900,942.74,1045,1099,1523,604.17,-,601.93,-,-,-
12,"Property, Plant & Equipment",356.58,353.1,327.47,309.43,265.09,269.85,273.64,274.74,273.19,272.21,-,232.63,-,-,-
13,Long-Term Investments,294.86,293.34,273.71,269.22,323.71,327.69,266.19,274.72,13.94,14.03,-,14.32,-,-,-
14,Goodwill,83.09,83.09,80.4,14.74,22.8,22.8,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,34.65,35.26,34.43,34.79,28.73,28.9,29.08,10.94,10.9,10.75,-,10.15,-,-,-
16,Long-Term Deferred Tax Assets,43.92,44.16,42.55,41.57,38.5,33.84,30.57,35.51,21.91,21.58,-,16.97,-,-,-
17,Long-Term Deferred Charges,14.84,15.69,16.14,17.22,18.86,19.97,21.9,22.97,25.21,24.47,-,16.84,-,-,-
18,Other Long-Term Assets,59.5,10.08,11.73,5.52,42.63,14.77,7.91,21.18,14.16,10.73,-,15.87,-,-,-
19,Total Assets,1729,1628,1630,1612,1640,1661,1674,1739,1883,957.94,-,908.72,-,-,-
20,Accounts Payable,187.48,130.77,107.93,128.56,130.67,134.41,113.74,136.03,228.26,208.53,-,233.6,-,-,-
21,Accrued Expenses,22.96,23.51,17.92,23.75,23.38,23.03,18.47,31.52,29.78,21.73,-,29.75,-,-,-
22,Short-Term Debt,110.39,66.35,85.69,62.42,44.69,53.7,75.1,78.49,134.35,107.97,-,74.26,-,-,-
23,Current Portion of Leases,17.72,18.31,17.95,14.23,12.79,14.7,14.35,14.15,14.09,-,-,13.37,-,-,-
24,Current Income Taxes Payable,6.45,1.93,1.91,0,2.07,0.25,3.36,4.81,10.35,1.21,-,2.39,-,-,-
25,Current Unearned Revenue,0.47,0.19,0.32,2.81,1.14,0.33,1.07,2.75,-,-,-,-,-,-,-
26,Other Current Liabilities,3.52,1.12,2.51,2.5,11.93,10.36,6.08,7.25,14.83,33.12,-,2.67,-,-,-
27,Total Current Liabilities,348.98,242.16,234.24,234.26,226.68,236.77,232.17,274.99,431.67,372.56,-,356.04,-,-,-
28,Long-Term Leases,19.07,20.58,25.47,25.41,28.94,32.03,35.26,37.89,38.38,39.89,-,45.11,-,-,-
29,Long-Term Unearned Revenue,10.22,9.41,9.61,9.81,10.01,10.21,10.07,7.14,7.24,7.34,-,7.37,-,-,-
30,Long-Term Deferred Tax Liabilities,7.17,7.37,7.77,7.38,0.42,0.46,0.64,10.03,-,0.01,-,0.34,-,-,-
31,Total Liabilities,385.44,279.52,277.08,276.87,266.05,279.46,278.13,330.04,477.29,419.8,-,408.86,-,-,-
32,Common Stock,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19,54.09,-,54.09,-,-,-
33,Additional Paid-In Capital,1077,1074,1073,1073,1073,1073,1073,1073,1073,256.88,-,256.88,-,-,-
34,Retained Earnings,162.83,170.78,171.35,176.43,215.89,222.08,249.23,261.11,254.94,217.12,-,175.27,-,-,-
35,Treasury Stock,-11,-6.98,-1.01,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-0.14,-0.1,-0.2,-0.25,-0.16,0.2,-0.3,-0.22,0.01,-0.18,-,-0.28,-,-,-
37,Total Common Equity,1301,1310,1315,1321,1361,1368,1394,1406,1400,527.91,485.97,485.97,-,-,400.65
38,Minority Interest,42.34,38.39,37.13,13.92,13.25,13.52,1.92,2.82,4.9,10.23,-,13.89,-,-,-
39,Shareholders' Equity,1343,1348,1353,1335,1374,1381,1396,1409,1405,538.14,499.86,499.86,-,-,411.09
40,Total Liabilities & Equity,1729,1628,1630,1612,1640,1661,1674,1739,1883,957.94,-,908.72,-,-,-
41,Total Debt,147.18,105.23,129.1,102.06,86.41,100.42,124.7,130.53,186.83,147.86,132.74,132.74,-,-,48.64
42,Net Cash (Debt),211.68,326.63,288.03,489.97,413.13,436.3,541.65,465.63,708.9,-39.83,30.29,30.29,-,-,84.35
43,Net Cash Growth,-48.76%,-25.14%,-46.82%,5.23%,-41.72%,-,1687.96%,1437.04%,-,-,-64.09%,-,-,-,-
44,Net Cash Per Share,2.95,4.55,3.97,6.39,6.07,6.16,7.29,6.41,13.16,-0.73,0.56,0.56,-,-,1.55
45,Filing Date Shares Outstanding,71.8,71.8,72.15,72.19,72.19,72.19,72.19,72.19,72.19,54.09,54.26,54.09,54.12,54.25,54.25
46,Total Common Shares Outstanding,71.8,71.94,72.15,72.19,72.19,72.19,72.19,72.19,72.19,54.09,54.26,54.09,54.12,54.25,54.25
47,Working Capital,492.37,551.08,608.99,685.53,673.32,705.98,812.83,824.01,1092,231.61,-,245.89,-,-,-
48,Book Value Per Share,18.12,18.21,18.23,18.30,18.85,18.94,19.31,19.48,19.40,9.76,8.98,8.98,-,-,7.41
49,Tangible Book Value,1183,1192,1201,1272,1310,1316,1365,1395,1390,517.17,475.82,475.82,-,-,390.99
50,Tangible Book Value Per Share,16.48,16.57,16.64,17.62,18.14,18.23,18.91,19.33,19.25,9.56,8.80,8.80,-,-,7.23
51,Buildings,-,73.38,-,73.38,-,73.38,-,73.38,-,75.11,-,0.49,-,-,-
52,Machinery,-,274.8,-,223.22,-,210.65,-,200.27,-,185.23,-,139.06,-,-,-
53,Construction In Progress,-,75.19,-,52.9,-,5.14,-,-,-,-,-,68.46,-,-,-
