,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,255.68,175.05,162.96,142.83,204.87,173.86,143.01,204.5,360.1,208.42,253.45,230.79,285.03,237.15,237.15
1,Other Revenue,-5.16,5.16,-,13.63,-9.87,9.87,-,7.99,-5.23,5.23,-,11.12,-4.74,2.37,2.37
2,Revenue,250.52,180.2,162.96,156.45,195,183.73,143.01,212.48,354.87,213.65,253.45,241.91,280.29,239.52,239.52
3,Revenue Growth (YoY),28.47%,-1.92%,13.95%,-26.37%,-45.05%,-14.00%,-43.57%,-12.16%,26.61%,-10.80%,5.82%,-,-,-,-
4,Cost of Revenue,178.88,137.68,124.72,154.08,149.51,140.21,122.07,163.56,251.05,155.56,186.4,184.91,204.4,172.15,172.15
5,Gross Profit,71.64,42.53,38.24,2.37,45.48,43.52,20.95,48.92,103.82,58.08,67.05,56.99,75.89,67.36,67.36
6,"Selling, General & Admin",39.08,37.66,31.77,30.89,33.89,35.28,34.91,35.95,37.73,32.21,24.87,29.43,25.7,23.33,23.33
7,Research & Development,14.72,13.89,12.76,9.55,15.26,16.27,14.36,19.25,17.97,15.86,16.42,18.61,16.28,15.93,15.93
8,Other Operating Expenses,0.99,1.98,0.84,2.08,-0.65,-4.12,-8.58,4.23,1.15,-0.67,0.99,3.81,-0.75,1.2,1.2
9,Operating Expenses,59.4,54.34,44.98,40.4,49.76,48.44,33.72,55.46,64.36,46.03,42.99,50.12,44.93,38.11,38.11
10,Operating Income,12.24,-11.82,-6.75,-38.03,-4.28,-4.92,-12.77,-6.54,39.46,12.05,24.06,6.87,30.96,29.26,29.26
11,Interest Expense,-0.14,-,-0.8,-2.05,-0.49,-0.63,-0.64,-0.75,-0.59,-3.28,-0.75,-,-0.9,-0.36,-0.36
12,Interest & Investment Income,2.06,3.26,3.11,-,0.21,3.44,2,1.28,0.72,-,2.79,3.09,1.35,0.24,0.24
13,Currency Exchange Gain (Loss),-3.28,3.28,-,1.05,-4.19,4.19,-,25.9,-14.29,14.29,-,-10.11,4.78,-2.39,-2.39
14,Other Non Operating Income (Expenses),0.3,-1.83,0.47,-5.07,2.79,6.49,-8.1,-36.3,34.36,0.29,-2.26,3.27,-4.78,-0.59,-0.59
15,EBT Excluding Unusual Items,11.19,-7.11,-3.96,-44.1,-5.95,8.56,-19.52,-16.41,59.66,23.35,23.84,3.13,31.4,26.16,26.16
16,Impairment of Goodwill,-,-,-,-5.89,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,0.97,1.71,0.31,8.06,-0.69,-9.28,0.6,4.35,-6.1,-8.77,-0.35,1.5,1.3,-0.25,-0.25
18,Gain (Loss) on Sale of Assets,0.06,0.01,-0.01,0.33,-,-,-,0.16,-0.24,0.23,-,-0,0.05,-0.03,-0.03
19,Asset Writedown,-2.32,1.16,-1.18,2.8,-3.63,-1.82,1.68,10.73,-11.29,-0.68,0.68,2.56,-1.62,-0.57,-0.57
20,Other Unusual Items,0.84,2.33,0.46,0.8,-,-,-,2.48,0,-0,-,5.29,-0.28,0.14,0.14
21,Pretax Income,10.74,-1.9,-4.38,-37.99,-10.28,-2.54,-17.23,1.32,42.03,14.13,24.16,12.47,30.86,25.45,25.45
22,Income Tax Expense,2.37,-0.7,1.49,2.89,-3.81,-3.17,-4.45,-2.78,7.97,-0.72,0.82,-0.05,1.99,1.32,1.32
23,Earnings From Continuing Operations,8.36,-1.21,-5.88,-40.88,-6.47,0.63,-12.78,4.1,34.06,14.85,23.34,12.52,28.87,24.13,24.13
24,Minority Interest in Earnings,-1.95,0.63,0.8,1.42,0.28,1.09,0.9,2.08,3.75,2.04,1.62,1.99,1.44,1.1,1.1
25,Net Income,6.41,-0.57,-5.08,-39.46,-6.19,1.72,-11.88,6.17,37.81,16.89,24.96,14.52,30.31,25.23,25.23
26,Net Income to Common,6.41,-0.57,-5.08,-39.46,-6.19,1.72,-11.88,6.17,37.81,16.89,24.96,14.52,30.31,25.23,25.23
27,Net Income Growth,-,-,-,-,-,-89.79%,-,-57.46%,24.74%,-33.04%,-1.05%,-,-,-,-
28,Shares Outstanding (Basic),72,72,73,77,68,71,74,73,54,54,54,54,54,54,54
29,Shares Outstanding (Diluted),72,72,73,77,68,71,74,73,54,54,54,54,54,54,54
30,Shares Change (YoY),5.36%,1.41%,-2.30%,5.64%,26.41%,30.11%,36.84%,34.60%,-0.44%,0.35%,0.02%,-,-,-,-
31,EPS (Basic),0.09,-0.01,-0.07,-0.51,-0.09,0.02,-0.16,0.09,0.70,0.31,0.46,0.27,0.56,0.46,0.47
32,EPS (Diluted),0.09,-0.01,-0.07,-0.51,-0.09,0.02,-0.16,0.09,0.70,0.31,0.46,0.27,0.56,0.46,0.47
