,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4679,2862,2348,1898,2896,2621,2745,3238,2789,2676,-,-,-,-,-,-
1,Market Cap Growth,9.20%,9.20%,-14.49%,-41.38%,3.83%,-2.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4510,2574,2097,1498,2496,2198,2206,2534,2085,2726,-,-,-,-,-,-
3,Last Close Price,65.17,39.86,32.33,26.12,39.85,36.06,37.78,44.02,37.92,36.39,-,-,-,-,-,-
4,PE Ratio,-,-73.95,-,-,-,-,81.15,-,32.49,28.42,-,-,-,-,-,-
5,Forward PE,-,16.13,16.13,19.30,29.44,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.36,3.82,3.38,2.72,4.27,3.57,3.07,3.50,2.70,2.52,-,-,-,-,-,-
7,PB Ratio,3.60,2.13,1.74,1.40,2.17,1.91,1.99,2.32,1.98,1.90,-,-,-,-,-,-
8,P/TBV Ratio,2.42,2.42,1.97,1.58,2.28,2.00,2.09,2.37,2.00,1.93,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,46.24,-,-,108.06,-24.65,-,-,-,-,-,-,-
10,P/OCF Ratio,71.09,71.09,-,-,19.70,18.61,29.55,29.57,-125.74,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.01,3.43,3.02,2.15,3.68,2.99,2.47,2.74,2.02,2.56,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-146.38,-,-,-,-303.61,63.82,-,-,28.58,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-58.02,-,-,-,-,-,-,-,33.07,-,-,-,-,-,-
14,EV/FCF Ratio,-157.78,-,-,-,39.85,-,-,84.57,-18.43,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.11,0.11,0.08,0.10,0.08,0.06,0.07,0.09,0.09,0.13,0.27,0.27,0.27,-,-,0.12
16,Debt / EBITDA Ratio,-,1.96,5.95,-,-,31.73,2.68,-,2.27,1.10,1.56,1.23,1.46,-,-,0.39
17,Debt / FCF Ratio,-,-,-,-,1.63,-,-,4.16,-1.15,-,-1.73,-,3.76,-,-,2.04
18,Asset Turnover,0.60,0.44,0.40,0.38,0.47,0.44,0.34,0.47,1.00,-,-,-,-,-,-,
19,Inventory Turnover,6.36,8.25,6.61,6.24,6.90,5.62,5.01,4.61,5.66,7.42,-,-,-,-,-,-
20,Quick Ratio,1.97,1.97,2.83,2.77,3.49,3.43,3.41,3.93,3.55,3.17,1.18,-,1.39,-,-,-
21,Current Ratio,2.41,2.41,3.28,3.60,3.93,3.97,3.98,4.50,4.00,3.53,1.62,-,1.69,-,-,-
22,Return on Equity (ROE),2.49%,-0.36%,-1.75%,-12.07%,-1.88%,0.18%,-3.65%,1.16%,14.02%,11.44%,18.68%,-,-,-,-,
23,Return on Assets (ROA),1.82%,-1.81%,-1.04%,-5.85%,-0.65%,-0.74%,-1.87%,-0.90%,6.95%,-,-,-,-,-,-,
24,Return on Capital (ROIC),2.08%,-2.01%,-1.16%,-6.56%,-0.73%,-0.82%,-2.09%,-1.04%,8.66%,4.57%,9.51%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-3.21%,-,-,-,-,-,-,-,5.68%,12.63%,-,17.43%,-,-,-
26,Earnings Yield,-0.83%,-1.35%,-2.19%,-2.58%,-1.93%,-0.39%,1.23%,1.51%,3.08%,3.52%,-,-,-,-,-,-
27,FCF Yield,-0.61%,-1.00%,-2.15%,-1.54%,2.16%,2.29%,0.92%,0.93%,-4.06%,-3.29%,-,-,-,-,-,-
28,Dividend Yield,0.59%,-,0.62%,-,-,-,-,-,1.05%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,222.16%,-,-,-,-,1711.55%,-,11.71%,1.57%,5.11%,2.58%,-,1.45%,22.88%,22.88%
30,Buyback Yield / Dilution,-2.46%,-5.36%,-1.41%,2.30%,-5.64%,-26.41%,-30.11%,-36.84%,-34.60%,0.44%,-0.35%,-0.02%,-,-,-,-
31,Total Shareholder Return,-1.87%,-5.36%,-0.79%,2.30%,-5.64%,-26.41%,-30.11%,-36.84%,-33.55%,0.44%,-0.35%,-0.02%,-,-,-,-
