,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1103,1478,1829,3917,2309,1964,2948,1345,834.12,1187,-,953.42,505.35,353.2
1,Short-Term Investments,-,293.61,-,50.19,-,200,-,200.07,-,-,-,-,-,-
2,Trading Asset Securities,2744,2326,2269,272.15,1803,2150,1180,2598,508.15,-,-,-,-,13
3,Cash & Short-Term Investments,3846,4098,4098,4240,4112,4315,4127,4143,1342,1187,953.42,953.42,505.35,366.2
4,Cash Growth,-6.46%,-5.02%,-0.71%,2.34%,206.35%,263.53%,332.92%,334.50%,165.61%,224.12%,-,-,-,-
5,Accounts Receivable,418.01,356.24,384.93,328.13,324.52,310.71,252.03,200.76,216.54,210.94,-,191.43,153.4,118.41
6,Other Receivables,64.78,65.26,56.37,39.92,53.52,52.89,58.19,35.61,40.79,-3.26,-,24.22,-0.96,6.57
7,Receivables,482.78,421.49,441.3,368.06,378.04,363.6,310.22,236.38,257.33,207.68,-,215.65,152.43,124.99
8,Inventory,212.15,213.64,171.57,206.98,169.07,144.93,136.84,157.3,142.06,126.15,-,125.68,106.85,88.8
9,Other Current Assets,347.02,98.86,122.55,76.98,338.42,149.72,311.92,80.54,89.22,100.32,-,43.41,73.02,47.05
10,Total Current Assets,4888,4832,4834,4892,4998,4973,4886,4617,1831,1621,-,1338,837.66,627.03
11,"Property, Plant & Equipment",1847,1807,1589,1476,1497,1358,1368,1336,1278,1283,-,1338,783.12,832.51
12,Long-Term Investments,120.05,111.07,253.74,235.41,63.34,91.9,17.35,15.83,13.12,13.12,-,7.42,5.4,-
13,Goodwill,558.89,558.89,173.08,173.08,131.3,60.09,60.09,60.09,59.78,51.24,-,50.5,50.5,50.5
14,Other Intangible Assets,107.8,108.64,104.37,104.19,105.63,107.52,109.51,112.03,108.84,110.31,-,63.78,70.1,68.15
15,Long-Term Accounts Receivable,58.07,59.24,48.19,48.75,-,28.33,-,36.41,-,38.92,-,32.82,-,-
16,Long-Term Deferred Tax Assets,97.84,91.11,80.66,84.55,76.21,69.96,84.6,231.17,79.46,80.78,-,85.51,86.4,120.71
17,Long-Term Deferred Charges,210.66,222.26,201.17,200.33,171.65,164.6,131.71,136.16,144.49,136.82,-,153.4,179.85,223.19
18,Other Long-Term Assets,170.32,170.5,178.91,164.95,279.27,241.67,227.51,191.89,184.33,157.21,-,150.09,148.94,110.71
19,Total Assets,8059,7961,7462,7379,7322,7095,6885,6736,3699,3492,-,3220,2162,2033
20,Accounts Payable,321.44,332.69,273.84,263.61,291.2,276.83,291.73,208.3,256.32,205.81,-,202.37,176.38,260.01
21,Accrued Expenses,251.04,251.99,205.66,259.63,228.31,246.11,215.16,219,214.71,214.57,-,226.17,256.13,139
22,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,80.01
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,25.04
24,Current Portion of Leases,150.28,128.07,114.36,117.16,115.1,102.61,-,96.93,104.7,116.97,-,112.88,-,-
25,Current Income Taxes Payable,99.61,69.69,106.63,81.85,109.05,75.79,111.06,60.94,72.64,60.13,-,54.17,44.2,52.03
26,Current Unearned Revenue,137.32,124.28,136.28,126.28,146.53,137.13,108.22,98.53,133.05,125.44,-,110.05,71.01,60.21
27,Other Current Liabilities,138.49,242.95,137.78,154.97,127.85,261.59,201.93,105.94,86.21,113.41,-,79.29,120.84,89.94
28,Total Current Liabilities,1098,1150,974.55,1004,1018,1100,928.1,789.64,867.64,836.33,-,784.93,668.56,706.25
29,Long-Term Debt,4.53,25.1,25.1,25.11,26.12,26.12,26.12,26.13,-,-,-,-,-,206.51
30,Long-Term Leases,880.12,871.52,691.54,594.18,647.72,607.16,603.82,596.95,537.91,527.99,-,545.03,-,-
31,Long-Term Unearned Revenue,6.5,7.6,8.11,7.49,7.31,7.6,8.12,8.4,7.72,8.44,-,9.79,11.64,12.28
32,Long-Term Deferred Tax Liabilities,22.55,22.8,19.23,17.79,15.66,8.31,22,171.38,19.33,19.33,-,18.2,14.92,10.83
33,Other Long-Term Liabilities,9.31,12.07,12.19,13.1,12.65,13.14,13.37,13.46,12.66,12.95,-,13.22,15.31,13.01
34,Total Liabilities,2021,2089,1731,1661,1728,1762,1602,1606,1445,1405,-,1371,710.43,948.87
35,Common Stock,840,840,840,840,840,560,560,560,500,500,-,500,500,500
36,Additional Paid-In Capital,2635,2635,2635,2636,2633,2913,2913,2918,209.58,209.58,-,210.82,253.03,252.73
37,Retained Earnings,2510,2355,2337,2181,2058,1831,1783,1635,1519,1358,-,1121,666.29,302.84
38,Treasury Stock,-181.32,-175.99,-151,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-1.53,-1.36,-1.77,-1.63,-1.14,2.82,3.06,3.06,1.58,1.58,-,-,-,-
40,Total Common Equity,5802,5652,5659,5655,5530,5307,5260,5117,2231,2069,1832,1832,1419,1056
41,Minority Interest,235.51,219.89,72.31,62.26,63.82,26.2,24.12,13.43,22.79,18.63,-,16.79,32.23,28.36
42,Shareholders' Equity,6038,5872,5732,5718,5594,5333,5284,5130,2253,2087,1849,1849,1452,1084
43,Total Liabilities & Equity,8059,7961,7462,7379,7322,7095,6885,6736,3699,3492,-,3220,2162,2033
44,Total Debt,1035,1025,831.01,736.45,788.93,735.89,629.94,720.01,642.61,644.95,657.91,657.91,-,311.56
45,Net Cash (Debt),2812,3073,3267,3503,3323,3579,3498,3423,699.66,541.96,295.51,295.51,505.35,54.64
46,Net Cash Growth,-15.40%,-14.13%,-6.59%,2.35%,374.97%,560.36%,1083.57%,1058.21%,38.45%,891.87%,-,-,-,-
47,Net Cash Per Share,3.25,3.66,3.98,4.18,3.94,4.19,4.19,4.19,0.94,0.73,0.39,0.40,-,0.08
48,Filing Date Shares Outstanding,833.42,833.42,834.77,834.77,840,840,840,840,840,750,764.41,750,750,750
49,Total Common Shares Outstanding,833.42,833.42,834.77,840,840,840,840,840,750,750,764.41,750,750,750
50,Working Capital,3790,3682,3859,3888,3980,3873,3958,3827,963.23,784.74,-,553.23,169.1,-79.22
51,Book Value Per Share,6.96,6.78,6.78,6.73,6.58,6.32,6.26,6.09,2.97,2.76,2.44,2.44,1.89,1.41
52,Tangible Book Value,5135,4985,5382,5378,5293,5139,5090,4944,2062,1907,1718,1718,1299,936.91
53,Tangible Book Value Per Share,6.16,5.98,6.45,6.40,6.30,6.12,6.06,5.89,2.75,2.54,2.29,2.29,1.73,1.25
54,Buildings,-,348.04,-,348.15,-,337.57,-,338.18,-,338.26,-,339.71,351.1,359.97
55,Machinery,-,1597,-,1407,-,1279,-,1212,-,1189,-,1156,1037,1002
56,Construction In Progress,-,91.42,-,89.58,-,45.78,-,46.12,-,8.2,-,1.06,0.63,3.78
