,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1264,939.75,978.18,641.95,1203,969.38,930.79,607.15,1001,713.76,808.67,716.18,-,316.8
1,Other Revenue,-132.57,132.57,-,268.34,-93.52,93.52,-,103.09,-56.14,56.14,-,57.77,-,-
2,Revenue,1131,1072,978.18,910.3,1109,1063,930.79,710.25,944.43,769.9,808.67,773.95,-,316.8
3,Revenue Growth (YoY),2.00%,0.89%,5.09%,28.17%,17.44%,38.06%,15.10%,-8.23%,-,143.02%,-,-,-,-
4,Cost of Revenue,602.53,615.38,499.2,522.5,538.12,511.75,482.42,375.53,478.15,397.46,435.78,413.7,-,243.52
5,Gross Profit,528.85,456.94,478.98,387.8,571.06,551.15,448.37,334.72,466.28,372.44,372.89,360.25,-,73.28
6,"Selling, General & Admin",300.21,279.72,238.84,254.2,275.04,248.73,208.73,192.51,207.77,168.18,189.97,187.95,-,115.2
7,Research & Development,17.9,18.7,17.3,7.34,22.48,24.85,15.02,12.87,15.98,12.62,7.8,10.21,-,4.16
8,Other Operating Expenses,4.92,2.88,3.36,12.92,-3.19,1.82,0.33,17.58,-1.39,-6.4,1.04,19.97,-,2.5
9,Operating Expenses,322.74,299.22,264.77,274.21,297.42,277.64,230.3,219.22,227.03,176.29,199.49,219.22,-,119.78
10,Operating Income,206.1,157.72,214.21,113.59,273.64,273.5,218.07,115.5,239.25,196.15,173.4,141.03,-,-46.5
11,Interest Expense,-12.2,-11.66,-10.3,-8.13,-9.76,-9.95,-10.19,-11.86,-9.04,-6.78,-10.69,-9.77,-,-2.85
12,Interest & Investment Income,36.22,14.54,8.31,34.28,20.91,21.46,23.31,9.41,2.42,2.45,4.91,5.34,-,0.72
13,Other Non Operating Income (Expenses),-3.4,-0.44,-1.43,87.95,-34.65,-38.76,-20.56,-9.53,-30.43,-22.56,-15.74,50.26,-,-0.6
14,EBT Excluding Unusual Items,226.72,160.16,210.8,227.69,250.14,246.25,210.62,103.52,202.21,169.26,151.88,186.85,-,-49.23
15,Impairment of Goodwill,-,-,-,-4.64,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-12.41,1.89,20.52,-0.67,3.15,6.51,2.03,6.51,-,-,-,-1.64,-,-
17,Gain (Loss) on Sale of Assets,0.06,0.02,0.41,10.31,0.08,0.87,0.01,2.26,0.2,0.54,-1.16,0.34,-,-0
18,Asset Writedown,-0.91,-0.23,-0,-1.35,0.07,-0.22,-0.01,-0.23,0.06,-0.26,-0.03,-1.77,-,-0.31
19,Other Unusual Items,-2.35,-14.96,-21.78,-96.54,-0.01,0.01,-,18.83,3.84,-3.84,-,-31.82,-,5.61
20,Pretax Income,211.1,146.87,209.94,134.81,253.44,253.42,212.65,130.9,206.31,165.71,150.69,151.95,-,-43.93
21,Income Tax Expense,42.13,38.29,45.16,26.75,49.26,45.97,54.91,23.72,41.65,39.65,39.39,33.16,-,-1.64
22,Earnings From Continuing Operations,168.97,108.58,164.79,108.06,204.17,207.45,157.74,107.17,164.66,126.06,111.3,118.79,-,-42.29
23,Minority Interest in Earnings,-13.6,1,-8.87,0.49,-1.49,-3.02,-7.46,9.01,-3.36,-1.86,0.84,-0.49,-,13.31
24,Net Income,155.37,109.58,155.92,108.54,202.68,204.43,150.28,116.18,161.3,124.2,112.14,118.3,-,-28.98
25,Net Income to Common,155.37,109.58,155.92,108.54,202.68,204.43,150.28,116.18,161.3,124.2,112.14,118.3,-,-28.98
26,Net Income Growth,-23.35%,-46.40%,3.75%,-6.57%,25.65%,64.60%,34.01%,-1.79%,-,-,-,-,-,-
27,Shares Outstanding (Basic),866,839,821,838,845,854,835,817,742,744,764,739,-,725
28,Shares Outstanding (Diluted),866,839,821,838,845,854,835,817,742,744,764,739,-,725
29,Shares Change (YoY),2.52%,-1.81%,-1.71%,2.62%,13.80%,14.77%,9.22%,10.59%,-,2.72%,-,-,-,-
