,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,16760,20460,17297,21722,26956,37153,34132,42000,40942,-,-,-,-,-,-
1,Market Cap Growth,-44.93%,-44.93%,-49.32%,-48.28%,-34.16%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14184,17607,14102,18463,23696,33601,30659,41323,40265,-,-,-,-,-,-
3,Last Close Price,20.11,24.55,20.61,25.72,31.92,43.99,40.22,49.49,48.24,-,-,-,-,-,-
4,PE Ratio,31.94,38.65,29.99,32.35,40.48,55.16,53.99,76.09,79.68,-,-,-,-,-,-
5,Forward PE,20.01,23.99,19.01,25.92,34.32,55.29,51.00,-,-,-,-,-,-,-,-
6,PS Ratio,4.13,5.00,4.25,5.35,6.72,9.74,9.36,12.52,12.66,-,-,-,-,-,-
7,PB Ratio,2.89,3.39,2.95,3.79,4.71,6.64,6.40,7.95,7.98,-,-,-,-,-,-
8,P/TBV Ratio,3.98,3.98,3.47,4.04,5.01,7.02,6.64,8.25,8.28,-,-,-,-,-,-
9,P/FCF Ratio,33.06,40.36,33.59,53.70,52.56,71.88,66.92,64.03,76.57,-,-,-,-,-,-
10,P/OCF Ratio,22.48,22.48,18.11,25.05,28.04,42.22,42.79,48.17,53.17,-,-,-,-,-,-
11,EV/Sales Ratio,3.47,4.30,3.46,4.55,5.90,8.81,8.40,12.32,12.45,-,-,-,-,-,-
12,EV/EBITDA Ratio,14.99,21.06,15.54,18.09,23.05,32.50,30.68,44.75,45.82,-,-,-,-,-,-
13,EV/EBIT Ratio,20.51,25.46,18.58,21.10,26.96,38.15,36.23,53.74,55.59,-,-,-,-,-,-
14,EV/FCF Ratio,27.98,34.73,27.38,45.64,46.21,65.01,60.11,63.00,75.31,-,-,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.17,0.14,0.13,0.14,0.14,0.12,0.14,0.29,0.31,0.36,0.36,-,0.29
16,Debt / EBITDA Ratio,1.09,1.07,0.98,0.83,0.67,0.63,0.49,0.61,0.66,0.58,0.56,0.78,0.57,-,-
17,Debt / FCF Ratio,2.04,2.04,1.99,2.05,1.44,1.53,1.44,0.96,1.35,0.93,1.29,2.61,3.83,-,-
18,Asset Turnover,0.56,0.56,0.53,0.50,0.62,0.61,0.55,0.54,1.05,-,-,-,-,-,
19,Inventory Turnover,11.75,11.32,12.78,10.55,11.12,13.71,14.53,13.12,10.04,14.26,-,-,-,-,-
20,Quick Ratio,3.94,3.94,3.93,4.66,4.59,4.41,4.25,4.78,5.55,1.84,1.67,-,1.49,0.98,0.70
21,Current Ratio,4.45,4.45,4.20,4.96,4.87,4.91,4.52,5.27,5.85,2.11,1.94,-,1.70,1.25,0.89
22,Return on Equity (ROE),11.35%,7.49%,11.51%,7.64%,14.95%,15.63%,12.12%,11.61%,30.35%,25.62%,24.08%,-,-,-,
23,Return on Assets (ROA),6.43%,5.11%,7.22%,3.86%,9.49%,9.78%,8.00%,5.53%,16.64%,-,-,-,-,-,
24,Return on Capital (ROIC),7.38%,5.86%,8.23%,4.42%,10.99%,11.41%,9.27%,6.60%,21.25%,18.72%,17.29%,-,-,-,
25,Return on Capital Employed (ROCE),9.94%,9.94%,11.15%,13.49%,13.78%,13.97%,14.12%,12.91%,12.18%,26.49%,19.22%,-,3.88%,-,-
26,Earnings Yield,3.16%,2.59%,3.33%,3.09%,2.47%,1.81%,1.85%,1.31%,1.26%,-,-,-,-,-,-
27,FCF Yield,3.02%,2.48%,2.98%,1.86%,1.90%,1.39%,1.49%,1.56%,1.31%,-,-,-,-,-,-
28,Dividend Yield,0.55%,-,-,-,0.34%,-,-,-,0.39%,-,-,-,-,-,-
29,Payout Ratio,17.32%,59.03%,-,0.28%,-,77.36%,-,0.09%,-,-,-,2.42%,-,-,-
30,Buyback Yield / Dilution,-0.39%,-2.52%,1.81%,1.71%,-2.62%,-13.80%,-14.77%,-9.22%,-10.59%,-,-2.72%,-,-,-,-
31,Total Shareholder Return,0.16%,-2.52%,1.81%,1.71%,-2.28%,-13.80%,-14.77%,-9.22%,-10.20%,-,-2.72%,-,-,-,-
