,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,318.32,340.53,221.12,188.44,231.11,267.62,279.94,265.1,377.46,369.02,257.63,233.17,317.52,131.94,-,120.09,-,120.45,120.45
1,Short-Term Investments,-,312.37,-,263.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,0,108.51,163.23,255.07,24,-,20,46,50,86,155,132,88,-,-,-,-,-,-
3,Cash & Short-Term Investments,318.32,761.41,384.36,706.78,255.11,267.62,299.94,311.1,427.46,455.02,412.63,365.17,405.52,131.94,120.09,120.09,-,120.45,120.45
4,Cash Growth,24.78%,184.51%,28.14%,127.19%,-40.32%,-41.18%,-27.31%,-14.81%,5.41%,244.88%,243.59%,204.07%,-,9.54%,-0.29%,-,-,-,-
5,Accounts Receivable,430.07,382.12,370.02,379.3,352.81,349.56,355.38,429.85,389.54,405.29,437.11,466.85,316.25,314.78,-,283,-,315.02,315.02
6,Other Receivables,6.83,7.02,6.1,6.77,7.33,14.37,6.43,10.85,6.26,10.05,5.92,8.31,5.4,5.05,-,8.5,-,3.05,3.05
7,Receivables,436.9,389.14,376.12,386.07,360.14,363.94,361.81,440.69,395.8,415.33,443.03,475.16,321.65,319.83,-,291.5,-,318.07,318.07
8,Inventory,380.75,348.27,307.81,298.19,293.31,301.08,353.14,376.26,434.33,506.75,469.21,440.24,474.03,385.36,-,262.14,-,286.25,286.25
9,Other Current Assets,528.52,61.57,345.37,56.69,50.8,42.74,52.41,42.11,51.06,46.9,40.34,37.15,38.26,28.52,-,10.96,-,17.19,17.19
10,Total Current Assets,1664,1560,1414,1448,959.36,975.38,1067,1170,1309,1424,1365,1318,1239,865.66,-,684.69,-,741.95,741.95
11,"Property, Plant & Equipment",855.57,761.05,737.91,719.44,646.24,623.37,617.29,590.05,496.09,496.98,490.41,447.95,441.88,411.96,-,317.42,-,318.2,318.2
12,Long-Term Investments,7,7.74,8.87,9.32,8.07,8.58,8.74,9.07,5.05,4.94,5.07,5.06,4.93,4.98,-,5.02,-,5.23,5.23
13,Other Intangible Assets,19.86,18.22,18.56,18.91,18.57,18.72,17.14,17.42,18.28,18.45,18.58,18.85,19.01,19.3,-,19.04,-,18.86,18.86
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,0.43,0.72,2.88,2.88,-,-,-,5.43,-,-,-
15,Long-Term Deferred Tax Assets,49,47.42,46.96,43.91,35.73,34.64,34.67,37.44,6.14,6.12,5.92,6.76,5.79,5.43,-,4.51,-,5.2,5.2
16,Long-Term Deferred Charges,16.08,16.31,18.47,20.89,20.87,19.53,18.81,20.07,15.68,14.86,13.86,13.47,9.16,5.45,-,2.73,-,3.19,3.19
17,Other Long-Term Assets,57.18,30.82,5.85,2.18,24.74,14.7,11.72,8.8,12.97,12.99,9.11,9.47,13.5,10.12,-,2.59,-,11.54,11.54
18,Total Assets,2669,2442,2250,2262,1714,1695,1776,1853,1863,1979,1911,1822,1734,1323,-,1041,-,1104,1104
19,Accounts Payable,519.75,428.29,322.5,403.99,385.44,397.71,481.4,556.56,603.46,726.12,674.22,586.35,558.63,490.69,-,298.69,-,425.9,425.9
20,Accrued Expenses,22.25,23.05,17.71,26.06,16.73,18.08,17.64,30.47,20.57,21.95,16.92,27.86,22.1,21.73,-,25.23,-,15.82,15.82
21,Short-Term Debt,330.54,210.57,130.06,104.09,80,40,40,40,60,28.66,36.79,38.24,48.59,60.11,-,31,-,31.31,31.31
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,14.12,1.07,18.02,5.9,-,-,-,16.52,-,-,-
23,Current Portion of Leases,12.14,12.97,13.12,7.36,9.08,8.49,11.03,12.93,-,13.81,-,12.57,19.36,24.2,-,-,-,20.87,20.87
24,Current Income Taxes Payable,4.5,-,2.79,1.47,5.73,0.1,1.29,-,6.95,4.62,3.8,5.06,7.57,7.48,-,4.79,-,4.27,4.27
25,Current Unearned Revenue,1.76,1.5,1.63,1.12,1.74,0.87,1.4,1.15,0.64,1.11,1.17,1.73,4.64,4.2,-,4.01,-,3.83,3.83
26,Other Current Liabilities,49.49,50.73,42.67,23.66,18.58,49.65,28.03,25.69,19.59,63.5,36.63,37.71,13.18,12.39,-,20.25,-,3.44,3.44
27,Total Current Liabilities,940.43,727.11,530.48,567.76,517.31,514.91,580.79,666.8,725.32,860.83,787.54,715.43,674.08,620.82,-,400.49,-,505.43,505.43
28,Long-Term Debt,502.87,497.33,491.95,486.57,27.52,27.52,27.93,30.29,26.03,28.03,30.03,30.03,-,-,-,-,-,-,-
