,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,448.07,298.92,296.79,200.93,348.97,268.76,313.02,284.57,456.04,310.72,373.54,343.94,433.95,293.36,268.04,205.38,308.09,258.68,258.68
1,Other Revenue,-68.5,68.5,-,109.45,-52.54,52.54,-,111.85,-60.5,60.5,-,101.06,-43.35,43.35,-,51.2,-21.88,10.94,10.94
2,Revenue,379.57,367.42,296.79,310.39,296.43,321.29,313.02,396.41,395.55,371.22,373.54,445.01,390.6,336.7,268.04,256.58,286.21,269.62,269.62
3,Revenue Growth (YoY),28.04%,14.36%,-5.18%,-21.70%,-25.06%,-13.45%,-16.20%,-10.92%,1.27%,10.25%,39.36%,73.44%,36.47%,24.88%,-0.59%,-,-,-,-
4,Cost of Revenue,328.01,325.28,252.17,298.53,246.68,292.27,266.63,351.49,336.71,323.35,312.96,396.98,310.1,282.13,214.18,221.57,215.98,212.81,212.81
5,Gross Profit,51.55,42.14,44.62,11.85,49.76,29.02,46.39,44.93,58.83,47.87,60.58,48.03,80.5,54.57,53.87,35,70.23,56.82,56.82
6,"Selling, General & Admin",15.97,15.83,13.74,18.05,14.95,10.91,14.16,21.61,12.45,12.58,10.99,15.27,12.88,10.62,10.95,8.67,12.69,11.04,11.04
7,Research & Development,24.37,20.8,14.75,7.24,14.8,16.04,15.59,16.97,20.42,18.98,17.66,16.81,16.92,14.17,16.72,13.66,13.69,13.97,13.97
8,Other Operating Expenses,-4.42,-2.05,1.96,1.26,2.01,0.89,0.84,13.22,-6.22,0.58,0.77,5.99,0.46,0.5,0.5,5.84,-3.34,1.25,1.25
9,Operating Expenses,38.2,35.65,30.24,29.28,30.33,28.56,27.27,53.37,26.77,29.93,27.63,42.96,32.49,28.4,27.17,25.03,22.15,26.81,26.81
10,Operating Income,13.35,6.5,14.38,-17.43,19.42,0.46,19.12,-8.44,32.06,17.94,32.95,5.08,48.01,26.16,26.7,9.97,48.07,30.01,30.01
11,Interest Expense,-4.72,-4.4,-4.1,-3.5,-0.9,-0.44,-0.49,-2.2,-,-1.78,-0.88,-1.4,-0.3,-1.06,-1.04,-0.73,-0.75,-0.95,-0.95
12,Interest & Investment Income,3.87,3.43,3.98,2.05,1.03,1.27,1.01,1.96,2.84,1.63,1.36,2.34,0.08,0.46,0.26,0.07,0.46,0.59,0.59
13,Currency Exchange Gain (Loss),0.82,-0.82,-,2.2,-5.1,5.1,-,7.73,-3.59,3.59,-,-2.24,2.79,-2.79,-,-6.91,1.32,-0.66,-0.66
