,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6742,5376,5676,5487,5924,5747,4235,3927,3175,2748,3217,3377,4349,4274,-,-,-,-,-,-
1,Market Cap Growth,-6.45%,-6.45%,34.04%,39.70%,86.60%,109.15%,31.64%,16.29%,-27.00%,-35.71%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7286,5354,5949,5363,5801,5560,4020,3608,2856,2375,2904,3063,4035,4250,-,-,-,-,-,-
3,Last Close Price,38.35,30.58,32.16,31.09,33.57,32.56,23.83,22.10,17.87,15.46,17.95,18.84,24.26,23.84,-,-,-,-,-,-
4,PE Ratio,239.08,189.89,201.19,237.47,-,96.31,55.86,42.36,32.20,29.52,32.48,34.26,45.16,45.96,-,-,-,-,-,-
5,PS Ratio,5.00,3.97,4.47,4.48,4.77,4.33,2.97,2.66,2.07,1.73,2.04,2.18,3.02,3.41,-,-,-,-,-,-
6,PB Ratio,5.74,4.57,4.87,4.68,5.10,5.09,3.76,3.44,2.81,2.50,2.99,3.14,4.12,4.14,-,-,-,-,-,-
7,P/TBV Ratio,4.65,4.65,4.95,4.76,5.18,5.17,3.83,3.49,2.86,2.54,3.04,3.20,4.20,4.22,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-39.89,-,-,-,-,-,-,-,-,-39.32,-,-,-,-,-,-,-,-
9,P/OCF Ratio,51.69,51.69,55.74,93.00,-,70.83,71.77,95.49,-,47.31,-,33.16,-,59.29,-,-,-,-,-,-
10,EV/Sales Ratio,5.38,3.95,4.68,4.38,4.67,4.19,2.82,2.44,1.86,1.50,1.84,1.98,2.80,3.40,-,-,-,-,-,-
11,EV/EBITDA Ratio,72.76,63.84,67.71,67.99,-,62.84,41.37,32.31,23.49,18.12,19.70,19.83,27.17,27.64,-,-,-,-,-,-
12,EV/EBIT Ratio,365.30,318.79,260.18,318.71,-,181.92,93.05,59.46,-,26.99,27.93,27.30,38.09,38.35,-,-,-,-,-,-
13,EV/FCF Ratio,-32.91,-,-41.81,-,-,-,-,-,-,-,-,-35.67,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.73,0.73,0.63,0.56,0.53,0.12,0.07,0.07,0.08,0.10,0.08,0.09,0.10,0.09,0.16,0.08,0.08,-,0.11,0.11
15,Debt / EBITDA Ratio,8.61,7.27,6.05,5.36,11.77,0.98,0.84,0.64,1.15,0.64,0.53,0.58,0.83,0.39,0.73,0.36,0.65,-,0.40,0.40
16,Debt / FCF Ratio,-,-,-5.20,-,-,-,-,-,-,-,-,-1.16,-,-,-,1.60,-,-,-,-
17,Asset Turnover,0.59,0.63,0.53,0.62,0.70,0.74,0.69,0.85,0.82,0.76,0.80,1.00,1.02,-,-,-,-,0.98,-,
18,Inventory Turnover,3.57,3.60,3.97,3.33,4.04,3.32,3.57,2.92,3.47,2.86,2.65,2.75,3.47,2.89,-,-,-,-,2.97,-
19,Quick Ratio,0.80,0.80,1.58,1.43,1.92,1.19,1.23,1.14,1.13,1.14,1.01,1.09,1.17,1.08,0.73,-,1.03,-,0.87,0.87
20,Current Ratio,1.77,1.77,2.15,2.66,2.55,1.85,1.89,1.84,1.75,1.80,1.65,1.73,1.84,1.84,1.39,-,1.71,-,1.47,1.47
21,Return on Equity (ROE),1.94%,4.81%,3.89%,-1.03%,1.98%,3.16%,5.13%,10.96%,7.99%,9.62%,7.68%,9.59%,12.98%,15.55%,11.50%,-,-,17.89%,-,
22,Return on Assets (ROA),1.31%,0.69%,1.59%,-2.19%,2.85%,0.07%,2.63%,-1.14%,4.17%,2.31%,4.41%,0.71%,7.85%,-,-,-,-,6.79%,-,
23,Return on Capital (ROIC),1.69%,0.87%,2.00%,-2.87%,3.94%,0.09%,3.91%,-1.74%,6.77%,3.84%,7.06%,1.11%,12.58%,8.90%,9.73%,-,-,11.59%,-,
24,Return on Capital Employed (ROCE),0.85%,0.97%,1.33%,0.98%,-,2.55%,3.66%,5.08%,-,7.74%,9.30%,9.99%,9.57%,10.46%,15.80%,-,18.42%,-,10.02%,5.01%
