,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,78.34,114.25,158.89,92.85,88.17,192.11,100.49,157.7,99.84,145.42,73.53,194.26,157.38,151.49,105.98,169.6,108.27,130.14,81.16
1,Other Revenue,-1.08,1.08,-,4.88,-2.56,2.56,-,3.64,-0.85,0.85,-,2.63,-1.23,1.23,-,2.27,-0.74,0.74,-
2,Revenue,77.26,115.33,158.89,97.73,85.61,194.67,100.49,161.34,98.99,146.27,73.53,196.89,156.15,152.73,105.98,171.87,107.53,130.89,81.16
3,Revenue Growth (YoY),-9.76%,-40.76%,58.11%,-39.43%,-13.52%,33.09%,36.67%,-18.06%,-36.61%,-4.23%,-30.62%,14.56%,45.22%,16.69%,30.59%,-,-,-,-
4,Cost of Revenue,63.68,61.82,94.4,131.76,69.11,106.2,79.87,98.77,87.4,76.97,70.46,103.42,78.25,96.52,65.15,84.67,50.57,58.96,58.53
5,Gross Profit,13.58,53.51,64.48,-34.03,16.51,88.47,20.62,62.57,11.59,69.3,3.07,93.48,77.9,56.21,40.83,87.2,56.96,71.92,22.62
6,"Selling, General & Admin",33.58,36.32,33.48,52.2,39.83,40.14,48.76,36.34,37.64,43.48,42.88,52.12,39.1,39.49,25.56,33.93,22.28,22.26,20.5
7,Research & Development,8.39,8.98,6.54,5.83,5.49,5.94,6.94,6.58,7.2,5.73,5.66,5.16,8.54,7.56,5.89,5.99,5.34,5.81,4.82
8,Other Operating Expenses,0.49,0.94,0.74,0.33,0.42,-0.89,-2.17,7.11,-2.72,-1.39,-1.74,6.77,-1.2,-0.4,-1.5,7.76,-0.78,-2.33,-0.97
9,Operating Expenses,47.51,60.99,43.98,94.25,55.48,58.01,56.8,71.37,44.37,53.85,48.4,74.67,52.16,47.01,31.79,50.94,26.71,28.81,24.35
10,Operating Income,-33.93,-7.48,20.51,-128.28,-38.97,30.46,-36.18,-8.8,-32.77,15.46,-45.33,18.8,25.75,9.2,9.04,36.26,30.25,43.12,-1.73
11,Interest Expense,-2.03,-2.09,-2.02,-1.74,-0.55,-0.41,-0.47,-0.28,-0.29,-0.43,-0.72,-2.1,-,-0.09,-0.21,-0.27,-0.3,-0.27,-0.15
12,Interest & Investment Income,1.97,0.68,1.5,8.03,2.67,1.13,2.99,2.15,3.9,4.07,6.23,8.29,5.71,5.31,2.96,0.05,0.32,1.29,1.33
13,Currency Exchange Gain (Loss),0.02,-0.02,-,-0.01,0.01,-0.01,-,-0,-0.01,0.01,-,0,-0.02,0.02,-,-0.06,0.01,-0.01,-
14,Other Non Operating Income (Expenses),-0.38,0.25,-0.06,-4.4,-0.37,-0.26,-0.05,-0.41,0.54,-0.64,-0.01,0.8,-0.3,-0.69,-0.42,-0.19,0.69,-1.01,-0.04
15,EBT Excluding Unusual Items,-34.35,-8.65,19.93,-126.4,-37.21,30.9,-33.71,-7.34,-28.64,18.46,-39.83,25.79,31.14,13.75,11.36,35.78,30.96,43.12,-0.58
16,Impairment of Goodwill,-,-,-,-6.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-2.67,-24.62,-57.98,-28.23,2.35,-0.48,0.26,-1,0.01,-0,-0.01,-0.01,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.01,0.18,0.22,0.16,0.29,-0.43,0.03,0.31,-0.3,0.01,0.01,0.01,0.05,-,-,-,-,-,-
19,Asset Writedown,-0.29,0.18,-0.18,26.03,-26.15,0.04,-0.04,0.27,-0.27,-0.06,0.06,-0.13,0.13,0.01,-0.01,-0,-,0.16,-0.16
20,Other Unusual Items,0.24,0.43,3.92,-0.79,-0.23,0.23,-,7.56,-0.07,0.07,-,4.13,0.08,-0.08,-,8.25,-0.01,0.01,-
21,Pretax Income,-37.08,-32.49,-34.09,-136.12,-60.94,30.26,-33.46,-0.2,-29.28,18.48,-39.77,29.8,31.4,13.69,11.35,44.03,30.95,43.29,-0.74
22,Income Tax Expense,-4.18,0.42,4.68,-15.88,-9.18,5.11,-2.54,1.03,1.16,-2.19,0.47,4.19,2.04,1.93,2.79,2.89,5.29,6.17,0.52
23,Earnings From Continuing Operations,-32.9,-32.91,-38.77,-120.24,-51.76,25.15,-30.92,-1.24,-30.44,20.68,-40.24,25.6,29.35,11.76,8.56,41.14,25.66,37.12,-1.26
