,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2136,1959,1804,2672,3479,2356,2190,2227,1835,1832,2390,3031,4222,2684,3227,4015,-,-,-,-
1,Market Cap Growth,-16.83%,-16.83%,-17.64%,20.00%,89.57%,28.59%,-8.36%,-26.54%,-56.53%,-31.76%,-25.95%,-24.51%,-,-,-,-,-,-,-,-
2,Enterprise Value,1843,1638,1460,2181,2989,1791,1596,1559,1168,1145,1674,2185,3376,1816,2314,3731,-,-,-,-
3,Last Close Price,35.30,32.38,29.81,44.16,57.99,39.26,36.50,37.11,30.59,30.53,39.83,50.52,70.37,44.74,53.79,66.92,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-57.18,-,-,-,66.30,-,55.98,29.55,37.04,35.69,-,-,-,-
5,PS Ratio,4.71,4.36,3.94,4.98,7.27,4.35,3.94,4.39,3.82,3.55,4.17,5.23,6.90,4.58,6.00,7.78,-,-,-,-
6,PB Ratio,2.44,2.22,1.97,2.83,3.54,2.13,1.91,1.99,1.60,1.59,2.02,2.61,3.52,2.29,2.82,3.55,-,-,-,-
7,P/TBV Ratio,2.35,2.35,2.09,2.99,3.74,2.26,1.95,2.04,1.63,1.61,2.03,2.62,3.53,2.29,2.82,3.55,-,-,-,-
8,P/FCF Ratio,-,-,-12.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-23.99,-,-,-,-,-,-,-,-34.33,-,-88.96,-,64.73,-,-,-,-,-
