,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3757,3395,3419,3246,4362,4549,4139,4239,3873,3733,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-25.36%,-25.36%,-17.40%,-23.42%,12.64%,21.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2733,2358,2322,2134,3251,3408,2935,3098,2732,3436,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,35.31,31.91,32.13,30.35,40.78,42.52,38.69,39.24,35.85,34.56,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,69.23,61.92,75.84,62.66,82.97,64.98,41.43,35.76,30.47,29.87,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.32,3.86,4.21,4.12,5.89,7.40,6.18,5.84,4.97,4.61,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.61,2.33,2.37,2.25,3.06,3.22,2.95,2.99,2.76,2.71,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.39,2.39,2.43,2.31,3.13,3.28,3.00,3.04,2.80,2.76,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,5942.98,-,-,-,142.72,-65.66,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,246.95,-,-,-,112.32,-72.98,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.11,2.68,2.86,2.71,4.39,5.54,4.38,4.27,3.50,4.25,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,108.20,95.11,233.84,124.04,-,80.10,38.75,29.85,22.33,27.02,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,146.88,126.72,611.25,196.96,-,93.93,42.16,31.62,23.41,28.25,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-35.65,-,-,-,4428.23,-,-,-,100.66,-60.43,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.06,0.06,0.06,0.12,0.12
15,Debt / EBITDA Ratio,0.03,0.01,0.00,0.01,-,0.05,0.01,0.10,0.02,0.01,0.01,0.01,0.01,-,-,0.16,0.17,0.17,0.49,0.49
16,Debt / FCF Ratio,-,-,-,-,0.25,-,-,-,0.05,-0.02,-,-,-,-,-,-,0.16,0.26,1.18,2.36
17,Asset Turnover,0.38,0.37,0.28,0.58,0.31,0.39,0.23,0.38,0.57,-,-,-,-,-,-,0.95,1.01,0.66,-,
18,Inventory Turnover,1.20,1.08,1.05,0.84,2.02,0.87,1.30,0.83,1.25,1.27,-,-,-,-,-,-,2.02,2.09,1.28,-
19,Quick Ratio,1.59,1.59,1.62,1.77,2.01,2.35,2.89,3.34,3.31,3.01,1.12,-,1.13,-,-,-,1.16,1.16,1.06,1.06
20,Current Ratio,2.30,2.30,2.35,2.50,2.66,3.25,3.75,4.17,3.97,3.73,1.87,-,1.78,-,-,-,1.72,1.72,1.67,1.67
21,Return on Equity (ROE),4.58%,4.92%,3.10%,3.14%,2.06%,6.96%,3.41%,7.78%,16.11%,35.51%,17.87%,-,-,-,30.91%,26.64%,28.52%,22.26%,-,
22,Return on Assets (ROA),1.67%,0.82%,0.23%,-0.71%,0.04%,1.92%,0.30%,2.60%,5.80%,-,-,-,-,-,-,9.59%,10.25%,6.77%,-,
23,Return on Capital (ROIC),2.61%,1.27%,0.35%,-1.04%,0.06%,2.55%,0.39%,3.48%,8.86%,21.90%,11.45%,-,-,-,20.76%,19.03%,19.83%,12.74%,-,
24,Return on Capital Employed (ROCE),1.26%,1.26%,0.26%,0.74%,-,2.55%,4.92%,6.86%,8.22%,8.75%,21.73%,-,24.52%,-,-,-,25.48%,17.60%,11.18%,5.59%
25,Earnings Yield,1.46%,1.61%,1.32%,1.60%,1.21%,1.54%,2.41%,2.80%,3.28%,3.35%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-2.04%,-2.26%,-2.67%,-2.29%,0.02%,0.17%,1.35%,1.34%,0.70%,-1.52%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.45%,-,-,-,0.39%,-,-,-,1.00%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,31.05%,-,101.80%,-,-,-,162.06%,0.08%,0.03%,0.02%,0.02%,0.05%,0.04%,0.01%,-,-,2.12%,2.12%,3.97%,3.97%
29,Buyback Yield / Dilution,-0.41%,-2.14%,1.35%,0.07%,-0.87%,-21.94%,-32.48%,-34.16%,-34.36%,-11.36%,0.40%,-,0.40%,0.02%,-13.43%,-,-,-,-,-
30,Total Shareholder Return,0.05%,-2.14%,1.35%,0.07%,-0.48%,-21.94%,-32.48%,-34.16%,-33.37%,-11.36%,0.40%,-,0.40%,0.02%,-13.43%,-,-,-,-,-
