,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,560.93,801.88,779.52,1264,720.09,747.59,559.96,780.15,415.28,449.04,538.45,1057,271.44,-,149.87,-
1,Cash & Short-Term Investments,560.93,801.88,779.52,1264,720.09,747.59,559.96,780.15,415.28,449.04,538.45,1057,271.44,-,149.87,-
2,Cash Growth,-22.10%,7.26%,39.21%,62.03%,73.40%,66.49%,3.99%,-26.20%,52.99%,-,259.29%,-,-,-,-,-
3,Accounts Receivable,30.54,17.03,13.41,23.21,0.78,80.3,63.71,1.43,56.43,0.75,8.49,-,-,-,0.3,-
4,Other Receivables,11.48,11.87,9.57,15.17,0.22,7.37,0.83,9.8,0.46,0.91,0.46,0.38,0.33,-,0.83,-
5,Receivables,42.02,28.9,22.98,38.38,1,87.67,64.54,11.23,56.89,1.67,8.96,0.38,0.33,-,1.13,-
6,Inventory,24.76,34.13,38.48,42.72,32.5,60.64,41.29,50.78,52.61,40.39,46.56,56.39,43.4,-,42.13,-
7,Other Current Assets,41.75,21.95,15.79,20.05,19.36,3.92,3.75,8.81,3.73,34.14,9.61,13.49,6,-,11.57,-
8,Total Current Assets,669.47,886.85,856.77,1365,772.96,899.82,669.54,850.97,528.52,525.24,603.59,1127,321.17,-,204.7,-
9,"Property, Plant & Equipment",4373,4026,3973,3855,3833,3499,3464,3464,3449,3368,3383,3373,3389,-,3417,-
10,Goodwill,169.97,169.97,169.97,169.97,169.97,96.83,60.9,61.89,37.76,5.66,5.66,5.66,5.66,-,5.66,-
11,Other Intangible Assets,921.7,892.48,892,803.66,784.75,1013,1014,1019,1022,916.8,920.52,924.72,929.06,-,936.29,-
12,Long-Term Deferred Tax Assets,24,26.1,19.7,16.8,16.21,6.77,4.98,4.55,4.48,3.66,2.8,1.96,1.18,-,-,-
