,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,11726,10983,12411,13457,12254,13379,12430,11091,12968,11707,11990,12626,13653,-,-,-,-
1,Market Cap Growth,-17.91%,-17.91%,-0.16%,21.34%,-5.51%,14.29%,3.67%,-12.16%,-5.01%,-,-,-,-,-,-,-,-
2,Enterprise Value,13970,12819,14099,15018,13444,14573,13293,11964,13886,12419,12754,13212,15282,-,-,-,-
3,Last Close Price,11.99,11.23,12.69,13.54,12.12,13.23,12.29,10.71,12.52,11.31,11.41,12.02,12.66,-,-,-,-
4,PE Ratio,24.47,23.03,27.67,33.21,32.03,39.01,30.51,29.07,32.46,24.91,26.93,27.06,30.19,-,-,-,-
5,Forward PE,18.73,15.60,19.83,23.22,27.84,33.37,21.18,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.58,7.14,8.05,9.28,8.90,10.43,10.27,9.57,11.14,9.44,9.74,10.02,11.18,-,-,-,-
7,PB Ratio,3.59,3.37,3.96,4.25,3.75,4.20,4.03,3.37,4.05,3.70,3.80,4.08,4.13,-,-,-,-
8,P/TBV Ratio,5.06,5.06,5.99,6.40,5.35,-,6.29,5.01,6.17,5.62,5.36,5.83,5.74,-,-,-,-
9,P/FCF Ratio,-,-,47.38,59.91,-,26.79,30.64,25.27,23.85,21.91,21.93,20.20,22.60,-,-,-,-
10,P/OCF Ratio,13.95,13.95,13.78,17.41,18.83,17.65,20.25,19.25,19.78,18.06,18.75,17.54,19.42,-,-,-,-
11,EV/Sales Ratio,9.08,8.33,9.15,10.35,9.77,11.36,10.98,10.33,11.93,10.02,10.36,10.48,12.52,-,-,-,-
12,EV/EBITDA Ratio,15.51,14.49,17.90,20.56,19.60,23.18,19.13,18.20,20.51,16.17,16.85,16.46,19.05,-,-,-,-
13,EV/EBIT Ratio,20.41,18.73,23.73,27.80,26.60,32.26,25.50,24.73,27.44,20.81,21.77,20.93,24.25,-,-,-,-
14,EV/FCF Ratio,-57.09,-,53.82,66.85,-,29.18,32.77,27.26,25.54,23.25,23.32,21.14,25.29,-,-,-,-
15,Debt / Equity Ratio,0.86,0.86,0.84,0.78,0.86,0.60,0.63,0.43,0.51,0.41,0.37,0.42,0.50,0.85,-,1.02,-
16,Debt / EBITDA Ratio,3.11,2.65,2.95,2.62,4.36,2.88,2.92,1.86,3.89,1.40,2.26,1.55,2.10,2.14,-,2.45,-
17,Debt / FCF Ratio,-,-,10.07,10.98,-,3.86,4.79,3.24,3.00,2.46,2.12,2.08,2.72,2.86,-,6.13,-
18,Asset Turnover,0.28,0.25,0.27,0.20,0.31,0.22,0.26,0.16,0.30,0.20,0.27,0.22,-,-,-,-,
19,Inventory Turnover,20.10,20.05,15.77,15.86,13.15,20.27,9.23,11.46,7.39,8.49,9.78,8.86,6.45,-,-,-,-
20,Quick Ratio,0.32,0.32,0.47,0.49,0.62,0.35,0.46,0.56,0.73,0.70,0.89,0.77,1.07,0.20,-,0.11,-
21,Current Ratio,0.36,0.36,0.51,0.52,0.65,0.38,0.50,0.60,0.78,0.78,1.03,0.85,1.15,0.24,-,0.15,-
22,Return on Equity (ROE),15.88%,17.21%,16.63%,10.02%,12.56%,11.58%,13.68%,5.17%,20.63%,8.48%,16.13%,16.10%,-,-,-,-,
23,Return on Assets (ROA),8.37%,7.32%,7.26%,4.82%,5.37%,5.66%,6.79%,2.97%,9.65%,4.41%,8.08%,7.58%,-,-,-,-,
24,Return on Capital (ROIC),8.92%,7.78%,7.67%,5.18%,5.96%,6.34%,7.60%,3.34%,10.83%,4.93%,8.96%,8.41%,-,-,-,-,
25,Return on Capital Employed (ROCE),14.89%,14.89%,13.55%,12.42%,11.77%,12.58%,13.66%,11.57%,11.72%,13.65%,13.58%,15.01%,14.16%,19.82%,-,10.83%,-
26,Earnings Yield,4.07%,4.34%,3.61%,3.01%,3.12%,2.56%,3.28%,3.44%,3.08%,4.01%,3.71%,3.70%,3.31%,-,-,-,-
27,FCF Yield,-2.09%,-2.23%,2.11%,1.67%,1.62%,3.73%,3.26%,3.96%,4.19%,4.56%,4.56%,4.95%,4.43%,-,-,-,-
28,Dividend Yield,3.42%,-,-,1.26%,-,-,-,7.81%,-,4.74%,-,-,-,-,-,-,-
29,Payout Ratio,104.79%,20.00%,141.50%,194.96%,27.28%,19.38%,333.92%,13.46%,35.61%,119.61%,23.29%,282.83%,22.53%,19.96%,32.57%,26.96%,27.52%
30,Buyback Yield / Dilution,0.67%,0.90%,6.20%,-7.66%,1.97%,-2.85%,-8.24%,12.31%,-10.77%,-11.18%,-8.67%,-22.26%,1.15%,-,-,-,-
31,Total Shareholder Return,4.09%,0.90%,6.20%,-6.41%,1.97%,-2.85%,-8.24%,20.11%,-10.77%,-6.44%,-8.67%,-22.26%,1.15%,-,-,-,-
