,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,436.73,386.42,416.96,298.95,439.08,296.19,342.48,205.13,364.31,244.77,346.99,280.68,356.7,273.36,308.47,312.24
1,Other Revenue,-,-0.51,0.51,-,-,-0.94,0.94,-,2.73,-1.91,1.91,-,1.68,-0.75,0.75,-
2,Revenue,436.73,385.91,417.47,298.95,439.08,295.26,343.42,205.13,367.04,242.86,348.89,280.68,358.38,272.62,309.22,312.24
3,Revenue Growth (YoY),-0.54%,30.70%,21.56%,45.73%,19.63%,21.57%,-1.57%,-26.92%,2.41%,-10.91%,12.83%,-10.11%,-,-,-,-
4,Cost of Revenue,147.62,143.17,160.99,123.65,236.05,117.58,131.89,95.53,98.73,106.3,114.06,80.49,110.97,87.4,84.84,85.74
5,Gross Profit,289.11,242.74,256.48,175.3,203.03,177.67,211.53,109.61,268.3,136.56,234.83,200.19,247.42,185.22,224.38,226.5
6,"Selling, General & Admin",48.85,43.93,44.73,37.61,43.35,35.55,38.47,37.37,37.61,30.63,38.93,34.24,40.7,31.63,36.67,34.33
7,Research & Development,14.66,9.14,12.26,10.42,19.09,9.11,8.47,5.55,12.33,11.29,10.62,8.57,11.59,12.25,12.68,6.49
8,Other Operating Expenses,15.99,11.39,20.32,9.88,19.04,10.53,16.21,7.4,24.98,9.1,17.54,4.45,15.46,9.91,8.98,11.37
9,Operating Expenses,78,65.3,76.53,59.37,82.1,54.2,66.41,47.46,77.79,50.59,67.48,47.31,67.77,53.79,58.07,51.35
10,Operating Income,211.11,177.44,179.95,115.93,120.94,123.47,145.12,62.15,190.51,85.98,167.35,152.89,179.64,131.43,166.31,175.15
11,Interest Expense,-12.37,-27.23,-26.93,-24.62,-8.68,-15.68,-14.52,-15.43,-14.72,-15.35,-20.23,-24.73,-27.69,-28.99,-29.85,-33.77
12,Interest & Investment Income,78.78,4.17,5.8,2.4,45.63,3.2,2.98,2.5,3.33,3.25,6.35,2.72,1.59,0.68,0.43,2.02
13,Currency Exchange Gain (Loss),-,-0,0,-,-,-0,0,-,0,-0,0,-,-0,0,-0,-
14,Other Non Operating Income (Expenses),-124.24,0.45,-1.71,0.97,-49.92,-2.16,-5.82,-0.45,0.25,-0.05,0.06,-0.35,-0.2,-0.01,-1.35,-0.01
15,EBT Excluding Unusual Items,153.29,154.83,157.11,94.67,107.97,108.83,127.76,48.77,179.37,73.83,153.53,130.52,153.35,103.12,135.54,143.39
16,Gain (Loss) on Sale of Assets,9.29,-0.07,-8.88,0,0.03,0.02,0.45,-,0.35,0.04,-,-,-0.05,-0.01,0.02,-
17,Asset Writedown,-,-,-,-,2.37,-1.03,-0.92,-0.42,-,-,-,-,-,-,-,-
18,Other Unusual Items,-0.07,-1.66,1.68,0.05,-,-,-,-,7.7,-,-,-,3.9,-,-,-
19,Pretax Income,162.5,153.09,149.92,94.72,110.37,107.82,127.3,48.35,187.43,73.87,153.53,130.52,157.2,103.11,135.56,143.39
20,Income Tax Expense,35.53,17.59,16.24,13.9,11.88,15.59,16.26,7.21,24.45,7.62,24.47,18.88,18.84,15.53,20.96,21.04
21,Earnings From Continuing Operations,126.97,135.5,133.67,80.82,98.49,92.22,111.05,41.13,162.99,66.25,129.06,111.64,138.36,87.58,114.6,122.35
22,Minority Interest in Earnings,-,-,-,-,-,-,-,0.09,-,-,-,-,-,-,-,-
23,Net Income,126.97,135.5,133.67,80.82,98.49,92.22,111.05,41.22,162.99,66.25,129.06,111.64,138.36,87.58,114.6,122.35
24,Net Income to Common,126.97,135.5,133.67,80.82,98.49,92.22,111.05,41.22,162.99,66.25,129.06,111.64,138.36,87.58,114.6,122.35
25,Net Income Growth,28.92%,46.92%,20.38%,96.06%,-39.57%,39.20%,-13.96%,-63.08%,17.80%,-24.35%,12.62%,-8.75%,-,-,-,-
26,Shares Outstanding (Basic),977,967,940,1010,986,1031,873,1031,959,952,995,930,862,876,814,941
27,Shares Outstanding (Diluted),977,967,940,1010,986,1031,873,1031,959,952,995,930,862,876,814,941
28,Shares Change (YoY),-0.90%,-6.20%,7.66%,-1.97%,2.85%,8.24%,-12.31%,10.77%,11.18%,8.67%,22.26%,-1.15%,-,-,-,-
29,EPS (Basic),0.13,0.14,0.14,0.08,0.10,0.09,0.13,0.04,0.17,0.07,0.13,0.12,0.16,0.10,0.14,0.13
30,EPS (Diluted),0.13,0.14,0.14,0.08,0.10,0.09,0.13,0.04,0.17,0.07,0.13,0.12,0.16,0.10,0.14,0.13
31,EPS Growth,30.09%,56.63%,11.81%,100.00%,-41.25%,28.60%,-1.88%,-66.67%,5.96%,-30.39%,-7.89%,-7.69%,-,-,-,-
32,Free Cash Flow,-239.25,70.01,106.32,-181.76,267.37,32.71,80.45,118.89,173.63,65.95,185.25,109.38,186.24,144.13,164.42,170.7
33,Free Cash Flow Per Share,-0.24,0.07,0.11,-0.18,0.27,0.03,0.09,0.12,0.18,0.07,0.19,0.12,0.22,0.16,0.20,0.18
34,Dividend Per Share,-,-,0.170,-,-,-,0.300,-,0.536,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-43.33%,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,66.20%,62.90%,61.44%,58.64%,46.24%,60.18%,61.59%,53.43%,73.10%,56.23%,67.31%,71.32%,69.04%,67.94%,72.56%,72.54%
37,Operating Margin,48.34%,45.98%,43.10%,38.78%,27.54%,41.82%,42.26%,30.30%,51.90%,35.40%,47.97%,54.47%,50.13%,48.21%,53.78%,56.09%
38,Profit Margin,29.07%,35.11%,32.02%,27.03%,22.43%,31.24%,32.34%,20.10%,44.41%,27.28%,36.99%,39.78%,38.61%,32.12%,37.06%,39.19%
39,Free Cash Flow Margin,-54.78%,18.14%,25.47%,-60.80%,60.89%,11.08%,23.43%,57.96%,47.31%,27.16%,53.10%,38.97%,51.97%,52.87%,53.17%,54.67%
40,EBITDA,264.37,223.64,234.82,162.13,167.15,166.26,190.39,104.94,233.3,128.76,210.21,195.67,222.43,174.44,209.48,218.16
41,EBITDA Margin,60.53%,57.95%,56.25%,54.23%,38.07%,56.31%,55.44%,51.15%,63.56%,53.02%,60.25%,69.71%,62.06%,63.99%,67.75%,69.87%
42,D&A For EBITDA,53.26,46.2,54.87,46.2,46.22,42.79,45.27,42.79,42.79,42.79,42.86,42.79,42.79,43.01,43.17,43.01
43,EBIT,211.11,177.44,179.95,115.93,120.94,123.47,145.12,62.15,190.51,85.98,167.35,152.89,179.64,131.43,166.31,175.15
44,EBIT Margin,48.34%,45.98%,43.10%,38.78%,27.54%,41.82%,42.26%,30.30%,51.90%,35.40%,47.97%,54.47%,50.13%,48.21%,53.78%,56.09%
