,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,867.43,1018,1210,-,899.61,-,959.37,1012,957.05,780.09
1,Revenue Growth (YoY),-28.29%,-,34.45%,-,-6.23%,-,0.24%,29.70%,45.74%,46.37%
2,Cost of Revenue,291.53,346.95,393.31,-,293.24,-,196.96,428.56,531.64,341.55
3,Gross Profit,575.91,671.17,816.26,-,606.38,-,762.41,583.21,425.41,438.55
4,"Selling, General & Admin",852.27,1042,1224,-,1327,-,1091,704.63,470.77,461.39
5,Other Operating Expenses,10.96,-49.58,-22.51,-,32.68,-,-29.36,-81.36,-16.56,-26.82
6,Operating Expenses,863.23,1023,1202,-,1359,-,1062,628.51,454.21,435.74
7,Operating Income,-287.32,-351.42,-385.3,-,-752.86,-,-299.52,-45.3,-28.8,2.8
8,Interest Expense,-212.99,-71.25,-79.97,-,-79.55,-,-28,-18.73,-37,-8.78
9,Interest & Investment Income,8.1,22.42,20.86,-,9.09,-,8.85,12.05,3.99,9.42
10,Earnings From Equity Investments,-0.45,-11.68,1.2,-,-2.76,-,-0.08,-21.45,-1.96,3.94
11,Currency Exchange Gain (Loss),-,27.26,-,-,136.53,-,57.86,-8.36,1.83,9
12,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-3.26,-,-5.46
13,EBT Excluding Unusual Items,-492.66,-384.67,-443.21,-,-689.56,-,-260.89,-85.05,-61.93,10.92
14,Merger & Restructuring Charges,-,-,-,-,-,-,-,-4.7,-,-
15,Gain (Loss) on Sale of Investments,-,98.38,-,-,-14.22,-,76.54,93.85,0.12,25.79
16,Gain (Loss) on Sale of Assets,-,-0.28,-,-,-,-,-,-0.04,-,0.01
17,Asset Writedown,-,-1.19,-,-,-,-,-,-,-,-
18,Other Unusual Items,-54.48,-0.16,4.78,-,23.35,-,-385.41,-590.65,-495.66,-
19,Pretax Income,-547.15,-287.92,-438.44,-,-680.43,-,-569.76,-586.59,-557.47,36.72
20,Income Tax Expense,22.7,3.71,31.2,-,-21.67,-,-9.52,34.12,-11.81,13.49
21,Earnings From Continuing Operations,-569.84,-291.63,-469.63,-,-658.76,-,-560.24,-620.72,-545.66,23.23
22,Earnings From Discontinued Operations,-,-,-,-,-0.85,-,-24.09,-,-,-
23,Net Income to Company,-569.84,-291.63,-469.63,-,-659.61,-,-584.33,-620.72,-545.66,23.23
24,Minority Interest in Earnings,19.06,-14.39,17.4,-,51.07,-,26.62,7.77,1.99,-0.21
25,Net Income,-550.78,-306.02,-452.24,-,-608.55,-,-557.71,-612.95,-543.67,23.02
26,Net Income to Common,-550.78,-306.02,-452.24,-,-608.55,-,-557.71,-612.95,-543.67,23.02
27,Shares Outstanding (Basic),2862,2754,2733,-,2544,-,2277,2246,2222,2208
28,Shares Outstanding (Diluted),2862,2754,2733,-,2544,-,2277,2246,2222,2244
29,Shares Change (YoY),4.73%,-,7.44%,-,11.68%,-,2.48%,0.11%,13.12%,227.77%
30,EPS (Basic),-0.19,-0.11,-0.17,-,-0.24,-,-0.24,-0.27,-0.24,0.01
31,EPS (Diluted),-0.19,-0.11,-0.17,-,-0.24,-,-0.24,-0.28,-0.24,0.01
32,Free Cash Flow,-28.45,-4.78,-709.58,-,-490.47,-,-523.02,84.61,-146.64,-45.04
33,Free Cash Flow Per Share,-0.01,-0.00,-0.26,-,-0.19,-,-0.23,0.04,-0.07,-0.02
34,Operating Margin,-33.12%,-34.52%,-31.85%,-,-83.69%,-,-31.22%,-4.48%,-3.01%,0.36%
35,Profit Margin,-63.50%,-30.06%,-37.39%,-,-67.65%,-,-58.13%,-60.58%,-56.81%,2.95%
36,Free Cash Flow Margin,-3.28%,-0.47%,-58.66%,-,-54.52%,-,-54.52%,8.36%,-15.32%,-5.77%
37,EBITDA,-159.05,-328.7,-361.69,-,-728.37,-,-280.17,-35.51,-24.61,6.34
38,D&A For EBITDA,128.28,22.72,23.6,25.25,24.5,25.06,19.35,9.79,4.18,3.54
39,EBIT,-287.32,-351.42,-385.3,-,-752.86,-,-299.52,-45.3,-28.8,2.8
40,Advertising Expenses,-,-,-,-,190.75,-,-,-,-,-
