,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,8533,4247,8048,10619,16866,13581,20107,41629,31434,21779,7588
1,Market Cap Growth,-60.01%,-60.01%,-52.28%,-21.80%,-16.12%,-67.38%,-36.03%,91.14%,314.25%,111.08%,-
2,Enterprise Value,9165,5445,8725,12148,17819,12120,19869,42486,31212,20709,7367
3,Last Close Price,2.36,1.38,2.88,3.80,6.66,5.36,7.89,17.12,13.94,9.73,3.39
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,21.74
5,Forward PE,-,-,-,-,-,-,-,192.62,-,214.22,26.21
6,PS Ratio,3.27,2.10,3.28,8.13,-,12.89,-,17.56,13.44,11.43,4.72
7,PB Ratio,2.59,1.57,2.61,3.20,6.66,3.36,3.89,10.68,21.13,13.70,3.41
8,P/TBV Ratio,3.16,3.16,5.12,5.64,20.19,6.83,5.78,19.73,821.05,16.36,3.66
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-426.66,-,-
10,P/OCF Ratio,43.53,43.53,-12.26,-,-,-,-,-,-552.53,-,-
11,PEG Ratio,-,-,-,-,-,-,-,1.53,4.51,3.88,0.48
12,EV/Sales Ratio,4.52,2.69,3.56,9.29,-,11.50,-,17.92,13.35,10.87,4.58
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,910.00
14,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-235203.20
15,EV/FCF Ratio,-256.68,-,-,-,-,-,-,-,-423.64,-,-
16,Debt / Equity Ratio,0.79,0.79,1.15,1.05,1.73,1.19,0.74,1.40,2.04,1.38,0.19
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-41.29,-,-
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-0.00%
19,Earnings Yield,-10.79%,-21.68%,-10.38%,-4.60%,-,-5.25%,-,-3.38%,-4.37%,-2.62%,4.60%
20,FCF Yield,-0.42%,-0.84%,-9.78%,-7.22%,-,-4.23%,-,-1.27%,-0.23%,-0.97%,-6.82%
21,Buyback Yield / Dilution,-7.69%,-4.73%,-,-7.44%,-,-11.68%,-,-2.48%,-0.11%,-13.12%,-227.77%
22,Total Shareholder Return,-7.69%,-4.73%,-,-7.44%,-,-11.68%,-,-2.48%,-0.11%,-13.12%,-227.77%
