,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1214,1667,2111,1710,2880,3809,4963,1824,2148,870.33
1,Short-Term Investments,225.85,269.93,478.83,324.16,151.82,190.3,69.94,44.83,-,393
2,Trading Asset Securities,35.36,308.06,95.06,624.01,336.86,458.3,142.82,182.33,59.48,61.36
3,Cash & Short-Term Investments,1475,2245,2684,2658,3369,4458,5176,2051,2208,1325
4,Cash Growth,-45.06%,-15.56%,-20.32%,-40.37%,-34.91%,117.33%,134.45%,54.84%,369.07%,938.28%
5,Accounts Receivable,262.85,368.11,391.83,391.74,298.36,374.4,289.23,239.48,309.09,156.39
6,Other Receivables,-,170.57,116.56,103.02,-63.05,80.94,46.1,77.25,52.59,37.15
7,Receivables,262.85,728.68,534.41,521.89,288.25,578.13,386.71,349.59,394.19,234.53
8,Prepaid Expenses,-,14.96,17.54,16.52,15.76,17.91,39.91,16.77,8.69,12.91
9,Restricted Cash,518.33,513.41,417.85,781.31,519.47,0.54,3.82,-,-,-
10,Other Current Assets,2230,1328,1330,964.52,1562,1463,1945,1804,1542,1283
11,Total Current Assets,4486,4830,4984,4943,5755,6518,7551,4221,4152,2855
12,"Property, Plant & Equipment",690.24,672.6,644.45,626.13,594.32,354.54,260.53,177.87,81.85,82.2
13,Long-Term Investments,1018,1005,853.88,783.53,1139,1122,557.43,262.13,161.37,107.33
14,Goodwill,-,737.31,737.31,743.07,937.91,583.14,563.14,538.38,99.96,-
15,Other Intangible Assets,1175,537.34,502.03,667.4,725.28,646.66,489.65,477.4,134.8,138.79
16,Long-Term Deferred Tax Assets,4.83,23.56,70.89,61.81,43.14,25.09,55.48,44.37,57.06,45.18
17,Long-Term Deferred Charges,58.18,18.81,140.64,41.85,106.12,96.23,145.72,79.54,104.38,56.49
18,Other Long-Term Assets,38.56,43.49,45.92,48.42,49.39,85.71,37.63,53.49,18.77,18.77
19,Total Assets,7471,7868,8090,7971,9356,9437,9666,5854,4810,3304
20,Accounts Payable,1958,31.92,110.73,43.18,40.74,134.35,303.47,322.02,284.26,222.18
21,Accrued Expenses,-,564.75,510.86,558.32,498.14,457.38,332.22,329.14,235.46,166.69
22,Short-Term Debt,1706,1353,1559,1819,1563,745,493,425.05,390.13,300
23,Current Portion of Long-Term Debt,-,1306,1293,136.7,120.56,-,-,46.37,-,-
24,Current Portion of Leases,25.14,31.95,53.07,66.2,76.57,93.27,55.51,31.09,14.97,15.01
25,Current Income Taxes Payable,10.04,11.57,51.54,9.61,5.07,1.15,0.02,0.82,0.92,2.65
26,Current Unearned Revenue,220.64,263.38,264.47,291.31,311.47,316.51,746.51,376.26,559.88,438.38
27,Other Current Liabilities,683.18,862.19,795.82,824.63,827.72,1045,326.04,839.27,150.92,28.92
28,Total Current Liabilities,4603,4424,4639,3749,3443,2793,2257,2370,1637,1174
