,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2497,2095,2913,3330,3162,2787,5953,2926,2658,2521,Upgrade
1,Short-Term Investments,795.85,1150,-,621.5,526.5,979.66,543.6,836.57,500.31,295.59,Upgrade
2,Cash & Short-Term Investments,3293,3246,2913,3951,3689,3766,6497,3763,3158,2817,Upgrade
3,Cash Growth,13.05%,-17.85%,-21.03%,4.91%,-43.22%,0.09%,105.71%,33.59%,34.86%,5.62%,Upgrade
4,Accounts Receivable,696.21,1989,1129,1843,1076,2676,1038,2152,716.35,1778,Upgrade
5,Other Receivables,1337,6.11,1137,5.97,1524,6.33,1419,6.29,1159,6.17,Upgrade
6,Receivables,2033,1995,2266,1849,2599,2682,2457,2158,1875,1784,Upgrade
7,Inventory,497.59,594.83,590.59,582.56,574.28,408.23,436.65,328.39,221.65,262.85,Upgrade
8,Total Current Assets,5824,5836,5770,6383,6862,6857,9391,6249,5255,4864,Upgrade
9,"Property, Plant & Equipment",10241,10747,11354,10884,11384,11517,10239,9726,8734,8721,Upgrade
10,Long-Term Investments,1796,1819,1981,1931,2134,2048,950.88,1063,1068,1073,Upgrade
11,Goodwill,-,945.72,-,954.71,-,981.66,-,972.68,-,935.95,Upgrade
12,Other Intangible Assets,1002,72.42,1004,87.75,1041,57.01,1037,51.39,964.29,34.22,Upgrade
13,Long-Term Deferred Tax Assets,44.63,45.18,0.63,12.53,0.66,4.82,4.77,5.81,11.6,8.97,Upgrade
14,Other Long-Term Assets,1294,1375,1322,1457,1309,1183,1233,1201,1156,1196,Upgrade
15,Total Assets,20202,20841,21431,21710,22730,22649,22856,19270,17189,16832,Upgrade
16,Accounts Payable,653.31,750.39,563.01,729.49,571.81,656.8,435.43,448.53,410.12,492.87,Upgrade
17,Accrued Expenses,-,174.04,-,341.96,-,128.51,-,165.37,-,192.72,Upgrade
18,Current Portion of Long-Term Debt,1644,3665,3740,4530,1714,1345,3862,1342,1749,1409,Upgrade
19,Current Portion of Leases,9.53,11.07,11.45,10.99,123.16,16.22,15.74,18.12,15.17,12.76,Upgrade
20,Current Income Taxes Payable,178.65,185.91,299.11,143.73,310.49,189.62,191.78,196.97,237.1,236.65,Upgrade
21,Current Unearned Revenue,2406,2899,2285,2951,2508,2917,2177,2306,1550,1571,Upgrade
22,Other Current Liabilities,911.94,946.15,979.29,695.89,923.2,629.08,884.56,672.31,856.32,603.47,Upgrade
23,Total Current Liabilities,5803,8632,7878,9403,6151,5883,7566,5149,4817,4518,Upgrade
24,Long-Term Debt,6358,4047,3908,3871,6859,7375,6781,6407,5441,5438,Upgrade
25,Long-Term Leases,26.02,28.44,27.84,40.65,69.2,58.75,63.16,58.44,55.89,48.11,Upgrade
26,Long-Term Deferred Tax Liabilities,425.62,427.32,408.7,402.53,327.03,315.33,155.97,123.62,229.6,237.41,Upgrade
27,Other Long-Term Liabilities,141.16,144.9,147.57,141.74,196.86,197.97,197.8,186.1,143.03,147.84,Upgrade
28,Total Liabilities,12754,13279,12370,13859,13603,13830,14764,11924,10686,10389,Upgrade
29,Common Stock,56.37,56.37,56.37,56.37,57.67,57.67,57.67,57.67,57.67,57.67,Upgrade
30,Additional Paid-In Capital,13.21,1411,13.21,1411,13.21,1411,13.21,1411,13.21,1411,Upgrade
31,Retained Earnings,4014,3745,5156,3984,4392,3840,3246,2936,3097,2908,Upgrade
32,Comprehensive Income & Other,-174.05,-1394,-47.01,-1229,513.93,-516.94,871.13,-626.81,227.71,-918.03,Upgrade
33,Total Common Equity,3910,3818,5178,4223,4977,4791,4188,3778,3396,3458,Upgrade
34,Minority Interest,3538,3744,3883,3628,4151,4028,3904,3568,3107,2985,Upgrade
35,Shareholders' Equity,7447,7562,9062,7851,9128,8819,8092,7346,6503,6443,Upgrade
36,Total Liabilities & Equity,20202,20841,21431,21710,22730,22649,22856,19270,17189,16832,Upgrade
37,Total Debt,8038,7751,7687,8453,8766,8795,10722,7825,7260,6907,Upgrade
38,Net Cash (Debt),-4745,-4505,-4774,-4502,-5077,-5029,-4225,-4062,-4102,-4091,Upgrade
39,Net Cash Per Share,-0.97,-0.92,-0.97,-0.95,-1.01,-1.02,-0.82,-0.82,-0.83,-0.82,Upgrade
40,Filing Date Shares Outstanding,4901,4893,4910,4763,5040,4924,5139,4932,4932,4967,Upgrade
41,Total Common Shares Outstanding,4901,4893,4910,4763,5040,4924,5139,4932,4932,4967,Upgrade
42,Working Capital,20.37,-2796,-2108,-3020,711.58,973.84,1825,1100,437.78,345.27,Upgrade
43,Book Value Per Share,0.80,0.78,1.05,0.89,0.99,0.97,0.81,0.77,0.69,0.70,Upgrade
44,Tangible Book Value,2907,2800,4174,3180,3936,3753,3151,2754,2431,2488,Upgrade
45,Tangible Book Value Per Share,0.59,0.57,0.85,0.67,0.78,0.76,0.61,0.56,0.49,0.50,Upgrade
46,Buildings,-,1234,-,1216,-,1250,-,1136,-,924.69,Upgrade
47,Machinery,-,3686,-,2865,-,2999,-,1744,-,1579,Upgrade
48,Construction In Progress,-,565.44,-,1599,-,1342,-,2152,-,1300,Upgrade
