,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2054258,2248211,2581482,2561002,2902469,2663442,3061820,2925233,2538237,2481326,3300847,4848830,6191933,3642314,1600342,1520666,1547983,1670911,1183752,915131,648787,Upgrade
1,Market Cap Growth,-15.59%,-15.59%,-15.69%,-12.45%,14.35%,7.34%,-7.24%,-39.67%,-59.01%,-31.88%,106.26%,218.86%,300.00%,117.98%,35.19%,66.17%,138.60%,42.52%,-16.36%,-37.44%,-57.44%,Upgrade
2,Enterprise Value,4417936,5300338,5671085,5587127,5716656,5634703,5954233,5820080,5462888,4922766,5688868,7534339,8761815,6273762,4218312,4241639,4494683,5200998,4717515,4565573,3734398,Upgrade
3,Last Close Price,7520.00,8230.00,9450.00,9375.00,10625.00,9750.00,11208.33,10708.33,9291.67,9083.33,12083.33,16497.06,21066.67,12392.16,5444.80,5173.73,5266.67,5684.90,4027.45,3113.53,2207.35,Upgrade
4,PE Ratio,30.32,37.21,55.26,49.98,51.02,46.11,40.02,19.21,7.08,4.58,5.46,9.35,19.70,27.05,19.81,15.22,15.55,17.80,12.41,7.31,3.90,Upgrade
5,PS Ratio,0.26,0.32,0.35,0.36,0.41,0.37,0.43,0.40,0.32,0.31,0.43,0.72,1.00,0.64,0.26,0.23,0.25,0.26,0.18,0.13,0.09,Upgrade
6,PB Ratio,0.62,0.64,0.74,0.74,0.84,0.78,0.89,0.86,0.75,0.74,0.99,1.36,1.85,1.16,0.52,0.50,0.51,0.56,0.40,0.31,0.22,Upgrade
7,P/TBV Ratio,0.77,0.77,0.89,0.89,1.02,0.95,1.09,1.05,0.92,0.91,1.23,1.49,2.07,1.30,0.59,0.56,0.58,0.63,0.45,0.35,0.25,Upgrade
8,P/FCF Ratio,-,-19.16,-11.29,-,-,-,-,12.12,6.67,-,10.85,31.65,-,-,-,-5.67,-4.44,-1.71,-,-,-,Upgrade
9,P/OCF Ratio,-,-27.56,-11.71,-,-,-,13.93,6.38,4.22,-,6.27,23.43,-,-,-,2.72,2.84,-49.94,-,-5.32,-,Upgrade
10,EV/Sales Ratio,0.62,0.74,0.77,0.78,0.81,0.78,0.84,0.80,0.70,0.62,0.75,1.11,1.41,1.10,0.68,0.64,0.72,0.82,0.70,0.66,0.50,Upgrade
11,EV/EBITDA Ratio,10.43,12.51,13.24,13.76,13.28,12.52,12.91,10.97,7.67,5.86,6.46,9.53,15.29,14.73,10.40,9.76,10.57,13.05,12.57,12.00,9.18,Upgrade
12,EV/EBIT Ratio,15.62,18.75,19.86,21.32,20.73,18.69,18.57,14.69,9.19,6.82,7.48,11.24,19.43,20.81,15.06,13.72,14.92,18.72,18.40,17.15,12.45,Upgrade
13,EV/FCF Ratio,-37.65,-45.17,-24.79,-,-,-,-,24.11,14.36,-,18.69,49.19,-,-,-,-15.81,-12.89,-5.33,-,-,-,Upgrade
14,Debt / Equity Ratio,1.55,1.55,1.25,1.27,1.23,1.29,1.28,1.29,1.26,1.21,1.16,1.08,1.18,1.25,1.30,1.32,1.34,1.42,1.35,1.39,1.39,Upgrade
15,Debt / EBITDA Ratio,12.79,15.66,9.04,9.08,11.08,12.10,11.24,7.52,9.21,9.97,5.82,2.96,4.05,6.92,12.88,9.18,10.48,8.71,9.47,10.08,14.43,Upgrade
16,Debt / FCF Ratio,-,-46.19,-18.99,-,-,-,-,18.15,11.20,-,12.77,25.31,-,-,-,-15.04,-11.60,-4.36,-,-,-,Upgrade
17,Asset Turnover,0.76,0.90,0.94,0.79,0.90,0.84,0.88,0.87,0.83,0.95,1.19,0.97,0.76,0.60,0.97,0.72,1.02,0.82,0.79,0.78,Upgrade,
18,Inventory Turnover,4.70,4.73,4.95,4.93,3.92,4.46,4.14,4.49,4.39,4.33,5.22,5.80,4.71,4.15,3.25,4.70,3.36,4.55,3.48,3.52,3.81,Upgrade
19,Quick Ratio,1.04,1.04,0.69,0.71,0.67,0.67,0.63,0.64,0.66,0.60,0.64,0.76,0.72,0.71,0.71,0.67,0.70,0.68,0.62,0.53,0.61,Upgrade
20,Current Ratio,1.53,1.53,1.20,1.21,1.21,1.22,1.15,1.16,1.21,1.20,1.22,1.42,1.36,1.34,1.35,1.33,1.33,1.27,1.27,1.14,1.24,Upgrade
21,Return on Equity (ROE),2.12%,2.06%,2.29%,1.93%,0.66%,2.74%,3.16%,2.07%,3.46%,11.45%,27.04%,24.82%,11.01%,1.30%,3.56%,2.81%,4.61%,4.37%,3.62%,1.95%,Upgrade,
22,Return on Assets (ROA),1.45%,2.55%,2.61%,1.83%,1.62%,1.84%,3.01%,2.65%,2.23%,4.14%,9.29%,6.89%,3.77%,1.57%,2.62%,2.10%,3.03%,2.54%,2.37%,1.35%,Upgrade,
23,Return on Capital (ROIC),1.54%,2.71%,2.77%,1.95%,1.73%,1.97%,3.23%,2.86%,2.50%,4.67%,10.10%,7.42%,3.98%,1.65%,2.78%,2.23%,3.20%,2.70%,2.55%,1.47%,Upgrade,
24,Return on Capital Employed (ROCE),6.09%,6.09%,7.69%,7.03%,7.38%,8.04%,8.98%,11.11%,16.70%,20.27%,21.47%,17.49%,12.44%,8.77%,8.22%,9.07%,8.76%,8.06%,7.46%,7.81%,8.76%,Upgrade
25,Earnings Yield,2.94%,2.69%,1.81%,2.00%,1.96%,2.17%,2.66%,5.38%,14.31%,22.06%,18.37%,10.74%,5.11%,3.75%,5.17%,6.70%,6.56%,5.74%,8.40%,14.11%,26.28%,Upgrade
26,FCF Yield,-5.71%,-5.22%,-8.86%,-12.32%,-0.34%,6.15%,5.39%,8.25%,14.99%,10.83%,9.22%,3.16%,-2.43%,0.17%,23.27%,-17.64%,-22.52%,-58.42%,-119.58%,-115.63%,-205.61%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,10.34%,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,0.70%,2.54%,-,0.18%,-,-,-,0.14%,56.56%,1304.34%,0.02%,0.07%,0.00%,-,0.24%,0.22%,0.04%,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,10.83%,-0.14%,9.50%,33.75%,-0.27%,0.09%,-0.28%,0.23%,0.30%,0.34%,0.92%,0.35%,0.09%,-0.49%,-0.76%,-0.88%,0.47%,-7.34%,-0.10%,0.70%,-0.70%,Upgrade
30,Total Shareholder Return,10.83%,-0.14%,9.50%,33.75%,-0.27%,0.09%,-0.28%,0.23%,0.30%,0.34%,11.26%,0.35%,0.09%,-0.49%,-0.76%,-0.88%,0.47%,-7.34%,-0.10%,0.70%,-0.70%,Upgrade
