,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1687315,1881415,1938194,1629850,1883259,1749210,1826563,1762207,1708653,1964170,2385867,1871834,1407235,1110944,1829858,1370810,1917606,1514647,1471944,1462560,Upgrade
1,Revenue Growth (YoY),-10.40%,7.56%,6.11%,-7.51%,10.22%,-10.94%,-23.44%,-5.86%,21.42%,76.80%,30.39%,36.55%,-26.61%,-26.65%,24.32%,-6.27%,-15.82%,-13.06%,-24.03%,-17.56%,Upgrade
2,Cost of Revenue,1561121,1726077,1780321,1510453,1768592,1638432,1671525,1618089,1567877,1743911,1956474,1567306,1246095,1011280,1685695,1265268,1772398,1400813,1358192,1377924,Upgrade
3,Gross Profit,126194,155338,157872,119397,114667,110777,155039,144118,140777,220259,429393,304528,161140,99664,144162,105542,145208,113833,113751,84636,Upgrade
4,"Selling, General & Admin",74814,70433,71894,58908,60507,49352,55379,57911,67386,83285,131437,91157,48764,53167,65389,41656,54171,38468,42754,44241,Upgrade
5,Operating Expenses,74814,70433,71894,58908,60507,49352,55379,57911,67386,83285,131437,91157,48764,53167,65389,41656,54171,38468,42754,44241,Upgrade
6,Operating Income,51380,84905,85979,60489,54160,61425,99659,86207,73391,136974,297956,213371,112376,46497,78773,63886,91036,75365,70998,40395,Upgrade
7,Interest Expense,-95279,-67063,-83479,-63259,-93292,-82944,-101179,-84721,-68148,-57888,-61621,-45504,-36110,-63204,-65835,-60920,-72707,-66916,-70560,-66846,Upgrade
8,Interest & Investment Income,75731,21851,27577,15787,50693,57171,41665,21778,32496,29632,18522,46662,23276,23581,21195,9062,22282,27682,30868,39763,Upgrade
