,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1711692,534289,576705,570044,1112380,653979,215781,433560,640791,691333,505929,263165,357187,520691,580999,400698,539330,308035,459992,253402,Upgrade
1,Short-Term Investments,1530590,941631,915272,826065,663676,952336,1452885,1106632,681061,920551,1145261,1158990,1167290,976376,988555,1071875,890784,319143,204637,265708,Upgrade
2,Cash & Short-Term Investments,3242282,1475920,1491977,1396110,1776055,1606315,1668666,1540192,1321852,1611884,1651190,1422155,1524477,1497067,1569554,1472574,1430113,627177,664628,519110,Upgrade
3,Cash Growth,82.56%,-8.12%,-10.59%,-9.35%,34.36%,-0.35%,1.06%,8.30%,-13.29%,7.67%,5.20%,-3.42%,6.60%,138.70%,136.16%,183.67%,42.98%,-5.32%,2.63%,-23.73%,Upgrade
4,Accounts Receivable,1664197,1723132,1698733,1574164,1228726,1390770,1356682,1461918,1339124,1463159,1481092,1516061,1349730,1257006,1130500,1272016,1348175,1628594,1480511,1868754,Upgrade
5,Other Receivables,38256,24033,29119,35418,34845,47144,36758,43895,41755,43836,119436,135245,45400,40636,37711,131628,104300,136942,56678,71500,Upgrade
6,Receivables,1702453,1747164,1727852,1609582,1263571,1437914,1393440,1505813,1380879,1796995,1695528,1747807,1426632,1337642,1208211,1403644,1452475,1765535,1537189,1940253,Upgrade
7,Inventory,1224665,1414352,1377108,1509991,1571797,1600589,1561719,1413810,1535483,1359106,1313093,1384486,1278604,1126182,1363133,1504425,1507905,1609152,1606839,1481890,Upgrade
8,Prepaid Expenses,2735,1764,2149,1761,2106,1684,1798,1979,2248,2127,3409,2203,2069,1390,6141,1375,1580,1249,1546,1480,Upgrade
9,Other Current Assets,1052192,944363,940025,909815,923756,880141,891690,1149949,1209300,1134817,1415840,1298098,1283496,1367175,1276969,1045781,1034429,908581,908783,1023555,Upgrade
10,Total Current Assets,7224327,5583565,5539111,5427258,5537286,5526643,5517313,5611743,5449762,5904928,6079060,5854750,5515278,5329456,5424008,5427798,5426502,4911695,4718986,4966288,Upgrade
11,"Property, Plant & Equipment",1256268,1271912,1295011,1316675,1337686,1365323,1383301,1409152,1434070,1741358,1532069,1559247,1567710,1551517,1584079,1601913,1627239,1622654,1374376,1052475,Upgrade
12,Long-Term Investments,248828,248828,248828,248828,248828,248828,248716,103310,113310,113310,213310,161310,111310,114310,120120,140120,296770,386830,1080180,1080180,Upgrade
13,Goodwill,250204,258544,266884,275224,283564,291904,300244,308585,316925,327022,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,143325,144260,144475,145372,146269,145661,146559,149786,150691,151599,152512,191212,192126,193031,193936,187450,188355,195280,196185,197041,Upgrade
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,133.93,133.93,133.93,133.93,133.93,133.93,133.93,133.93,133.93,133.93,133.93,Upgrade
16,Other Long-Term Assets,255497,259218,261446,264329,266615,263718,280804,283624,284949,143415,147974,152773,167300,165884,166327,169739,174636,179072,170296,139033,Upgrade
17,Total Assets,9378448,8368227,8285653,8211585,8277448,8393078,8327937,8200600,8084108,8397067,8125058,7919425,7553859,7354331,7488604,7527155,7713636,7295664,7540157,7435151,Upgrade
18,Accounts Payable,207864,350860,228385,323521,242944,329792,318958,244622,386978,523023,410273,387298,248113,168825,245282,300321,219765,135305,389655,333592,Upgrade
19,Accrued Expenses,59312,44219,53184,42952,43209,42475,47256,42904,46016,38237,40511,42006,40069,24959,35750,36990,56518,46851,40912,40787,Upgrade
20,Short-Term Debt,4252721,4099649,4129469,3946434,3817961,4251406,4218523,4075083,3323186,3660002,3616634,3669927,3620354,3622881,3666854,3622971,3810258,3538166,3555761,3482862,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,272501,-,-,-,544154,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,16108,7923,-,-,-,-,3535,8843,14151,20019,1120,2402,24158,-,6170,-,-,12109,20861,31388,Upgrade
23,Current Income Taxes Payable,34834,21990,11097,31494,35071,13773,29075,48703,52654,70599,57382,38119,21700,15789,10423,7251,14097,10773,9080,8043,Upgrade
