,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1235692,1247498,1326204,1499359,1759090,1672513,1798443,2026692,1578065,1605613,2483190,2805887,5196748,4200964,2252961,2421000,2240514,1913772,1708392,874423,572576,Upgrade
1,Market Cap Growth,-25.41%,-25.41%,-26.26%,-26.02%,11.47%,4.17%,-27.58%,-27.77%,-69.63%,-61.78%,10.22%,15.90%,131.94%,119.51%,31.88%,176.87%,291.30%,132.95%,93.31%,-16.62%,-27.10%,Upgrade
2,Enterprise Value,1648034,1486491,1506331,1682043,1899568,1408318,1653866,1815085,1288552,1302735,2245446,2572621,4869211,4679097,2680695,2746191,2483952,2170875,1978893,1084692,747501,Upgrade
3,Last Close Price,3140.00,3170.00,3370.00,3810.00,4470.00,4250.00,4570.00,5150.00,4010.00,4080.00,6310.00,7130.00,16700.00,13500.00,7240.00,7780.00,7200.00,6150.00,5490.00,2810.00,1840.00,Upgrade
4,PE Ratio,103.61,100.11,-,-,-13.32,-,-,-,-169.41,-,1066.16,-,111.62,-,-66.65,-111.19,-,-,-4.89,-1.64,-0.64,Upgrade
5,PS Ratio,1.05,1.02,0.95,0.97,1.13,1.07,1.13,1.30,0.88,0.80,1.22,1.39,2.84,2.61,1.50,1.72,1.76,1.58,1.55,0.89,0.74,Upgrade
6,PB Ratio,3.28,3.07,5.97,5.67,6.43,6.26,4.88,5.30,3.67,3.71,5.37,6.10,10.97,9.23,-4.08,-4.37,-3.59,-3.27,-3.00,-1.56,-0.95,Upgrade
7,P/TBV Ratio,6.86,6.86,9.49,14.20,10.48,10.32,7.05,7.88,5.31,5.54,7.81,8.99,16.94,14.59,-,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,-5.02,-,-,675.79,-,-,-,62.21,-13.02,-,-,-,-,-,-,-,-,-,Upgrade
