,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,288947,236232,375896,323349,457397,386463,385388,331223,485055,356885,623051,536288,514764,342267,437670,312338,406659,247719,303919,255223,Upgrade
1,Revenue Growth (YoY),-36.83%,-38.87%,-2.46%,-2.38%,-5.70%,8.29%,-38.15%,-38.24%,-5.77%,4.27%,42.36%,71.70%,26.58%,38.17%,44.01%,22.38%,36.29%,102.10%,199.84%,28.76%,Upgrade
2,Cost of Revenue,282623,208107,312048,281147,357927,324709,365021,259399,406312,283723,542198,461459,445743,268579,341476,276364,381919,202891,135945,231535,Upgrade
3,Gross Profit,6324,28124,63847,42202,99470,61754,20367,71825,78744,73162,80852,74829,69021,73688,96195,35975,24740,44828,167974,23688,Upgrade
4,"Selling, General & Admin",34096,49077,60983,62977,71150,62071,58382,63386,74738,61012,83692,54636,107867,50657,77575,52234,60784,35398,43280,53236,Upgrade
5,Operating Expenses,34096,49077,60983,62977,71150,62071,58382,63386,74738,61012,83692,54636,107867,50657,77575,52234,60784,35398,43280,53236,Upgrade
6,Operating Income,-27772,-20952,2864,-20775,28319,-316.27,-38015,8439,4006,12151,-2840,20193,-38846,23031,18619,-16260,-36044,9430,124695,-29548,Upgrade
7,Interest Expense,-54993,-11279,-33583,-,-19755,-15952,-15599,-15152,-692.59,-20023,-22049,-20323,-25047,-25106,-,-23366,-31483,-27891,-29991,-28737,Upgrade
8,Interest & Investment Income,81108,856.72,1737,1650,5921,3129,-,6819,2448,1697,8322,2192,8545,-,18346,2355,1450,2417,6835,3319,Upgrade
9,Earnings From Equity Investments,-1067,2265,-1291,1314,1020,233,2539,2035,165.69,-2795,2689,-1729,-405.76,128.31,-289.49,-1220,-219.64,-213.66,-1868,-1997,Upgrade
10,Currency Exchange Gain (Loss),-,-3781,5290,3596,39.32,4623,-264.87,1180,-6931,7059,-15601,15601,-1444,1294,442.23,-442.23,-752.9,108.3,-3080,1411,Upgrade
11,Other Non Operating Income (Expenses),43498,3313,14097,25755,-56732,-734.28,9869,-1695,-32285,4268,-2199,2398,-29300,2462,-4958,-908.55,22772,24785,-54686,53846,Upgrade
12,EBT Excluding Unusual Items,40774,-29578,-10886,11541,-41188,-9017,-41471,1626,-33288,2356,-31678,18332,-86498,1810,32161,-39841,-44278,8635,41905,-1705,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,1899,-,-,-,2023,-,820.61,-,52455,-,479.63,645.45,9984,-,17.21,1940,Upgrade
14,Asset Writedown,-,-,-,-,-39168,-,-,-,-1604,-,-,-,-1036,-,-,-,-,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,15914,-,-,-,26395,-,16561,-,25955,-,15563,-,-,-,-889.37,889.37,Upgrade
16,Pretax Income,40774,-29578,-10886,11541,-62543,-9017,-41471,1626,-6474,2356,-14296,18332,-9125,1810,48204,-39196,-34294,8635,41033,1125,Upgrade
17,Income Tax Expense,89.51,-130.34,579.74,-46.82,32959,-9.86,106.65,-214,1965,-356.74,-250.07,-211.18,-584.71,188.04,-505.48,83.12,-254.29,-422.7,-361.54,-575.24,Upgrade
