,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,106205,125962,104895,96590,142921,207105,71931,140926,169628,253322,158232,176541,243737,132541,75027,114655,76230,62253,67545,127755,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,20140,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,106205,125962,104895,96590,142921,207105,71931,140926,169628,253322,178372,176541,243737,132541,75027,114655,76230,62253,67545,127755,Upgrade
3,Cash Growth,-25.69%,-39.18%,45.83%,-31.46%,-15.74%,-18.24%,-59.67%,-20.17%,-30.41%,91.13%,137.74%,53.98%,219.74%,112.91%,11.08%,-10.25%,-6.87%,-74.32%,-66.19%,-45.72%,Upgrade
4,Accounts Receivable,536712,464578,555520,521876,579988,481842,541154,475541,391758,342003,413572,215051,264758,157389,208709,204951,218524,212501,261937,230102,Upgrade
5,Other Receivables,104366,136713,113027,114905,103597,86411,6012,130763,122129,70937,75427,102561,73787,84004,44197,11735,23743,31257,2166,47655,Upgrade
6,Receivables,834618,691045,750999,717616,765927,669155,647506,685387,586527,519610,587956,381102,498457,304119,314264,276393,311083,297287,342281,346417,Upgrade
7,Inventory,353693,445123,419111,477808,475925,539847,564663,645975,679078,737348,726264,890012,933585,913605,922512,804574,782162,773588,700972,593343,Upgrade
8,Prepaid Expenses,21352,27026,25938,26691,23991,22999,22633,23193,22476,19956,21031,18538,16087,14566,17110,18109,14305,14446,15178,16452,Upgrade
