,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,967.51,850.79,770.49,774.69,777.48,760.87,823.02,856.43,854.09,700.03,700.03,622.06,622.06,493.38,493.38
1,Other Revenue,-32.62,32.62,-,53.09,-26.56,26.56,-,59.46,-25.23,12.61,12.61,13.35,13.35,11.74,11.74
2,Revenue,934.89,883.41,770.49,827.77,750.92,787.43,823.02,915.88,828.86,712.65,712.65,635.4,635.4,505.12,505.12
3,Revenue Growth (YoY),24.50%,12.19%,-6.38%,-9.62%,-9.40%,10.49%,15.49%,44.14%,30.45%,41.08%,41.08%,-,-,-,-
4,Cost of Revenue,812.05,827.82,667.63,784.92,600.11,670.41,670.28,768.16,683.19,601.28,601.28,546.69,546.69,422.38,422.38
5,Gross Profit,122.84,55.59,102.87,42.86,150.82,117.03,152.74,147.73,145.67,111.37,111.37,88.72,88.72,82.74,82.74
6,"Selling, General & Admin",61.76,57.94,45.89,48.7,49.88,45.06,33.96,32.11,40.34,30.49,30.49,31.79,31.79,22.74,22.74
7,Research & Development,47.17,42,35.12,24.45,45.49,40.39,37.53,45.18,31.15,29.09,29.09,26.85,26.85,20.01,20.01
8,Other Operating Expenses,0.96,5.11,-1.74,-8.08,-3.23,-1.81,-3.15,19.49,-3.19,-1.67,-1.67,-4.64,-4.64,-0.38,-0.38
9,Operating Expenses,113.74,104.8,80.42,68,88.33,84.05,64.52,96.46,70.09,58.56,58.56,55.44,55.44,43.24,43.24
10,Operating Income,9.1,-49.2,22.44,-25.14,62.49,32.97,88.22,51.27,75.57,52.81,52.81,33.28,33.28,39.51,39.51
11,Interest Expense,-11.47,-6.51,-8.95,-8.42,-8.15,-12.63,-14.7,-12.36,-12.71,-12.53,-12.53,-10,-10,-11.4,-11.4
12,Interest & Investment Income,1.39,1.8,2.22,1.47,4.57,6.98,2.27,2.1,1.09,0.92,0.92,0.59,0.59,1.09,1.09
