,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5278,5433,4124,6152,7306,7514,7120,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-27.69%,-27.69%,-42.09%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6462,6202,4592,6139,7293,7066,8051,-,-,-,-,-,-,-,-,-
3,Last Close Price,25.06,25.80,19.58,29.05,34.50,35.49,33.63,-,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,71.21,-,31.33,26.84,-,-,-,-,-,-,-,-,-
5,Forward PE,-,11.59,11.59,16.76,21.35,22.16,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.54,1.59,1.28,1.96,2.29,2.29,2.12,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.66,1.70,1.28,1.88,2.24,2.30,2.19,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.35,1.98,2.36,2.42,2.29,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,9.76,-,5.63,9.61,11.54,14.07,13.14,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.89,1.82,1.42,1.96,2.29,2.16,2.40,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,24.82,27.56,17.55,19.06,19.66,16.41,18.27,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-144.90,-,66.18,-,30.08,32.46,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.55,0.55,0.42,0.33,0.25,0.24,0.30,0.96,0.96,-,0.82,0.82,1.15,1.15,0.92,0.92
14,Debt / EBITDA Ratio,6.70,6.06,8.67,3.20,3.69,1.82,2.46,2.79,3.52,-,2.94,2.94,5.08,5.08,3.63,3.63
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-5.19,-,-,-,-,-,-,47.78,95.57
16,Asset Turnover,0.59,0.59,0.53,0.59,0.52,-,-,-,-,0.72,0.78,0.75,0.80,0.68,-,
17,Inventory Turnover,4.64,4.77,5.08,4.30,5.16,4.00,-,-,-,-,4.64,5.18,5.33,5.55,4.47,-
18,Quick Ratio,0.72,0.72,0.73,0.87,0.86,0.99,1.13,-,0.69,-,0.67,0.67,0.69,0.69,0.70,0.70
19,Current Ratio,1.03,1.03,1.06,1.24,1.17,1.37,1.41,-,0.95,-,0.93,0.93,0.96,0.96,1.01,1.01
20,Return on Equity (ROE),-3.68%,-3.02%,0.79%,-0.51%,2.36%,10.84%,14.32%,-,-,11.36%,11.69%,6.56%,6.67%,8.69%,-,
21,Return on Assets (ROA),0.36%,-2.06%,0.97%,-1.12%,2.72%,-,-,-,-,3.35%,3.60%,2.45%,2.61%,3.32%,-,
22,Return on Capital (ROIC),0.48%,-2.75%,1.33%,-1.54%,3.76%,2.26%,7.22%,-,-,5.14%,4.87%,2.91%,3.13%,4.00%,-,
23,Return on Capital Employed (ROCE),-,-1.03%,-,2.29%,-,6.19%,6.43%,-,9.14%,-,9.04%,8.34%,8.21%,6.33%,4.68%,2.34%
24,Earnings Yield,-0.99%,-0.96%,-0.09%,1.40%,1.86%,3.19%,3.73%,-,-,-,-,-,-,-,-,-
25,FCF Yield,-13.33%,-12.95%,-15.45%,-9.35%,-5.88%,-7.55%,-5.23%,-,-,-,-,-,-,-,-,-
26,Dividend Yield,0.44%,-,-,-,0.35%,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,110.49%,-,32.15%,17.04%,27.14%,11.13%,16.41%,25.62%,25.62%,35.09%,35.09%,31.32%,31.32%
28,Buyback Yield / Dilution,-16.79%,-2.04%,-6.98%,-29.10%,-35.93%,-31.61%,-22.74%,-1.74%,-0.43%,-1.47%,0.84%,0.84%,-,-,-,-
29,Total Shareholder Return,-16.35%,-2.04%,-6.98%,-29.10%,-35.58%,-31.61%,-22.74%,-1.74%,-0.43%,-1.47%,0.84%,0.84%,-,-,-,-
