,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,508.86,479.21,449.75,428.98,805.97,1442,-,573.18,-,380.28,380.28,214.18,214.18,177.63,177.63
1,Trading Asset Securities,55.06,110.08,180.05,296.62,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,563.93,589.29,629.8,725.61,805.97,1442,573.18,573.18,-,380.28,380.28,214.18,214.18,177.63,177.63
3,Cash Growth,-30.03%,-59.14%,9.88%,26.59%,-,279.30%,50.73%,167.61%,-,114.08%,114.08%,-,-,-,-
4,Accounts Receivable,1153,961.6,920.99,935.95,857.74,906.76,-,1052,-,961.16,961.16,887.38,887.38,686.94,686.94
5,Other Receivables,34.51,10.56,12.25,15.64,33.65,27.97,-,25.51,-,23.62,23.62,22.96,22.96,30.2,30.2
6,Receivables,1187,972.16,933.24,951.59,891.4,934.73,-,1077,-,984.78,984.78,910.34,910.34,717.14,717.14
7,Inventory,709.17,652.06,651.2,592.24,623.81,576.27,-,582.62,-,518.07,518.07,410.01,410.01,377.74,377.74
8,Other Current Assets,66.9,41.52,18.14,21.09,33.48,19.45,-,16.26,-,12.04,12.04,13.44,13.44,19.32,19.32
9,Total Current Assets,2527,2255,2232,2291,2355,2973,-,2249,-,1895,1895,1548,1548,1292,1292
10,"Property, Plant & Equipment",3428,3288,3014,2941,2664,2506,-,2235,-,1670,1670,1456,1456,1410,1410
11,Long-Term Investments,-,-,-,-,0.5,-,-,-,-,0.5,0.5,0.5,0.5,0.5,0.5
12,Goodwill,1.04,1.04,1.04,1.04,1.04,1.04,-,1.04,-,1.04,1.04,1.04,1.04,1.04,1.04
13,Other Intangible Assets,160.81,161.65,161.5,162.75,162.97,139.77,-,126.17,-,126.51,126.51,99.04,99.04,100.78,100.78
14,Long-Term Accounts Receivable,14.24,14.51,14.77,15.68,15.11,18.03,-,28.03,-,30.92,30.92,30.21,30.21,13.43,13.43
15,Long-Term Deferred Tax Assets,63.15,53.87,42.8,39.15,77.13,76.72,-,90.98,-,36.62,36.62,43.08,43.08,46.44,46.44
16,Long-Term Deferred Charges,207.09,186.74,177.3,171.12,157.54,149.41,-,122.48,-,117.41,117.41,102.89,102.89,92.05,92.05
17,Other Long-Term Assets,186.16,150.46,204.66,76.69,75.96,99.98,-,70.36,-,68.13,68.13,111.58,111.58,16.66,16.66
18,Total Assets,6588,6111,5848,5697,5509,5964,-,4923,-,3946,3946,3392,3392,2973,2973
19,Accounts Payable,1405,1297,1214,1366,1191,1471,-,1586,-,1157,1157,301.07,301.07,241.79,241.79
20,Accrued Expenses,72.94,76.42,76.35,80.02,60.68,70.66,-,86.5,-,64.52,64.52,83.47,83.47,59.91,59.91
21,Short-Term Debt,555.72,430.45,260.08,333.21,389.22,483.97,-,576.34,-,665.38,665.38,1115,1115,846.76,846.76
22,Current Portion of Long-Term Debt,372.28,299.11,202.04,147.78,48.94,42.03,-,73.39,-,84.84,84.84,52.64,52.64,50.06,50.06
23,Current Portion of Leases,-,15.45,-,14.76,-,23.78,-,38.78,-,49.57,49.57,55.49,55.49,21.54,21.54
24,Current Income Taxes Payable,18.12,2.17,28.04,4.63,5.72,0.29,-,0.05,-,1.1,1.1,0.05,0.05,1.22,1.22
25,Current Unearned Revenue,11.9,11.13,9.78,8.65,9.1,8.25,-,13.4,-,14.25,14.25,7.84,7.84,15.45,15.45
26,Other Current Liabilities,8.91,5.2,8.97,4.69,10.79,3.8,-,5.26,-,3.81,3.81,4,4,47.26,47.26
27,Total Current Liabilities,2444,2137,1799,1960,1716,2103,-,2380,-,2041,2041,1619,1619,1284,1284
28,Long-Term Debt,713.41,501.77,520.22,234.57,255.28,342.62,-,685.39,-,265.57,265.57,192.45,192.45,129.93,129.93
29,Long-Term Leases,102.09,106.7,111.16,102.44,96.14,98.16,-,125.82,-,94.2,94.2,109.86,109.86,131.22,131.22
30,Long-Term Unearned Revenue,133.78,137.92,142.07,131.31,119.02,113.99,-,120.67,-,108.04,108.04,110.29,110.29,108.73,108.73
31,Long-Term Deferred Tax Liabilities,1.98,2.86,2.11,1.98,51.36,53.21,-,56.82,-,27.48,27.48,30.43,30.43,31.39,31.39
32,Total Liabilities,3396,2887,2574,2430,2237,2711,-,3369,-,2536,2536,2062,2062,1685,1685
33,Common Stock,210.6,210.6,210.6,210.6,210.6,210.6,-,157.6,-,157.6,157.6,157.6,157.6,157.6,157.6
34,Additional Paid-In Capital,2584,2584,2584,2584,2584,2584,-,1060,-,1060,1060,1060,1060,1060,1060
35,Retained Earnings,395.21,424.67,474.57,468.41,472.86,453.57,-,332.54,-,188.33,188.33,108.62,108.62,65.03,65.03
36,Comprehensive Income & Other,-1.93,0.53,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,3188,3220,3269,3263,3267,3248,1550,1550,-,1406,1406,1326,1326,1282,1282
38,Minority Interest,4.65,4.74,4.62,4.3,4,4.07,-,4.33,-,4.32,4.32,3.95,3.95,5.12,5.12
39,Shareholders' Equity,3192,3224,3274,3267,3271,3252,1554,1554,-,1410,1410,1330,1330,1288,1288
40,Total Liabilities & Equity,6588,6111,5848,5697,5509,5964,-,4923,-,3946,3946,3392,3392,2973,2973
41,Total Debt,1744,1353,1093,832.76,789.58,990.56,1500,1500,-,1160,1160,1525,1525,1180,1180
42,Net Cash (Debt),-1180,-764.19,-463.7,-107.15,16.39,451.83,-926.53,-926.53,-,-779.29,-779.29,-1311,-1311,-1002,-1002
43,Net Cash Per Share,-5.49,-3.72,-2.26,-0.50,0.08,2.36,-5.83,-5.85,-,-4.99,-4.99,-8.32,-8.32,-6.36,-6.36
44,Filing Date Shares Outstanding,210.6,210.6,210.6,210.6,210.6,210.6,158.99,157.6,159.91,157.6,157.6,157.6,157.6,157.6,157.6
45,Total Common Shares Outstanding,210.6,210.6,210.6,210.6,210.6,210.6,158.99,157.6,159.91,157.6,157.6,157.6,157.6,157.6,157.6
46,Working Capital,82.92,117.65,433.45,330.6,639,869.42,-,-130.7,-,-145.49,-145.49,-71.46,-71.46,7.85,7.85
47,Book Value Per Share,15.14,15.29,15.52,15.49,15.51,15.42,9.83,9.83,-,8.92,8.92,8.41,8.41,8.14,8.14
48,Tangible Book Value,3026,3057,3107,3099,3103,3107,1423,1423,-,1278,1278,1226,1226,1181,1181
49,Tangible Book Value Per Share,14.37,14.52,14.75,14.72,14.74,14.75,9.03,9.03,-,8.11,8.11,7.78,7.78,7.49,7.49
50,Land,-,5.85,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Buildings,-,1008,-,957.83,-,562.97,-,561.1,-,554.7,554.7,552.63,552.63,550.69,550.69
52,Machinery,-,2990,-,2725,-,2440,-,2062,-,1618,1618,1361,1361,1233,1233
53,Construction In Progress,-,482.09,-,322.25,-,426.41,-,419.39,-,130.92,130.92,104.21,104.21,28.98,28.98
