,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,493.88,493.88,125.07,-,-,1.82
1,Short-Term Investments,-,-,84.99,-,-,-
2,Trading Asset Securities,0.91,0.91,-,-,-,-
3,Cash & Short-Term Investments,494.79,494.79,210.07,-,1.82,1.82
4,Cash Growth,27071.44%,27071.44%,-,-,-,-
5,Other Receivables,9.29,9.29,2.29,-,-,1.63
6,Receivables,9.29,9.29,2.29,-,-,1.63
7,Inventory,1.02,1.02,0.82,-,-,0.88
8,Prepaid Expenses,9.37,9.37,8.75,-,-,7.42
9,Other Current Assets,-,-,5.22,-,-,2.88
10,Total Current Assets,514.47,514.47,227.14,-,-,14.63
11,"Property, Plant & Equipment",55.33,55.33,50.71,-,-,46.05
12,Other Intangible Assets,10,10,10,-,-,10
13,Other Long-Term Assets,7.59,7.59,2.6,-,-,0.18
14,Total Assets,587.39,587.39,290.45,-,-,70.86
15,Accrued Expenses,4.62,4.62,5.7,-,-,8.16
16,Short-Term Debt,22.98,22.98,-,-,-,-
17,Current Portion of Long-Term Debt,-,-,-,-,-,4.82
18,Current Portion of Leases,2.21,2.21,2.18,-,-,-
19,Current Income Taxes Payable,0.03,0.03,0.05,-,-,0.06
20,Other Current Liabilities,4.92,4.92,379.73,-,-,53.12
21,Total Current Liabilities,34.76,34.76,387.66,-,-,66.15
22,Long-Term Debt,-,-,-,-,-,6.21
23,Long-Term Leases,4.6,4.6,6.9,-,-,-
24,Total Liabilities,39.36,39.36,394.56,-,-,72.36
25,Common Stock,0.52,0.52,0.32,-,-,0.32
26,Retained Earnings,-,-,-328.12,-,-,-195.42
27,Treasury Stock,-0.02,-0.02,-0.02,-,-,-0.03
28,Comprehensive Income & Other,547.52,547.52,223.7,-,-,193.62
29,Shareholders' Equity,548.02,548.02,-104.11,-,-1.5,-1.5
30,Total Liabilities & Equity,587.39,587.39,290.45,-,-,70.86
31,Total Debt,29.8,29.8,9.07,-,11.03,11.03
32,Net Cash (Debt),465,465,200.99,-,-9.2,-9.2
33,Net Cash Per Share,4.41,4.41,2.14,-,-0.10,-0.10
34,Filing Date Shares Outstanding,150.67,150.67,150.67,91.75,91.75,91
35,Total Common Shares Outstanding,150.67,150.67,94,91.75,91.75,91
36,Working Capital,479.71,479.71,-160.52,-,-,-51.52
37,Book Value Per Share,3.64,3.64,-1.11,-,-0.02,-0.02
38,Tangible Book Value,538.02,538.02,-114.11,-,-11.5,-11.5
39,Tangible Book Value Per Share,3.57,3.57,-1.21,-,-0.13,-0.13
40,Machinery,-,-,56.51,-,-,52.71
41,Construction In Progress,-,-,1.05,-,-,2.83
42,Leasehold Improvements,-,-,0.49,-,-,0.49
