,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,631,1062,-,-,-,-,-
1,Enterprise Value,132,841,-,-,-,-,-
2,Last Close Price,4.19,7.05,-,-,-,-,-
3,PS Ratio,33.62,196.10,-,-,-,-,-
4,PB Ratio,1.07,1.80,-,-,-,-,-
5,P/TBV Ratio,1.84,1.84,-,-,-,-,-
6,EV/Sales Ratio,10.59,155.22,-,-,-,-,-
7,Debt / Equity Ratio,0.05,0.05,0.05,-0.09,-,-7.35,-7.35
8,Debt / EBITDA Ratio,-,-,-,0.37,-,-,-
9,Asset Turnover,0.00,0.00,-,-,-,-,
10,Quick Ratio,14.50,14.50,14.50,0.55,-,-,0.05
11,Current Ratio,14.80,14.80,14.80,0.59,-,-,0.22
12,Return on Equity (ROE),-13.17%,-32.51%,-,-,-,-,
13,Return on Assets (ROA),-11.27%,-15.08%,-,-,-,-,
14,Return on Capital (ROIC),-11.45%,-27.41%,-,-,-678.93%,-,
15,Earnings Yield,-18.26%,-12.56%,-,-,-,-,-
16,FCF Yield,-25.36%,-14.64%,-,-,-,-,-
17,Buyback Yield / Dilution,-9.64%,-15.01%,-15.96%,-,-,-,-
18,Total Shareholder Return,-9.64%,-15.01%,-15.96%,-,-,-,-
