,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,489,428,457,629,995,1528,2069,5304,5920,-,-
1,Market Cap Growth,-31.94%,-31.94%,-54.05%,-58.85%,-51.92%,-71.20%,-65.06%,-,-,-,-
2,Enterprise Value,457,414,481,941,887,1807,1870,4332,5910,-,-
3,Last Close Price,0.64,0.56,0.59,0.79,1.25,1.92,2.53,6.46,7.21,-,-
4,PE Ratio,-,-504.59,-,-2.81,-,17.30,14.36,29.25,48.11,-,-
5,Forward PE,-,3.99,3.99,3.99,5.14,6.76,5.76,14.80,-,-,-
6,PS Ratio,0.15,0.14,0.14,0.18,0.27,0.41,0.54,1.32,1.93,-,-
7,PB Ratio,0.32,0.28,0.30,0.42,0.64,0.81,1.06,2.73,3.31,-,-
8,P/TBV Ratio,0.28,0.28,0.30,0.43,0.66,0.82,1.08,2.77,3.35,-,-
9,P/FCF Ratio,-,-3.42,-,-7.75,-,8.39,-,-,-,-,-
10,P/OCF Ratio,-,-4.11,-,-8.12,-,8.10,-,-,-,-,-
11,PEG Ratio,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,-,-,-
12,EV/Sales Ratio,0.14,0.13,0.14,0.26,0.24,0.49,0.49,1.07,1.93,-,-
13,EV/EBITDA Ratio,23.89,30.50,-,-3.72,-,22.55,14.07,24.57,47.96,-,-
14,EV/EBIT Ratio,44.41,39.90,-,-3.66,-,23.90,14.50,25.00,48.94,-,-
15,EV/FCF Ratio,-3.66,-3.31,-,-11.60,-,9.92,-,-,-,-,-
16,Debt / Equity Ratio,0.32,0.32,0.30,0.43,0.43,0.34,0.39,0.27,0.14,0.27,0.34
17,Debt / FCF Ratio,-,-3.89,-,-8.10,-,3.52,-,-,-,1.10,-14.87
18,Return on Capital Employed (ROCE),0.67%,0.67%,-,-16.90%,-,3.99%,6.62%,8.89%,6.74%,31.75%,35.37%
19,Earnings Yield,-0.17%,-0.20%,2.12%,-35.54%,-20.24%,5.78%,6.97%,3.42%,2.08%,-,-
20,FCF Yield,-25.54%,-29.22%,33.84%,-12.90%,-21.87%,11.92%,-40.91%,-21.51%,-4.55%,-,-
21,Buyback Yield / Dilution,2.36%,3.67%,0.60%,0.40%,2.21%,2.71%,-29.34%,-33.35%,-,-,-
22,Total Shareholder Return,2.36%,3.67%,0.60%,0.40%,2.21%,2.71%,-29.34%,-33.35%,-,-,-
