,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,312,768,468,498,1056,1260,1554,1764,1512,1380,1362
1,Market Cap Growth,54.22%,54.22%,-55.68%,-60.48%,-32.05%,-28.57%,2.78%,27.83%,11.01%,-0.86%,-7.35%
2,Enterprise Value,3363,3185,1956,2201,2797,2772,2963,2853,2412,2227,2161
3,Last Close Price,0.52,1.28,0.78,0.83,1.76,2.10,2.59,2.94,2.42,2.21,2.18
4,PE Ratio,4.60,11.33,4.96,-6.89,-,-,20.41,13.94,34.96,-,66.24
5,PS Ratio,0.04,0.10,0.06,0.08,0.20,0.21,0.24,0.35,0.45,0.59,0.56
6,PB Ratio,0.55,1.34,0.83,0.99,2.20,2.03,2.16,2.54,2.23,2.42,2.28
7,P/TBV Ratio,1.35,1.35,0.83,0.99,2.20,2.03,2.16,2.54,2.23,2.42,2.28
8,P/FCF Ratio,-,-,-,-,-,-,-7.75,-,-,-,-
9,P/OCF Ratio,-,-,-,-4.57,-,-,-34.72,-,13.55,-,-
10,EV/Sales Ratio,0.46,0.43,0.27,0.36,0.53,0.47,0.46,0.57,0.71,0.95,0.89
11,EV/EBITDA Ratio,22.16,21.76,10.24,237.48,-,-,19.98,13.77,26.39,-,37.43
12,EV/EBIT Ratio,23.90,22.63,10.51,-2716.42,-,-,20.68,13.90,27.64,-,39.39
13,EV/FCF Ratio,-1.83,-,-,-,-,-,-14.78,-,-,-,-
14,Debt / Equity Ratio,5.44,5.44,4.45,3.04,3.58,2.92,2.14,2.38,1.69,1.62,1.49
15,Debt / FCF Ratio,-,-,-,-,-,-,-7.68,-,-,-,-
16,Return on Capital Employed (ROCE),8.26%,8.26%,10.95%,-0.07%,-,-,11.80%,16.16%,8.11%,-,5.26%
17,Earnings Yield,21.73%,8.83%,20.16%,-14.52%,-17.70%,-4.81%,4.90%,7.18%,2.86%,-0.48%,1.51%
18,FCF Yield,-589.51%,-239.49%,-210.73%,-47.61%,-48.67%,-22.97%,-12.90%,-19.25%,-10.10%,-13.14%,7.26%
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,1.38%
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,1.38%,
