,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,3206,3613,2977,2672,1992,3052,2241,1937,910.41,1235
1,Revenue Growth (YoY),7.72%,35.24%,49.45%,-12.47%,-11.11%,57.55%,146.12%,56.84%,-1.83%,-16.68%
2,Cost of Revenue,3112,3456,2837,2686,1997,2975,2109,1812,885.56,1177
3,Gross Profit,94.19,157.21,139.34,-14.75,-5.39,77.32,131.43,125.47,24.85,58.13
4,"Selling, General & Admin",53.79,66.67,60.92,64.42,39.71,53.32,38.69,47.56,29.3,37.43
5,Operating Expenses,53.79,66.67,60.92,64.42,39.71,53.32,38.69,47.56,29.3,37.43
6,Operating Income,40.4,90.55,78.42,-79.17,-45.1,24.01,92.74,77.91,-4.45,20.71
7,Interest Expense,-53.22,-45.53,-35.07,-41.98,-37.47,-29.81,-26.56,-20.32,-14.44,-23.3
8,Interest & Investment Income,7.78,1.06,2.96,0.9,1.52,3.64,0.47,0.35,1.34,2.5
9,Earnings From Equity Investments,-,-,-,-,-,-,-,-0.03,-0.05,-0.04
10,Currency Exchange Gain (Loss),-,0.13,-,0.54,-,0.08,-,-0.02,-,-1.23
11,Other Non Operating Income (Expenses),24.51,6.63,1.97,3.54,2.14,0.6,3.44,2.01,2.34,2.18
12,EBT Excluding Unusual Items,19.48,52.84,48.28,-116.17,-78.9,-1.48,70.08,59.9,-15.26,0.81
13,Gain (Loss) on Sale of Investments,-,-,-,0.06,-0.71,0.38,-0.38,1.24,-1.94,-
14,Gain (Loss) on Sale of Assets,-,0.05,-,0.01,-,8.44,-,-0.59,-,8.6
15,Asset Writedown,-,-,-,0.03,-1.72,-,-,-3.09,-,-
16,Pretax Income,19.48,52.88,48.28,-116.08,-81.34,7.34,69.7,57.45,-17.2,9.41
17,Income Tax Expense,2.59,6.85,8.83,-9.72,-22.4,0.12,14.88,7.03,-3.2,1.51
18,Earnings From Continuing Operations,16.89,46.03,39.45,-106.36,-58.94,7.21,54.83,50.42,-14,7.9
19,Minority Interest in Earnings,-,0.18,-,-,-,-,-,-,-,-
20,Net Income,16.89,46.21,39.45,-106.36,-58.94,7.21,54.83,50.42,-14,7.9
21,Net Income to Common,16.89,46.21,39.45,-106.36,-58.94,7.21,54.83,50.42,-14,7.9
22,Net Income Growth,-57.19%,-,-,-,-,-85.69%,-,537.89%,-,-
23,Shares Outstanding (Basic),600,600,600,600,600,600,600,600,600,600
24,Shares Outstanding (Diluted),600,600,600,600,600,600,600,600,600,600
25,EPS (Basic),0.03,0.08,0.07,-0.18,-0.10,0.01,0.09,0.08,-0.02,0.01
26,EPS (Diluted),0.03,0.08,0.07,-0.18,-0.10,0.01,0.09,0.08,-0.02,0.01
27,EPS Growth,-57.23%,-,-,-,-,-85.72%,-,537.90%,-,-
28,Free Cash Flow,-879.69,-832.06,-63.13,-156.3,-298.32,51.23,-214.58,-67.78,-60.78,-104.53
29,Free Cash Flow Per Share,-1.47,-1.39,-0.11,-0.26,-0.50,0.09,-0.36,-0.11,-0.10,-0.17
30,Dividend Per Share,-,-,-,-,-,-,-,-,-,0.000
31,Operating Margin,1.26%,2.51%,2.63%,-2.96%,-2.26%,0.79%,4.14%,4.02%,-0.49%,1.68%
32,Profit Margin,0.53%,1.28%,1.33%,-3.98%,-2.96%,0.24%,2.45%,2.60%,-1.54%,0.64%
33,Free Cash Flow Margin,-27.43%,-23.03%,-2.12%,-5.85%,-14.98%,1.68%,-9.58%,-3.50%,-6.68%,-8.46%
34,EBITDA,47.53,88.71,84.78,-76.2,-39.89,25.82,95.02,77.29,-0.33,16.48
35,D&A For EBITDA,7.13,-1.84,6.36,2.97,5.2,1.81,2.29,-0.62,4.12,-4.23
36,EBIT,40.4,90.55,78.42,-79.17,-45.1,24.01,92.74,77.91,-4.45,20.71
