,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,8075,8759,7092,9080,11506,13785,16164,19930,14677,-,-,-,-
1,Market Cap Growth,-36.46%,-36.46%,-56.13%,-54.44%,-21.61%,-,-,-,-,-,-,-,-
2,Enterprise Value,8970,9567,7965,9412,11837,14125,16891,21114,15861,-,-,-,-
3,Last Close Price,8.43,9.06,7.31,9.22,11.69,14.00,16.49,20.11,14.81,-,-,-,-
4,PE Ratio,47.97,-,24.34,-,27.09,30.09,30.74,34.95,24.74,-,-,-,-
5,Forward PE,40.14,23.59,14.46,16.71,17.88,18.18,19.61,25.28,18.31,-,-,-,-
6,PS Ratio,1.13,1.22,0.97,1.18,1.50,1.83,2.12,2.66,1.95,-,-,-,-
7,PB Ratio,1.67,1.81,1.45,1.85,2.30,2.83,3.40,4.19,3.09,-,-,-,-
8,P/TBV Ratio,2.23,2.23,1.78,2.29,2.83,3.51,4.26,5.25,3.88,-,-,-,-
9,P/FCF Ratio,-,-,-21.42,-,38.71,174.76,84.57,-,-16.73,-,-,-,-
10,P/OCF Ratio,44.80,44.80,17.90,-,9.87,13.32,13.27,-,36.63,-,-,-,-
11,PEG Ratio,1.06,1.06,1.06,1.06,1.06,1.06,1.06,-,-,-,-,-,-
12,EV/Sales Ratio,1.25,1.33,1.09,1.23,1.55,1.88,2.21,2.82,2.11,-,-,-,-
13,EV/EBITDA Ratio,14.57,16.31,11.83,12.59,14.87,18.00,18.57,22.93,16.72,-,-,-,-
14,EV/EBIT Ratio,46.12,49.20,26.93,-,26.21,31.05,28.67,-,24.25,-,-,-,-
15,EV/FCF Ratio,-21.40,-,-24.05,-,39.82,179.07,88.38,-,-18.08,-,-,-,-
16,Debt / Equity Ratio,0.33,0.33,0.33,0.35,0.34,0.35,0.38,0.40,0.35,0.46,-,0.39,0.39
17,Debt / EBITDA Ratio,2.60,2.70,1.84,18.09,2.15,1.82,1.55,6.52,2.17,1.09,-,2.85,1.22
18,Debt / FCF Ratio,-,-,-4.87,-,5.75,21.66,9.56,-,-1.88,-2.30,-,-,2.39
19,Asset Turnover,0.72,0.81,0.45,0.91,0.74,0.97,0.46,0.98,-,-,-,-,
20,Inventory Turnover,3.46,3.44,3.99,2.61,5.00,3.62,5.18,2.25,4.64,-,-,-,-
21,Quick Ratio,0.33,0.33,0.34,0.39,0.57,0.47,0.54,0.49,0.59,0.22,-,-,0.42
22,Current Ratio,0.78,0.78,0.79,0.81,0.88,0.90,0.90,0.96,0.97,0.67,-,-,0.74
23,Return on Equity (ROE),-0.57%,10.38%,-7.35%,11.09%,9.63%,14.14%,0.23%,16.75%,-,-,3.51%,-,
24,Return on Assets (ROA),1.41%,2.79%,-1.72%,2.46%,3.91%,5.25%,-0.17%,2.87%,-,-,-,-,
25,Return on Capital (ROIC),2.10%,4.10%,-2.61%,3.84%,5.92%,7.58%,-0.25%,4.63%,-,-,1.88%,-,
26,Return on Capital Employed (ROCE),3.23%,3.23%,4.86%,-,7.16%,7.30%,9.60%,-,10.70%,14.72%,-,-,3.94%
27,Earnings Yield,2.10%,1.93%,4.11%,3.65%,3.69%,3.32%,3.25%,2.86%,4.04%,-,-,-,-
28,FCF Yield,-5.19%,-4.78%,-4.67%,0.43%,2.58%,0.57%,1.18%,-3.31%,-5.98%,-,-,-,-
29,Dividend Yield,1.50%,-,-,-,1.13%,-,-,-,1.24%,-,-,-,-
30,Payout Ratio,112.37%,-,110.01%,-,12.37%,14.75%,114.66%,622.62%,10.13%,10.11%,8.03%,50.96%,3.28%
31,Buyback Yield / Dilution,-0.38%,0.77%,-0.60%,0.82%,-2.61%,-11.57%,-10.36%,-11.87%,-7.59%,-,-,-,-
32,Total Shareholder Return,1.12%,0.77%,-0.60%,0.82%,-1.48%,-11.57%,-10.36%,-11.87%,-6.35%,-,-,-,-
