,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,708.41,809.7,860.95,1970,1382,1492,1173,1900,393.85,-,-,1562
1,Cash & Short-Term Investments,708.41,809.7,860.95,1970,1382,1492,1173,1900,393.85,-,1562,1562
2,Cash Growth,-48.76%,-45.74%,-26.58%,3.66%,251.00%,-,-24.91%,21.67%,-,-,-,-
3,Accounts Receivable,457.05,391.68,460.78,457.41,433.9,442.51,337.7,424.24,345.91,-,-,417.34
4,Other Receivables,24.47,25.23,24.24,25.21,24.7,26.95,29.3,27.58,28.98,-,-,18.55
5,Receivables,481.53,416.91,485.02,482.62,458.61,469.46,367,451.82,374.88,-,-,435.89
6,Inventory,1504,1478,1360,1274,1579,1232,1367,1379,1444,-,-,1389
7,Other Current Assets,103.74,106.77,96.68,86.64,74.09,58.25,94.97,116.89,101.01,-,-,136.35
8,Total Current Assets,2797,2812,2802,3813,3494,3252,3001,3848,2313,-,-,3523
9,"Property, Plant & Equipment",5157,5193,5282,5313,5204,5193,5002,4897,4581,-,-,3818
10,Long-Term Investments,182.85,182.25,182.49,182.33,182.49,182.24,182.34,181.86,181.99,-,-,181.27
11,Other Intangible Assets,917.86,926.37,935.37,933.6,941.6,948.23,951.99,950.33,945.43,-,-,953.85
12,Long-Term Deferred Tax Assets,129.43,131.92,127.82,128.92,116.6,115.38,108.39,115.22,167.76,-,-,182.33
13,Long-Term Deferred Charges,62.33,62,63.38,59.3,50.35,52.8,54.17,54.54,41.77,-,-,47.23
14,Other Long-Term Assets,349.98,350.9,243.03,209.36,135.54,27.57,24.04,32.04,40.53,-,-,63.63
15,Total Assets,9597,9658,9636,10640,10125,9770,9324,10079,8272,-,-,8770
16,Accounts Payable,2074,2131,1966,2699,2384,2152,1830,2734,2283,-,-,3414
17,Accrued Expenses,158.58,231.25,156.24,285.14,184.7,248.33,166.97,234.15,174.55,-,-,296.17
18,Short-Term Debt,249.87,249.86,298.76,298.99,300.17,424.37,480.3,300.22,310.1,-,-,213.27
