,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,1774,1923,1135,2318,1864,2307,1110,2208,1977,2161,1128,2714
1,Other Revenue,-30.5,30.5,-,50.1,-17.61,17.61,-,38.16,-16.95,16.95,-,43.07
2,Revenue,1744,1953,1135,2368,1846,2324,1110,2247,1960,2178,1128,2757
3,Revenue Growth (YoY),-5.55%,-15.96%,2.26%,5.41%,-5.81%,6.69%,-1.67%,-18.50%,-,-,-,-
4,Cost of Revenue,1282,1415,857.8,1783,1273,1682,771.77,1637,1318,1436,723.14,1947
5,Gross Profit,461.41,538.41,276.84,585.12,573.37,641.88,337.79,609.54,642.49,742.17,405.23,809.85
6,"Selling, General & Admin",297.02,314.79,263.94,331.57,320.68,334.36,272.2,376.36,338.75,329.95,314.35,429.27
7,Research & Development,101.94,92.62,75.81,99.62,90.59,79.71,68.63,99.65,91.47,86.82,57.16,83
8,Other Operating Expenses,2.44,23.57,7.47,26.78,14.47,18.61,6.74,55.11,7.22,13.06,6.24,53.87
9,Operating Expenses,407.02,430.55,346.67,483.08,417.67,441.46,344.28,504.21,352.64,514.37,374.19,651.94
10,Operating Income,54.39,107.86,-69.82,102.04,155.7,200.41,-6.49,105.33,289.85,227.8,31.05,157.91
11,Interest Expense,-14.77,-16.63,-17.17,-15.41,-6.2,-7.16,-7.32,-6.51,-8.22,-8.9,-8.22,-11.97
12,Interest & Investment Income,3.14,5.73,14.33,7.56,7.9,7.43,16.37,5.09,2.35,4.77,14.2,4.89
13,Currency Exchange Gain (Loss),-2.9,2.9,-,2.6,-1.75,1.75,-,-0.82,0.21,-0.21,-,-0.04
14,Other Non Operating Income (Expenses),2.53,-3.27,0.16,-2.38,0.58,-0.61,0.52,-1.73,-0.78,3.66,-5.51,9.9
15,EBT Excluding Unusual Items,42.4,96.6,-72.51,94.41,156.24,201.82,3.08,101.36,283.41,227.12,31.51,160.7
16,Gain (Loss) on Sale of Assets,-0.98,0.24,-0.17,-,-0.11,0.12,-,-,-0.08,0.08,-,-
17,Asset Writedown,-25.93,19.46,-19.93,11.66,-26.9,-8.02,6.56,58.64,-64.62,-7.01,6.41,70.36
18,Other Unusual Items,-12.9,17.74,2.81,29.59,0.8,-0.8,-,56.94,-18.67,14.51,4.16,22.25
19,Pretax Income,2.6,134.04,-89.8,135.66,130.03,193.12,9.64,216.94,200.04,234.7,42.09,253.3
20,Income Tax Expense,9.49,6.69,1.35,-1.35,14.14,25.15,6.9,46.25,16.42,22.51,15.96,0.88
21,Earnings From Continuing Operations,-6.89,127.35,-91.15,137.01,115.89,167.97,2.74,170.69,183.62,212.19,26.13,252.42
22,Minority Interest in Earnings,0.89,0.99,0.81,0.18,0.27,0.21,0.37,-0.02,0.33,0.27,0.12,0.26
23,Net Income,-6.01,128.34,-90.35,137.19,116.16,168.18,3.11,170.67,183.95,212.46,26.24,252.68
24,Net Income to Common,-6.01,128.34,-90.35,137.19,116.16,168.18,3.11,170.67,183.95,212.46,26.24,252.68
25,Net Income Growth,-,-23.69%,-,-19.61%,-36.85%,-20.84%,-88.15%,-32.46%,-,-,-,-
26,Shares Outstanding (Basic),962,965,964,960,969,959,972,935,869,869,869,869
27,Shares Outstanding (Diluted),962,965,964,960,969,959,972,935,869,869,869,869
28,Shares Change (YoY),-0.77%,0.60%,-0.82%,2.61%,11.57%,10.36%,11.87%,7.59%,-,-,-,-
29,EPS (Basic),-0.01,0.13,-0.09,0.14,0.12,0.18,0.00,0.18,0.21,0.24,0.03,0.29
30,EPS (Diluted),-0.01,0.13,-0.09,0.14,0.12,0.18,0.00,0.18,0.21,0.24,0.03,0.29
31,EPS Growth,-,-24.14%,-,-21.66%,-43.40%,-28.27%,-89.40%,-37.22%,-,-,-,-
32,Free Cash Flow,-32.88,227.78,-1118,503.61,55.1,598.1,-859.55,285.24,167.34,-252.47,-1078,479.09
33,Free Cash Flow Per Share,-0.03,0.24,-1.16,0.52,0.06,0.62,-0.88,0.30,0.19,-0.29,-1.24,0.55
34,Dividend Per Share,-,-,-,0.132,-,-,-,0.184,-,-,-,-
35,Dividend Growth,-,-,-,-28.32%,-,-,-,-,-,-,-,-
36,Gross Margin,26.46%,27.56%,24.40%,24.71%,31.05%,27.62%,30.44%,27.13%,32.78%,34.07%,35.91%,29.38%
37,Operating Margin,3.12%,5.52%,-6.15%,4.31%,8.43%,8.62%,-0.59%,4.69%,14.79%,10.46%,2.75%,5.73%
38,Profit Margin,-0.34%,6.57%,-7.96%,5.79%,6.29%,7.24%,0.28%,7.60%,9.38%,9.75%,2.33%,9.17%
39,Free Cash Flow Margin,-1.89%,11.66%,-98.50%,21.27%,2.98%,25.73%,-77.47%,12.70%,8.54%,-11.59%,-95.50%,17.38%
40,EBITDA,148.13,218.6,23.91,195.78,234.83,292.9,72.63,184.45,359.5,304.03,100.7,227.56
41,EBITDA Margin,8.49%,11.19%,2.11%,8.27%,12.72%,12.60%,6.55%,8.21%,18.34%,13.96%,8.92%,8.26%
42,D&A For EBITDA,93.74,110.74,93.74,93.74,79.13,92.48,79.13,79.13,69.65,76.23,69.65,69.65
43,EBIT,54.39,107.86,-69.82,102.04,155.7,200.41,-6.49,105.33,289.85,227.8,31.05,157.91
44,EBIT Margin,3.12%,5.52%,-6.15%,4.31%,8.43%,8.62%,-0.59%,4.69%,14.79%,10.46%,2.75%,5.73%
45,Effective Tax Rate,365.00%,4.99%,-,-,10.88%,13.02%,71.61%,21.32%,8.21%,9.59%,37.92%,0.35%
46,Revenue as Reported,1744,1953,1135,2368,1846,2324,1110,2247,1960,2178,1128,2757
