,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,315.88,97.34,210.72,61.29,1346,123.73,717.63,476.62,607.21,503.83,805.7,856.36,536.56,815.61,319.04,804.52
1,Other Revenue,-,-,-,-,-,-,-,-,0.01,-0,0,-,0.01,-0,0,0
2,Revenue,315.88,97.34,210.72,61.29,1346,123.73,717.63,476.62,607.22,503.83,805.7,856.36,536.58,815.61,319.04,804.52
3,Revenue Growth (YoY),-76.53%,-21.32%,-70.64%,-87.14%,121.66%,-75.44%,-10.93%,-44.34%,13.17%,-38.23%,152.54%,6.44%,-,-,-,-
4,Cost of Revenue,-272.17,74.5,153.02,44.65,1235,90.53,486.57,348.11,507.02,335.2,598.66,661.31,406.41,693.81,223.54,560.97
5,Gross Profit,588.05,22.85,57.7,16.64,111.23,33.2,231.06,128.5,100.19,168.63,207.04,195.04,130.16,121.8,95.5,243.54
6,"Selling, General & Admin",-84.38,30.99,26.09,27.3,35.33,27.49,23.93,25.65,43.53,26.63,23.74,21.58,29.76,25.04,16.47,17.05
7,Research & Development,-144.91,63.53,40.08,41.3,48.21,24.09,64.73,35.6,60.32,37.16,70.85,20.78,111.71,15.13,21.62,11.21
8,Other Operating Expenses,768.92,-15.58,10.7,-10.47,14.21,-2.99,2.52,4.59,5.95,2.16,7.37,-2.09,0.93,1.39,0.6,0.86
9,Operating Expenses,522.15,65.51,97.46,68.43,125.75,20.52,104.31,80.29,116.36,54.89,103.45,36.4,139.85,49.13,37.41,21.76
10,Operating Income,65.9,-42.67,-39.76,-51.79,-14.52,12.69,126.75,48.21,-16.17,113.74,103.59,158.64,-9.68,72.67,58.09,221.78
11,Interest Expense,-50.41,-0.95,-0.93,-0.94,-0.96,-0.94,-0.92,-0.92,-0.93,-0.92,-0.89,-0.91,-0.92,-0.14,-0.14,-
