,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,4435,4452,4214,4693,4836,4629,4142,3090,4211,4525,-,341.78,-,-,473.87
1,Short-Term Investments,-,-,-,-,-,29,-,609.65,1807,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,4435,4435,4452,4214,4693,4865,4629,4752,4897,4211,4525,341.78,341.78,-,473.87,473.87
3,Cash Growth,-5.49%,-8.83%,-3.81%,-11.32%,-4.18%,15.53%,2.29%,1290.34%,1332.90%,-,854.91%,-27.87%,-,-,-,-
4,Accounts Receivable,-,932.47,1150,1401,1365,837.38,1203,1355,1176,958.87,1488,-,898.2,-,-,1284
5,Other Receivables,-,12.81,10.02,4.74,13.17,4.52,3.41,3.57,3.47,2.05,-,-,1.59,-,-,11.01
6,Receivables,-,945.28,1160,1406,1379,841.9,1206,1358,1179,960.92,1488,-,899.8,-,-,1295
7,Inventory,-,1872,1497,1285,988.69,1563,1385,1567,1453,1462,1062,-,1064,-,-,412.12
8,Other Current Assets,-,203.1,105.74,40.9,15.12,33.32,38.27,36.12,25.91,709.06,37.67,-,15.68,-,-,1.56
9,Total Current Assets,-,7456,7215,6945,7075,7304,7258,7714,7556,7343,7113,-,2321,-,-,2182
10,"Property, Plant & Equipment",-,234.54,230.8,228.4,228.84,169.76,156.36,149.53,147.8,134.16,137.01,-,118.51,-,-,122.37
11,Other Intangible Assets,-,19.96,19.5,25.35,24.91,37.05,55.3,62.65,71.83,82.31,94.37,-,139.62,-,-,178.44
12,Long-Term Deferred Tax Assets,-,33.83,35.89,30.44,29.22,28.19,26.8,29.59,27.8,4.18,3.59,-,6.2,-,-,4.25
13,Other Long-Term Assets,-,3.07,7.1,4.17,4.17,1.67,3.73,4.71,4.19,5.23,5.4,-,4.94,-,-,1.53
14,Total Assets,-,7748,7508,7233,7362,7540,7500,7960,7807,7569,7353,-,2590,-,-,2489
15,Accounts Payable,-,1585,1329,1134,1146,1072,1151,1354,1025,1272,1216,-,840.95,-,-,979.48
16,Accrued Expenses,-,24.98,26.33,23.62,111.57,30.37,59.38,19.44,32.69,24.71,123.56,-,30.93,-,-,15.21
17,Current Portion of Leases,-,30.92,31.03,29.87,25.86,32.44,2.23,2.21,2.18,2.5,2.5,-,2.6,-,-,1.04
18,Current Income Taxes Payable,-,1.05,-,0.66,4.2,1.14,20.18,68.05,0.51,15.34,6.7,-,-,-,-,50.11
19,Current Unearned Revenue,-,283.24,243.59,78.04,81.33,480.94,362.74,517.39,798.85,388.01,294.07,-,449.19,-,-,252.51
20,Other Current Liabilities,-,33.2,42.21,21.02,21.2,37.01,28.27,43.57,59.96,34.98,7.14,-,7.16,-,-,5.19
21,Total Current Liabilities,-,1958,1672,1287,1390,1653,1624,2005,1919,1737,1650,-,1331,-,-,1304
22,Long-Term Leases,-,48.86,48.3,50.35,53.98,46.24,75.51,72.04,75.33,74.63,73.71,-,73.97,-,-,12.01
23,Long-Term Unearned Revenue,-,78.68,79.22,60.73,61.74,48.24,42.13,41.76,41.02,22.12,22.59,-,23.54,-,-,7.01
24,Long-Term Deferred Tax Liabilities,-,8.87,9.24,9.62,10.01,10.39,10.74,11.11,11.45,-,-,-,-,-,-,-
25,Total Liabilities,-,2095,1809,1408,1516,1758,1752,2130,2047,1834,1746,-,1428,-,-,1323
26,Common Stock,-,675,675,675,675,675,675,675,675,675,675,-,540,-,-,540
27,Additional Paid-In Capital,-,4406,4403,4401,4397,4395,4392,4389,4385,4375,4372,-,302.3,-,-,290.37
28,Retained Earnings,-,547.64,591.99,722.86,749.86,690.16,661,749.38,684.89,670.09,547.43,-,311.38,-,-,331.97
29,Comprehensive Income & Other,-,23.7,28.5,26.24,23.95,21.96,20.08,17.83,15.6,14.55,12.52,-,8.25,-,-,3.99
30,Shareholders' Equity,5653,5653,5699,5826,5846,5782,5748,5831,5760,5735,5607,1162,1162,-,1166,1166
31,Total Liabilities & Equity,-,7748,7508,7233,7362,7540,7500,7960,7807,7569,7353,-,2590,-,-,2489
32,Total Debt,79.78,79.78,79.33,80.22,79.84,78.68,77.74,74.25,77.51,77.14,76.21,76.57,76.57,-,13.06,13.06
33,Net Cash (Debt),4356,4356,4373,4134,4613,4786,4551,4678,4820,4134,4449,265.21,265.21,-,460.81,460.81
34,Net Cash Growth,-5.58%,-9.00%,-3.91%,-11.63%,-4.29%,15.78%,2.30%,1663.76%,1717.38%,-,865.42%,-42.45%,-,-,-,-
35,Net Cash Per Share,6.95,5.52,7.23,6.12,6.93,6.95,6.59,7.25,7.27,5.98,8.33,0.49,0.48,-,0.87,1.08
36,Filing Date Shares Outstanding,675,675,675,675,675,675,675,675,675,675,675,538.52,540,535.42,527.68,540
37,Total Common Shares Outstanding,675,675,675,675,675,675,675,675,675,675,675,538.52,540,535.42,527.68,540
38,Working Capital,-,5498,5542,5658,5685,5650,5634,5709,5637,5606,5463,-,990.17,-,-,878.75
39,Book Value Per Share,8.37,8.37,8.44,8.63,8.66,8.57,8.52,8.64,8.53,8.50,8.31,2.15,2.15,-,2.16,2.16
40,Tangible Book Value,5633,5633,5679,5800,5821,5745,5693,5768,5689,5653,5512,1022,1022,-,987.88,987.88
41,Tangible Book Value Per Share,8.34,8.34,8.41,8.59,8.62,8.51,8.43,8.55,8.43,8.37,8.17,1.89,1.89,-,1.83,1.83
42,Buildings,-,-,-,-,1.89,-,1.89,-,1.89,-,1.89,-,1.89,-,-,135.32
43,Machinery,-,-,-,-,93.12,-,106.71,-,75.33,-,70.49,-,44.77,-,-,26.63
44,Construction In Progress,-,-,76.5,-,74.4,-,-,-,-,-,-,-,-,-,-,-
