,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,31010,27189,25650,22295,26339,25873,31590,34621,38266,30328,29525,35897,-,-,-,-,-
1,Market Cap Growth,5.09%,5.09%,-18.80%,-35.60%,-31.17%,-14.69%,7.00%,-3.55%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,26654,22833,21277,18162,21725,21086,27039,29943,34132,26194,25076,35564,-,-,-,-,-
3,Last Close Price,45.94,40.28,38.00,33.03,38.83,38.15,46.58,51.04,56.01,44.39,43.21,52.54,-,-,-,-,-
4,PE Ratio,-,-504.28,-,-,-,85.51,124.20,99.49,127.53,81.92,82.88,116.89,-,-,-,-,-
5,Forward PE,103.78,85.32,79.43,51.84,51.27,39.33,53.89,61.34,71.31,56.60,57.55,-,-,-,-,-,-
6,PS Ratio,45.18,39.68,14.95,12.80,11.71,9.71,16.41,15.02,15.99,10.94,10.93,11.91,-,-,-,-,-
7,PB Ratio,5.49,4.81,4.54,3.91,4.52,4.43,5.46,6.02,6.56,5.26,5.15,6.40,-,-,-,-,-
8,P/TBV Ratio,4.83,4.83,4.55,3.93,4.54,4.44,5.50,6.08,6.63,5.33,5.22,6.51,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-264.98,-,-,141.68,114.76,-,90.89,511.02,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-134.53,1303.94,-,-,116.27,100.34,-,80.26,258.45,-,-,-,-,-,-
11,EV/Sales Ratio,38.90,33.32,12.40,10.43,9.66,7.92,14.04,12.99,14.26,9.45,9.28,11.80,-,-,-,-,-
12,EV/EBITDA Ratio,-,-1358.18,-,-,-,88.33,112.34,88.04,103.43,59.70,56.52,89.70,-,-,-,-,-
13,EV/EBIT Ratio,-,-334.20,-,-,-,-,157.69,109.87,136.87,-,68.46,109.36,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-215.85,-,-,121.27,99.26,-,78.50,434.02,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.07,-,0.01,0.01
16,Debt / EBITDA Ratio,-,0.24,-,-,-,1.79,0.62,0.14,0.28,1.53,0.15,0.14,0.11,1.80,-,0.05,0.01
17,Debt / FCF Ratio,-,-,-,-0.94,-,-,0.35,0.26,-,0.23,1.34,-,-2.40,-,-,0.46,-
18,Asset Turnover,-,0.05,0.11,0.03,0.72,0.07,0.37,0.24,0.32,0.27,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.18,0.44,0.16,3.87,0.25,1.32,0.92,1.39,1.06,-,-,-,-,-,-
20,Quick Ratio,-,-,2.75,3.36,4.37,4.37,3.45,3.59,3.05,3.17,2.98,3.64,-,0.93,-,-,1.36
21,Current Ratio,-,-,3.81,4.31,5.40,5.09,4.42,4.47,3.85,3.94,4.23,4.31,-,1.74,-,-,1.67
22,Return on Equity (ROE),2.04%,-3.13%,-0.79%,-1.85%,4.11%,2.02%,10.31%,4.45%,0.80%,8.66%,11.97%,46.35%,-,-,16.84%,-,
23,Return on Assets (ROA),-,-1.40%,-1.35%,-1.77%,-0.49%,0.42%,4.10%,1.53%,-0.53%,3.81%,-,-,-,-,-,-,
24,Return on Capital (ROIC),2.87%,-1.85%,-1.70%,-2.19%,-0.62%,0.54%,5.40%,2.05%,-0.69%,4.95%,7.48%,32.02%,-,-,12.31%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,2.91%,4.64%,4.19%,-,6.28%,5.70%,-,-,-,-,18.71%
26,Earnings Yield,-0.17%,-0.20%,-0.09%,0.23%,0.80%,1.17%,0.81%,1.01%,0.78%,1.22%,1.21%,0.86%,-,-,-,-,-
27,FCF Yield,-,-1.20%,-0.38%,-1.17%,0.04%,0.71%,0.87%,0.28%,1.10%,0.20%,-0.68%,-,-,-,-,-,
28,Dividend Yield,0.38%,-,-,-,-,0.46%,-,-,-,0.79%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,159.22%,-,-,-,0.32%,-,-,0.19%,287.12%,-
30,Buyback Yield / Dilution,-0.23%,5.79%,-14.64%,12.44%,-4.65%,-0.35%,0.52%,-29.37%,-19.76%,-20.95%,-29.20%,-1.19%,-25.81%,-,-,-,-
31,Total Shareholder Return,0.15%,5.79%,-14.64%,12.44%,-4.65%,0.11%,0.52%,-29.37%,-19.76%,-20.15%,-29.20%,-1.19%,-25.81%,-,-,-,-
