,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4266659,5083891,3371817,3461657,4196134,3702920,2777742,2527801,3898838,3584837,3219715,2951713,2846787,2554708,2279701,1567377,2537493,2670110,1839127,1282521,Upgrade
1,Revenue Growth (YoY),1.68%,37.29%,21.39%,36.94%,7.63%,3.29%,-13.73%,-14.36%,36.96%,40.32%,41.23%,88.32%,12.19%,-4.32%,23.96%,22.21%,0.97%,34.73%,6.08%,-19.04%,Upgrade
2,Cost of Revenue,3190287,4107681,2681946,2839681,3199332,3015008,2236018,2094396,3008771,2920201,2543735,2445917,2236184,2087311,1971251,1203483,1972447,2246546,1538795,1034363,Upgrade
3,Gross Profit,1076372,976210,689871,621976,996802,687912,541724,433405,890068,664636,675980,505796,610603,467397,308449,363894,565046,423564,300331,248158,Upgrade
4,"Selling, General & Admin",661662,670327,444938,443166,585225,473747,346376,314999,578738,478828,410570,398187,392153,395679,192559,319049,394252,338186,230900,237550,Upgrade
5,Operating Expenses,661662,670327,444938,443166,585225,473747,346376,314999,578738,478828,410570,398187,392153,395679,192559,319049,394252,338186,230900,237550,Upgrade
6,Operating Income,414710,305884,244933,178811,411577,214164,195348,118407,311329,185808,265410,107609,218450,71718,115890,44845,170793,85379,69432,10608,Upgrade
7,Interest Expense,-85771,-102569,-77777,-87568,-88252,-132866,-111806,-95301,-41605,-44764,-94691,-61347,-46635,-53142,-60708,-58568,-54768,-76668,-76774,-59420,Upgrade
8,Interest & Investment Income,225068,153881,141650,102900,101397,177554,55702,192888,26860,63427,78076,37497,27934,65992,28414,41545,45839,82277,86404,53553,Upgrade
9,Earnings From Equity Investments,-,146655,2622,3048,3985,2321,2335,2108,1057,3318,4438,-,26382,4649,18800,11036,24488,12370,14731,9192,Upgrade
10,Currency Exchange Gain (Loss),-,-,-8511,8511,9799,-,-6543,6543,15542,-,-11721,5364,5424,-,6726,7756,5599,-,-,5726,Upgrade
11,Other Non Operating Income (Expenses),-47783,-142385,-42548,-5292,-30755,-43291,52436,-96383,-119800,-30725,13027,121621,-13642,-11314,6186,9703,-88991,-543.02,-20924,13199,Upgrade
12,EBT Excluding Unusual Items,506224,361465,260369,200409,407751,217883,187472,128260,193383,177064,254539,210745,217913,77902,115308,56317,102961,102815,72868,32856,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-132.82,132.82,-,-,-,-,325.13,-,-325.13,-,93530,-,15.42,315.52,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,14645,-,-,-,93781,-,-,-,604.32,-,-,-,83973,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,2847,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,506224,361465,260236,200542,422396,217883,187472,128260,290336,177064,254214,210745,312047,77902,115323,56632,186935,102815,72868,32856,Upgrade
17,Income Tax Expense,79027,17737,52059,31991,61489,24944,27494,24967,35312,35013,26396,41335,31832,4858,5477,7718,31850,19496,6130,4773,Upgrade
18,Earnings From Continuing Operations,427196,343728,208177,168551,360907,192939,159979,103293,255024,142051,227818,169410,280215,73043,109846,48915,155085,83318,66738,28083,Upgrade
19,Minority Interest in Earnings,-196039,-156963,-115244,-84963,-156109,-94099,-94832,-66155,-112930,-86575,-129853,-90975,-104216,-34343,-48855,-27182,-64227,-36280,-30162,-14253,Upgrade
20,Net Income,231158,186765,92933,83588,204798,98839,65146,37138,142094,55475,97965,78434,175999,38700,60990,21733,90858,47038,36575,13830,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-58249,58249,50934,-,2304,31620,21949,-,36496,7000,49386,-,-,-,Upgrade
22,Net Income to Common,231158,186765,92933,83588,204798,98839,123395,-21111,91160,55475,95661,46815,154049,38700,24494,14733,41471,47038,36575,13830,Upgrade
23,Net Income Growth,12.87%,88.96%,42.65%,125.07%,44.13%,78.17%,-33.50%,-52.65%,-19.26%,43.35%,60.62%,260.90%,93.71%,-17.73%,66.75%,57.15%,5.90%,-34.21%,-39.81%,-64.81%,Upgrade
24,Shares Outstanding (Basic),209,201,217,209,209,209,209,208,209,209,209,209,209,209,209,209,228,207,204,204,Upgrade
25,Shares Outstanding (Diluted),209,201,217,209,209,209,209,208,209,209,209,209,209,209,209,209,228,207,204,204,Upgrade
26,Shares Change (YoY),-0.02%,-3.90%,3.61%,0.28%,-0.05%,0.20%,0.09%,-0.28%,0.09%,-0.30%,0.31%,-0.00%,-8.56%,0.95%,2.08%,2.31%,7.31%,-2.62%,2.06%,-9.12%,Upgrade
27,EPS (Basic),1107.00,930.00,428.33,400.14,980.55,473.00,589.27,-101.34,436.24,266.00,457.23,224.09,737.88,185.00,117.43,70.52,181.65,227.00,179.00,67.73,Upgrade
28,EPS (Diluted),1107.00,930.00,428.33,400.00,980.16,473.00,589.07,-101.34,436.24,266.00,375.81,224.02,737.43,185.00,117.43,70.03,181.15,227.00,179.00,67.73,Upgrade
29,EPS Growth,12.94%,96.62%,-27.29%,-,124.68%,77.82%,56.74%,-,-40.84%,43.78%,220.02%,219.91%,307.08%,-18.50%,-34.39%,3.39%,2.00%,-32.44%,-40.96%,-61.28%,Upgrade
30,Free Cash Flow,2471135,774265,-4563013,-566547,1477316,-673120,-3535394,-1878730,689237,-766436,-1442294,1892696,-2069306,128826,51795,-130065,1151317,150476,-1462506,-308924,Upgrade
31,Free Cash Flow Per Share,11834.12,3855.47,-21030.91,-2712.12,7073.21,-3221.24,-16883.06,-9018.63,3298.33,-3675.00,-6893.65,9059.89,-9911.72,615.83,248.32,-622.56,5042.87,726.17,-7157.52,-1512.89,Upgrade
32,Dividend Per Share,-,-,-,-,500.000,-,-,-,-,-,-,-,-,-,-,-,500.000,-,-,-,Upgrade
33,Gross Margin,25.23%,19.20%,20.46%,17.97%,23.76%,18.58%,19.50%,17.15%,22.83%,18.54%,21.00%,17.14%,21.45%,18.30%,13.53%,23.22%,22.27%,15.86%,16.33%,19.35%,Upgrade
34,Operating Margin,9.72%,6.02%,7.26%,5.17%,9.81%,5.78%,7.03%,4.68%,7.99%,5.18%,8.24%,3.65%,7.67%,2.81%,5.08%,2.86%,6.73%,3.20%,3.78%,0.83%,Upgrade
35,Profit Margin,5.42%,3.67%,2.76%,2.41%,4.88%,2.67%,4.44%,-0.84%,2.34%,1.55%,2.97%,1.59%,5.41%,1.51%,1.07%,0.94%,1.63%,1.76%,1.99%,1.08%,Upgrade
36,Free Cash Flow Margin,57.92%,15.23%,-135.33%,-16.37%,35.21%,-18.18%,-127.28%,-74.32%,17.68%,-21.38%,-44.80%,64.12%,-72.69%,5.04%,2.27%,-8.30%,45.37%,5.64%,-79.52%,-24.09%,Upgrade
37,EBITDA,532063,429377,388559,318176,538070,348922,326492,225030,415079,313822,369758,200825,344539,144361,216576,138177,269830,190852,168340,96691,Upgrade
38,EBITDA Margin,12.47%,8.45%,11.52%,9.19%,12.82%,9.42%,11.75%,8.90%,10.65%,8.75%,11.48%,6.80%,12.10%,5.65%,9.50%,8.82%,10.63%,7.15%,9.15%,7.54%,Upgrade
39,D&A For EBITDA,117353,123494,143626,139365,126493,134757,131144,106624,103750,128014,104347,93215,126089,72644,100685,93332,99036,105473,98909,86083,Upgrade
40,EBIT,414710,305884,244933,178811,411577,214164,195348,118407,311329,185808,265410,107609,218450,71718,115890,44845,170793,85379,69432,10608,Upgrade
41,EBIT Margin,9.72%,6.02%,7.26%,5.17%,9.81%,5.78%,7.03%,4.68%,7.99%,5.18%,8.24%,3.65%,7.67%,2.81%,5.08%,2.86%,6.73%,3.20%,3.78%,0.83%,Upgrade
42,Effective Tax Rate,15.61%,4.91%,20.00%,15.95%,14.56%,11.45%,14.67%,19.47%,12.16%,19.77%,10.38%,19.61%,10.20%,6.24%,4.75%,13.63%,17.04%,18.96%,8.41%,14.53%,Upgrade
43,Revenue as Reported,4266659,5083891,3371817,3461657,4196134,3702920,2777742,2527801,3898838,3584837,3219715,2951713,2846787,2554708,2279701,1567377,2537493,2670110,1839127,1282521,Upgrade
