,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2973806,1203195,1110779,1753700,1402443,864373,1023137,1263464,1837987,2042381,2519788,5560575,2841257,2460135,3176968,2676967,2025757,3134014,2874251,3259010,Upgrade
1,Short-Term Investments,696065,930714,508836,372971,624639,310139,1011001,675477,796904,384639,468244,248851,51747,70352,95604,138858,199533,178278,195911,328397,Upgrade
2,Trading Asset Securities,9893136,10573747,10574125,6674166,4299,6673853,3599,3303142,2956,1103345,1103770,4291,96705,3614,3786,753719,904265,1652626,1653096,403189,Upgrade
3,Cash & Short-Term Investments,13563007,12707656,12193740,8800837,2031380,7848364,2037737,5242084,2637847,3530365,4091802,5813716,2989708,2534101,3276358,3569545,3129555,4964918,4723258,3990596,Upgrade
4,Cash Growth,567.67%,61.91%,498.40%,67.89%,-22.99%,122.31%,-50.20%,-9.83%,-11.77%,39.31%,24.89%,62.87%,-4.47%,-48.96%,-30.63%,-10.55%,-7.57%,79.27%,92.50%,75.53%,Upgrade
5,Accounts Receivable,1277487,1851106,1277774,1520822,1413602,1374734,1014280,1272041,1302024,1445305,1297072,1171472,921352,1137063,796548,685871,888838,829863,632646,505985,Upgrade
6,Other Receivables,49381,148202,70202,110491,63456,88104,69800,109128,64969,70894,55185,94173,85457,52531,59272,106481,95509,114887,107676,121699,Upgrade
7,Receivables,1369885,2036825,1373542,1848742,2228972,1528917,1108694,1455483,1941422,1780158,1363506,1561582,1461887,1572672,1205898,1142430,1329095,948327,740322,627684,Upgrade
8,Inventory,3098515,3193745,3771180,3050043,3083430,3747235,3747807,3018263,3049409,3242253,2976025,2583013,2525662,2229615,2382988,1586843,1453935,1957129,1850799,1511731,Upgrade
9,Prepaid Expenses,34822,36962,36341,47686,63552,66650,78058,40023,40583,36185,24848,-,19894,19241,21793,25761,23896,29270,31449,22578,Upgrade
10,Other Current Assets,233061,241723,218691,292066,6873444,240685,6916444,318206,2445659,348694,307350,436671,3061804,424038,383709,548812,232571,595387,146454,204037,Upgrade
