,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,5556600,4961250,4929916,5013474,5191035,4219674,4251008,4115227,3488542,3122977,4658353,4324121,6632408,8042448,5849053,5661048,5911721,7250869,4252311,4150114,4217310,Upgrade
1,Market Cap Growth,17.57%,17.57%,15.97%,21.83%,48.80%,35.12%,-8.74%,-4.83%,-47.40%,-61.17%,-20.36%,-23.62%,12.19%,10.92%,37.55%,36.41%,40.18%,49.66%,-14.94%,-15.84%,-33.53%,Upgrade
2,Enterprise Value,7488938,8453484,9234230,9027442,8988479,8620146,15052355,8219372,9478603,7309140,8080573,7771042,9403389,12033657,9826702,9170548,8879209,10377437,7533612,7042003,6778468,Upgrade
3,Last Close Price,26600.00,23750.00,23600.00,24000.00,24335.51,19781.78,19928.67,19292.13,16354.24,14640.48,21838.30,20271.43,31092.65,37702.90,27420.29,26538.92,27714.08,33285.23,19520.30,19040.69,18704.96,Upgrade
4,PE Ratio,9.35,8.35,8.68,10.44,10.17,10.40,14.54,16.53,-,10.80,13.23,12.90,25.12,34.67,48.99,44.32,42.28,52.20,31.45,25.99,22.94,Upgrade
5,PS Ratio,0.34,0.31,0.31,0.34,0.37,0.32,0.33,0.32,0.26,0.23,0.37,0.37,0.62,0.87,0.65,0.63,0.69,0.87,0.51,0.54,0.56,Upgrade
6,PB Ratio,1.10,0.56,0.57,0.60,0.61,0.51,0.53,0.52,0.44,0.40,0.64,0.60,0.87,1.01,0.93,0.91,0.97,1.17,0.70,0.70,0.68,Upgrade
7,P/TBV Ratio,1.50,1.50,1.56,1.70,1.72,1.44,1.56,1.59,1.37,1.25,1.94,1.90,3.06,4.21,3.26,3.27,3.41,4.22,2.65,2.72,2.66,Upgrade
8,P/FCF Ratio,-,-2.63,-1.71,-,-,-0.92,-,-,-,8.37,-,-,1653.46,-,4.87,4.63,-,-15.44,-2.04,-,-,Upgrade
9,P/OCF Ratio,-,-3.10,-1.88,-,-,-0.99,-,-,-,2.99,-,-,10.37,-,3.50,3.71,-,-32.35,-2.80,-,-,Upgrade
10,EV/Sales Ratio,0.46,0.52,0.57,0.61,0.64,0.65,1.17,0.64,0.72,0.54,0.64,0.67,0.88,1.30,1.10,1.01,1.03,1.25,0.91,0.92,0.90,Upgrade
11,EV/EBITDA Ratio,4.11,5.07,5.52,5.66,5.87,5.99,11.44,6.42,7.16,5.62,6.58,7.33,10.38,14.26,12.78,11.25,11.57,14.30,10.47,10.06,9.30,Upgrade
12,EV/EBIT Ratio,5.78,7.39,8.09,8.60,8.99,9.18,17.94,10.14,10.76,8.40,10.40,11.72,18.31,26.69,24.37,22.00,23.97,30.87,21.67,19.99,16.99,Upgrade
13,EV/FCF Ratio,-3.97,-4.49,-3.21,-,-,-1.87,-,-,-,19.58,-,-,2344.26,-,8.18,7.50,-,-22.10,-3.62,-,-,Upgrade
14,Debt / Equity Ratio,1.32,1.32,1.43,1.54,1.08,1.09,1.10,1.21,0.75,0.67,0.66,0.64,0.76,0.64,0.63,0.75,0.76,0.62,0.95,0.95,0.73,Upgrade
15,Debt / EBITDA Ratio,7.01,5.50,7.25,8.30,7.21,4.23,6.33,7.27,6.61,3.16,3.81,3.12,7.23,3.71,6.82,5.39,8.35,3.54,7.49,8.41,11.68,Upgrade
16,Debt / FCF Ratio,-,-6.21,-4.33,-,-,-1.97,-,-,-,14.05,-,-,1448.79,-,3.28,3.82,-,-8.13,-2.75,-,-,Upgrade
17,Asset Turnover,0.72,0.86,0.62,0.69,0.85,0.76,0.62,0.63,1.03,1.03,0.89,0.77,0.83,0.85,0.75,0.54,0.81,0.81,0.60,0.45,Upgrade,
