,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,25.54,43.83,28.96,250.61,71.2,75.99,33.55,474.14,77.27,64.59,31.38,402.13,56,48.66,21.48,310.71
1,Other Revenue,-,-,-,0.23,-,-,-,0.11,-0,0,-,1.31,-0.46,0.46,-,0.13
2,Revenue,25.54,43.83,28.96,250.84,71.2,75.99,33.55,474.25,77.27,64.59,31.38,403.44,55.55,49.11,21.48,310.84
3,Revenue Growth (YoY),-64.13%,-42.32%,-13.68%,-47.11%,-7.85%,17.64%,6.91%,17.55%,39.10%,31.52%,46.14%,29.79%,-,-,-,-
4,Cost of Revenue,10.85,21.19,13.22,109.84,29.55,37.19,15.42,215.48,29.26,34.4,13.75,182.6,25.41,23.29,6.86,132.92
5,Gross Profit,14.69,22.64,15.75,141,41.65,38.79,18.14,258.77,48.01,30.19,17.63,220.85,30.14,25.83,14.61,177.92
6,"Selling, General & Admin",29.38,26.19,26.31,28.09,27.72,24.8,25.76,37.01,23.69,20.66,20.89,29.9,16.61,16.22,13.99,20.49
7,Research & Development,20.39,20.4,16.09,21.91,17.21,15.59,13.85,18.71,15.35,11,8.73,14.41,7.67,6.8,7.22,9.75
8,Other Operating Expenses,-5.32,0.84,0.63,20.5,-17.59,16.36,-15.22,30.4,-4.15,-3.92,-17.57,4.98,-3.45,-0.35,-11.04,1.47
9,Operating Expenses,49.04,41.92,35.22,104.35,29.86,57.51,19.28,108.69,36.18,27.41,12.94,65.92,28.66,23.72,9.9,40
10,Operating Income,-34.35,-19.28,-19.48,36.65,11.79,-18.72,-1.15,150.08,11.82,2.78,4.69,154.93,1.47,2.1,4.72,137.92
11,Interest Expense,-0.79,-0.71,-1.11,-0.8,-0.31,-0,-0.03,-0.09,-0.04,-0.07,-0.05,-0.06,-0.02,-0.04,-0.02,-0.28
12,Interest & Investment Income,6.79,4.11,4.04,10.87,4.8,4.24,4.24,10.45,6.86,7.02,2.18,0.86,0.22,0.59,0.46,0.11
13,Other Non Operating Income (Expenses),-0.28,0.18,-0.06,-2.3,0.24,-10.38,0.02,3.44,-0.15,0.04,-0.08,-0.17,0.05,-0.11,0.01,0.67
14,EBT Excluding Unusual Items,-28.63,-15.69,-16.61,44.41,16.51,-24.86,3.09,163.89,18.5,9.77,6.74,155.56,1.73,2.55,5.17,138.42
15,Gain (Loss) on Sale of Investments,0.08,2.24,2.84,-6.6,2.52,2.9,2.52,-4.33,1.75,-1.21,4.44,0.44,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.02,-,0,-,-,0,0.02,0.17,-,-,-,-,0.01,-0.01,-,-
17,Asset Writedown,8.68,-2.35,2.35,-1.48,1.48,-0.08,0.08,-1.23,0.88,0.3,-0.3,-0.43,0.43,0.41,-0.42,-0.67
18,Other Unusual Items,-3.12,4.19,-,32.65,-15.58,15.58,-,34.3,-,-,-,34.14,-0.27,0.27,-,10.25
19,Pretax Income,-22.97,-11.62,-11.42,68.98,4.92,-6.46,5.7,192.81,21.12,8.87,10.88,189.71,1.91,3.23,4.75,147.99
20,Income Tax Expense,-0.99,-3.48,-2.4,9.86,-0.85,-1.95,-1.07,26.84,5.14,0.5,0.19,30.56,-1.78,0.06,-0.52,21.76
21,Net Income,-21.98,-8.14,-9.02,59.12,5.78,-4.51,6.77,165.96,15.98,8.37,10.68,159.15,3.68,3.16,5.27,126.23
22,Net Income to Common,-21.98,-8.14,-9.02,59.12,5.78,-4.51,6.77,165.96,15.98,8.37,10.68,159.15,3.68,3.16,5.27,126.23
23,Net Income Growth,-,-,-,-64.38%,-63.85%,-,-36.67%,4.28%,334.12%,164.39%,102.86%,26.08%,-,-,-,-
24,Shares Outstanding (Basic),141,135,129,136,176,90,135,130,139,136,128,122,95,108,95,92
25,Shares Outstanding (Diluted),141,135,129,136,176,90,135,130,139,136,128,122,95,108,95,92
26,Shares Change (YoY),-19.99%,49.68%,-4.76%,4.33%,27.00%,-33.43%,5.51%,6.44%,46.06%,25.90%,35.40%,32.32%,-,-,-,-
27,EPS (Basic),-0.16,-0.06,-0.07,0.44,0.03,-0.05,0.05,1.28,0.12,0.06,0.08,1.30,0.04,0.03,0.06,1.37
28,EPS (Diluted),-0.16,-0.06,-0.07,0.44,0.03,-0.05,0.05,1.28,0.12,0.06,0.08,1.30,0.04,0.03,0.06,1.37
29,EPS Growth,-,-,-,-65.85%,-71.53%,-,-39.98%,-2.02%,197.23%,110.00%,49.82%,-4.72%,-,-,-,-
30,Free Cash Flow,-82.92,-26.16,-16.01,60.86,-93.18,-73.57,-87.01,93.3,-90.44,-63.3,-74.15,224.32,-51.69,-45.17,-62.57,214.44
