,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,66.24,83.3,118.97,91.13,100.9,156.74,120.61,370.25,125.05,206.88,294.94,697.11,27.03,78.7,-,189.03
1,Short-Term Investments,-,461.74,-,435.9,-,406.8,-,350.49,-,452.37,-,100.07,-,-,-,-
2,Trading Asset Securities,255.46,335.9,359.92,357.33,311,325.95,332.6,300.65,262.42,351.58,624.51,373.44,-,-,-,-
3,Cash & Short-Term Investments,321.7,880.93,478.89,884.36,411.89,889.5,453.21,1021,387.47,1011,919.44,1171,27.03,78.7,189.03,189.03
4,Cash Growth,-21.90%,-0.96%,5.67%,-13.42%,6.30%,-12.00%,-50.71%,-12.75%,1333.23%,1184.44%,386.39%,519.27%,-,-,-,-
5,Accounts Receivable,467.59,483.27,492.28,576.03,487.11,457.54,436.3,528.58,298.75,297.7,310.22,323.77,216.97,248.2,-,232.21
6,Other Receivables,5.93,7.62,6.44,7.5,-,6.55,-,1.86,3.49,1.51,2.12,0.06,5.53,0.35,-,0.34
7,Receivables,473.52,490.89,498.72,583.53,487.11,464.08,436.3,530.45,302.24,299.22,312.34,323.82,222.5,248.55,-,232.56
8,Inventory,204.32,138.04,134.4,129.53,163.28,125.65,131.46,124.23,218.74,146.35,124.85,115.29,179.49,95.24,-,66.16
9,Other Current Assets,554.11,24.57,434.27,11.36,405.93,26.45,508.91,15.29,557.26,12.08,189.77,7.83,55.1,18.14,-,9.78
10,Total Current Assets,1554,1534,1546,1609,1468,1506,1530,1691,1466,1468,1546,1618,484.12,440.63,-,497.53
