,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,3223,3152,3372,2532,3566,4048,5480,5947,5339,3934,4376,4192,6238,-,-,-,-
1,Market Cap Growth,-22.14%,-22.14%,-38.47%,-57.43%,-33.21%,2.90%,25.23%,41.88%,-14.41%,-,-,-,-,-,-,-,-
2,Enterprise Value,3036,2372,3025,2180,3214,3180,5030,5565,4957,2929,3461,4168,6214,-,-,-,-
3,Last Close Price,23.74,23.14,25.24,18.73,26.37,29.94,40.09,43.50,39.05,28.77,32.01,30.56,45.47,-,-,-,-
4,PE Ratio,160.57,-,-,-,53.10,23.26,-,30.18,26.56,20.26,24.06,23.73,36.42,-,-,-,-
5,Forward PE,9.20,8.97,9.78,8.02,11.40,14.08,18.24,20.61,19.77,16.16,19.29,19.36,-,-,-,-,-
6,PS Ratio,9.19,9.03,8.54,5.93,8.26,6.18,8.29,9.15,8.25,6.82,7.89,7.77,11.78,-,-,-,-
7,PB Ratio,2.07,1.95,2.07,1.53,2.15,2.51,3.41,3.58,3.23,2.66,2.99,2.79,4.19,-,-,-,-
8,P/TBV Ratio,2.01,2.01,2.13,1.57,2.20,2.58,3.51,3.64,3.28,2.70,3.04,2.81,4.21,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-18.49,-,-,-,-39.67,-,-,-,96.12,-,-,-,-
10,P/OCF Ratio,187.46,-,-,-122.78,-49.98,-,-,-,-445.59,-,-,-,74.84,-,-,-,-
11,PEG Ratio,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.55,-,-,-,-,-
12,EV/Sales Ratio,8.69,6.79,7.66,5.11,7.45,4.85,7.61,8.57,7.66,5.08,6.24,7.73,11.73,-,-,-,-
13,EV/EBITDA Ratio,-,-,-,-,83.05,20.84,-,31.95,27.58,15.90,19.91,24.24,36.15,-,-,-,-
14,EV/EBIT Ratio,-,-,-,-,112.50,22.39,-,-,29.26,16.81,21.12,25.54,38.07,-,-,-,-
15,EV/FCF Ratio,-47.27,-,-,-,-16.66,-,-,-,-36.83,-,-,-,95.75,-,-,-,-
16,Debt / Equity Ratio,0.08,0.08,0.06,0.08,0.07,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,-
17,Debt / EBITDA Ratio,-,-,-,-,0.63,1.04,-,0.48,0.01,0.10,0.24,0.14,0.01,0.22,0.19,-,-
18,Debt / FCF Ratio,-,-,-,-,-0.56,-,-,-,-0.03,-,-,-,0.05,-,-,-,-
19,Asset Turnover,0.05,0.09,0.06,0.52,0.16,0.16,0.07,1.02,0.18,0.15,0.07,1.33,0.37,-,-,-,
20,Inventory Turnover,0.84,0.25,0.62,0.40,3.00,0.82,1.16,0.48,5.03,0.64,1.01,0.46,4.96,0.74,-,-,-
21,Quick Ratio,2.18,2.18,4.16,3.00,3.96,4.26,6.10,4.38,4.50,3.17,7.19,5.46,4.93,1.17,1.96,-,1.75
22,Current Ratio,4.25,4.25,4.65,4.74,4.34,6.97,6.79,7.53,4.91,6.74,8.06,6.85,5.34,2.28,2.64,-,2.07
23,Return on Equity (ROE),-5.43%,-1.98%,-2.18%,14.44%,1.44%,-1.10%,1.63%,42.37%,4.34%,2.26%,2.86%,66.91%,3.58%,3.14%,5.30%,-,
24,Return on Assets (ROA),-4.36%,-2.44%,-2.42%,4.73%,1.61%,-2.53%,-0.15%,20.27%,1.77%,0.41%,0.67%,32.00%,0.61%,-,-,-,
25,Return on Capital (ROIC),-4.94%,-2.74%,-2.74%,5.32%,1.79%,-2.85%,-0.17%,23.88%,2.00%,0.47%,0.78%,40.57%,0.89%,1.30%,2.97%,-,
26,Return on Capital Employed (ROCE),-,-,-,-,1.71%,8.74%,-,-,10.24%,11.73%,11.19%,10.86%,10.95%,35.31%,35.32%,-,34.63%
27,Earnings Yield,0.62%,0.63%,1.42%,2.03%,1.88%,4.30%,3.36%,3.31%,3.76%,4.94%,4.16%,4.21%,2.75%,-,-,-,-
28,FCF Yield,-1.99%,-2.04%,-2.21%,-4.81%,-5.41%,-3.96%,-2.88%,-2.48%,-2.52%,-0.09%,0.80%,1.27%,1.04%,-,-,-,-
29,Dividend Yield,0.61%,-,-,-,0.57%,-,-,-,1.14%,-,-,-,0.86%,-,-,-,-
30,Payout Ratio,112.36%,-,-,-,0.56%,1033.26%,-,-,-,-,632.28%,-,-,-,-,-,0.26%
31,Buyback Yield / Dilution,-1.66%,19.99%,-49.68%,4.76%,-4.33%,-27.00%,33.43%,-5.51%,-6.44%,-46.06%,-25.90%,-35.40%,-32.32%,-,-,-,-
32,Total Shareholder Return,-1.05%,19.99%,-49.68%,4.76%,-3.76%,-27.00%,33.43%,-5.51%,-5.30%,-46.06%,-25.90%,-35.40%,-31.47%,-,-,-,-
