,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+15 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+15 Quarters
0,Other Revenue,225332,185263,207154,67706,285069,67882,284551,245651,228966,465789,97079,84565,294089,243723,231917,121790,75474,75474,203149,56062,Upgrade
1,Total Revenue,225332,185263,207154,67706,285069,67882,284551,245651,228966,465789,97079,84565,294089,243723,231917,121790,75474,75474,203149,56062,Upgrade
2,Revenue Growth (YoY,-20.96%,172.92%,-27.20%,-72.44%,24.50%,-85.43%,193.11%,190.49%,-22.14%,91.11%,-58.14%,-30.57%,289.66%,222.92%,14.16%,117.24%,-51.86%,-47.91%,419.75%,39.33%,Upgrade
3,Property Expenses,175808,109346,125111,35870,190626,43032,198160,172070,165092,314275,67470,61100,195763,160695,153294,83845,53999,53999,139710,48071,Upgrade
4,"Selling, General & Administrative",37695,40059,37845,15752,45105,13250,57951,46009,50188,83466,15912,10927,21289,16440,27605,13752,8245,8245,14522,3329,Upgrade
5,Total Operating Expenses,213503,149406,162956,51622,235731,56283,256111,218080,215281,397741,83382,72026,217052,177135,180899,97597,62243,62243,154231,51400,Upgrade
6,Operating Income,11828,35858,44198,16084,49337,11599,28440,27571,13685,68049,13698,12538,77037,66588,51019,24194,13230,13230,48918,4663,Upgrade
7,Interest Expense,-5251,-3748,-3210,-3513,-3442,-3663,-6518,-1911,-6347,-4256,-3497,-2874,-4155,-567.4,-718.06,-320.64,-28.85,-28.85,-1501,-1346,Upgrade
8,Interest & Investment Income,1877,973.28,1808,768.11,12159,12847,12241,11627,5417,2404,54358,2557,5276,1181,6267,6250,4479,4479,2120,171.13,Upgrade
9,Other Non-Operating Income,-3363,2645,7104,5892,2550,6344,-11231,694.31,2105,5266,6232,5869,1462,3879,9450,6795,4441,4441,1619,537.72,Upgrade
10,EBT Excluding Unusual Items,5092,35728,49899,19231,60605,27127,22932,37981,14860,71463,70790,18090,79621,71080,66018,36918,22121,22121,51156,4025,Upgrade
11,Pretax Income,5092,35728,49899,19231,60605,27127,22932,37981,14860,71463,70790,18090,79621,71080,66018,36918,22121,22121,51156,4025,Upgrade
12,Income Tax Expense,2202,7918,10028,3996,12333,5535,4688,7697,3145,16216,13767,3657,15843,14334,13352,7517,4300,4300,11148,979.32,Upgrade
13,Earnings From Continuing Operations,2890,27810,39871,15236,48272,21592,18244,30284,11715,55247,57023,14433,63778,56746,52665,29401,17821,17821,40008,3046,Upgrade
14,Minority Interest in Earnings,11.43,-0.83,-2.66,2.53,-2.85,1.67,-9.98,-5.82,-1.38,-120.36,-71.1,-117.57,-84.29,0.03,0.06,0.13,-4.19,-4.19,9.09,0.16,Upgrade
15,Net Income,2901,27809,39868,15238,48269,21594,18234,30279,11714,55127,56952,14316,63694,56746,52665,29401,17817,17817,40017,3046,Upgrade
16,Net Income to Common,2901,27809,39868,15238,48269,21594,18234,30279,11714,55127,56952,14316,63694,56746,52665,29401,17817,17817,40017,3046,Upgrade
17,Net Income Growth,-93.99%,28.78%,118.65%,-49.67%,312.07%,-60.83%,-67.98%,111.51%,-81.61%,-2.85%,8.14%,-51.31%,257.49%,218.49%,31.61%,865.23%,-25.47%,298.11%,3245.37%,476.28%,Upgrade
18,Basic Shares Outstanding,173,174,173,173,174,174,174,173,172,173,166,165,83,83,83,83,41,41,41,41,Upgrade
19,Diluted Shares Outstanding,173,174,173,173,174,174,174,173,172,173,166,165,83,83,83,83,41,41,41,41,Upgrade
20,Shares Change (YoY),-0.08%,-0.20%,-0.18%,0.08%,0.79%,0.46%,4.70%,4.82%,107.75%,108.71%,99.56%,98.71%,104.62%,104.97%,105.03%,104.05%,2.84%,-0.93%,0.88%,-0.85%,Upgrade
21,EPS (Basic),16.72,160.00,230.00,88.00,278.00,124.00,105.00,175.00,68.00,318.00,343.36,86.73,768.14,683.19,633.63,353.93,439.67,439.67,987.13,74.82,Upgrade
22,EPS (Diluted),16.72,160.00,230.00,88.00,278.00,124.00,105.00,175.00,68.00,318.00,343.36,86.73,768.14,683.19,633.63,353.93,439.67,439.67,987.13,74.82,Upgrade
