,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,667.15,1132,1083,931.84,1188,1605,1978,1028,-,515.08,-
1,Trading Asset Securities,697.28,488.18,564.84,677.1,628.11,445.69,-,-,-,-,-
2,Cash & Short-Term Investments,1364,1620,1648,1609,1816,2051,1978,1028,-,515.08,372.84
3,Cash Growth,-24.86%,-21.00%,-16.68%,56.49%,-,298.22%,430.52%,-,-,-,-
4,Accounts Receivable,162.02,59.13,112.18,161.4,184.71,220.06,173.81,174.22,-,323.16,-
5,Other Receivables,4.05,128.78,3.35,55.89,7.31,48.74,1.54,48.76,-,43.08,-
6,Receivables,166.07,187.91,115.53,217.29,192.02,268.79,175.35,222.98,-,366.24,-
7,Inventory,93.25,107.05,76.01,67.62,57.6,46.87,65.29,105.39,-,97.78,-
8,Other Current Assets,215.68,103.52,131.34,30.59,74.02,13.14,63.37,26.3,-,14.05,-
9,Total Current Assets,1839,2019,1971,1924,2139,2380,2282,1383,-,993.15,-
10,"Property, Plant & Equipment",1312,1192,1066,1039,907.99,448.49,412.53,424.03,-,404.28,-
11,Long-Term Investments,278.76,276.1,277.33,275.59,274.96,448.16,443.45,532.22,-,832.45,-
12,Goodwill,6.45,6.45,6.45,6.45,6.45,-,-,-,-,-,-
13,Other Intangible Assets,2717,2726,2727,2733,2743,2348,2352,2353,-,1818,-
14,Long-Term Deferred Tax Assets,34.74,29.77,28.01,28.04,49.76,38.31,39.04,39.66,-,41.94,-
15,Long-Term Deferred Charges,125.83,39.48,44.16,50.31,19.97,1.91,1.4,0.57,-,0.6,-
16,Other Long-Term Assets,51.05,25.3,136.21,128.29,33.56,25.36,33.31,25.73,-,96.74,-
