,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 7, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5024,5136,4552,4744,5648,6360,6112,6784,-,-,-,-
1,Market Cap Growth,-19.25%,-19.25%,-25.52%,-30.07%,-,-,-,-,-,-,-,-
2,Enterprise Value,4700,4573,3888,3841,4745,5214,4726,6702,-,-,-,-
3,Last Close Price,6.28,6.42,5.64,5.77,6.87,7.73,7.31,8.11,-,-,-,-
4,PE Ratio,29.12,27.66,20.47,24.25,30.27,34.91,43.41,35.03,-,-,-,-
5,Forward PE,-,29.93,29.93,29.93,29.93,34.95,33.58,38.55,-,-,-,-
6,PS Ratio,4.17,3.96,4.12,4.92,6.52,10.05,9.50,9.63,-,-,-,-
7,PB Ratio,1.63,1.31,1.19,1.24,1.51,1.71,1.83,2.06,-,-,-,-
8,P/TBV Ratio,14.21,14.21,13.98,13.40,18.58,22.79,11.01,10.91,-,-,-,-
9,P/FCF Ratio,-,-,-,-54.29,-,802.84,-,-71.99,-,-,-,-
10,P/OCF Ratio,11.53,11.53,10.38,11.58,16.72,27.17,24.04,24.88,-,-,-,-
11,EV/Sales Ratio,3.63,3.53,3.52,3.99,5.48,8.24,7.34,9.51,-,-,-,-
12,EV/EBITDA Ratio,9.83,9.86,10.36,13.09,19.75,27.78,23.62,29.54,-,-,-,-
13,EV/EBIT Ratio,13.20,12.84,14.21,19.08,30.77,48.42,40.81,46.10,-,-,-,-
14,EV/FCF Ratio,-14.39,-,-,-43.95,-,658.21,-,-71.12,-,-,-,-
15,Debt / Equity Ratio,0.06,0.06,0.07,0.06,0.07,0.06,0.14,0.08,0.21,-,0.10,0.18
16,Debt / EBITDA Ratio,0.46,0.35,0.46,0.63,1.12,0.84,1.76,1.45,19.17,-,0.59,1.56
17,Debt / FCF Ratio,-,-,-,-2.84,-,28.54,-,-2.84,-,-,-,1.36
18,Asset Turnover,0.25,0.22,0.16,0.21,0.14,0.14,0.11,-,-,-,-,
19,Inventory Turnover,9.49,8.53,7.01,7.46,13.27,9.48,8.26,4.57,-,-,-,-
20,Quick Ratio,1.39,1.39,1.89,1.93,2.00,2.73,2.66,2.91,0.86,-,0.63,-
21,Current Ratio,1.67,1.67,2.11,2.16,2.11,2.91,2.73,3.09,0.95,-,0.71,-
22,Return on Equity (ROE),11.66%,12.00%,7.30%,3.85%,13.16%,5.55%,5.00%,-,-,19.88%,-,
23,Return on Assets (ROA),5.14%,4.77%,2.94%,1.32%,2.01%,2.12%,1.27%,-,-,-,-,
24,Return on Capital (ROIC),7.90%,7.32%,4.53%,2.05%,3.08%,3.23%,2.01%,-,-,8.23%,-,
25,Return on Capital Employed (ROCE),6.77%,6.77%,5.11%,3.77%,2.92%,1.98%,2.40%,3.01%,-,-,3.94%,-
26,Earnings Yield,3.70%,3.62%,4.88%,4.12%,3.30%,2.86%,2.30%,2.85%,-,-,-,-
27,FCF Yield,-6.50%,-6.36%,-2.55%,-1.84%,-1.40%,0.12%,0.11%,-1.39%,-,-,-,-
28,Dividend Yield,1.59%,-,2.96%,-,1.70%,-,-,-,-,-,-,-
29,Payout Ratio,83.84%,81.05%,153.57%,6.21%,14.86%,101.04%,11.94%,13.71%,36.70%,4.88%,2.81%,7.65%
30,Buyback Yield / Dilution,-21.86%,-75.25%,12.81%,-34.05%,-18.90%,7.16%,-95.63%,-0.47%,-,-,-,-
31,Total Shareholder Return,-20.27%,-75.25%,15.77%,-34.05%,-17.20%,7.16%,-95.63%,-0.47%,-,-,-,-
