,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,411.59,318.81,244.13,271.64,214.86,183.77,146.72,54.19,229.18,240.77,202.9
1,Other Revenue,-20.55,20.55,-,49.19,-13.53,13.53,-,33.56,-17.35,17.35,-
2,Revenue,391.04,339.36,244.13,320.83,201.33,197.3,146.72,87.75,211.83,258.13,202.9
3,Revenue Growth (YoY),94.23%,72.00%,66.40%,265.61%,-4.96%,-23.56%,-27.69%,-,-,-,-
4,Cost of Revenue,213.44,160.45,133.94,207.64,123.82,115.85,97.57,66.08,127.8,132.23,145.72
5,Gross Profit,177.6,178.91,110.19,113.19,77.52,81.45,49.15,21.68,84.03,125.9,57.19
6,"Selling, General & Admin",27.37,30.71,24.15,60.06,19.8,23.11,15.9,24.26,22.25,35.94,14.52
7,Research & Development,1.32,2.3,-,1.79,0.1,0.58,-,-,-,-,-
8,Other Operating Expenses,16.89,24.36,13.74,21.2,8.38,11.22,6.11,4.99,10.97,14.14,9.66
9,Operating Expenses,47.37,59.04,36.92,80.52,29.8,33.77,23,35.52,28.19,48.66,24.18
10,Operating Income,130.23,119.88,73.28,32.67,47.71,47.68,26.15,-13.85,55.84,77.24,33.01
11,Interest Expense,-2.89,-2.76,-2.83,-2.93,-3.32,-4.51,-4.51,-5.59,-2.58,-2.32,-3.57
12,Interest & Investment Income,6,8.72,9.84,10.75,79.39,11.46,20.28,21.67,36.89,37.32,19.46
13,Other Non Operating Income (Expenses),1.77,-0.9,0.16,2.23,-0.35,0.83,-1.26,2.34,-2.92,-0.21,0.41
14,EBT Excluding Unusual Items,135.11,124.93,80.45,42.72,123.44,55.45,40.66,4.58,87.22,112.03,49.31
15,Gain (Loss) on Sale of Investments,1.1,0.34,-0.26,-0.01,-0.58,1.69,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.06,0.02,0.12,2.71,-,0.08,-,-,-,-,-
17,Asset Writedown,0.84,-,-,-2.98,-,-,-,-,-,-,-
18,Other Unusual Items,-5.38,4.36,1.02,5.3,2.19,-2.19,-,2.59,-4.65,4.65,-
19,Pretax Income,131.73,129.66,81.32,47.74,125.05,55.03,40.66,7.16,82.58,116.67,49.31
20,Income Tax Expense,18.85,14.77,12.24,11.86,9.17,9.02,4.73,-1.72,9.94,14.45,6.35
21,Earnings From Continuing Operations,112.88,114.89,69.08,35.88,115.88,46.01,35.94,8.89,72.63,102.22,42.97
22,Minority Interest in Earnings,-45.15,-52.37,-28.76,-20.78,-11.47,-10.18,-4.65,1.76,-9.61,-13.51,-5.24
23,Net Income,67.73,62.53,40.32,15.1,104.4,35.83,31.28,10.65,63.03,88.71,37.72
24,Net Income to Common,67.73,62.53,40.32,15.1,104.4,35.83,31.28,10.65,63.03,88.71,37.72
25,Net Income Growth,-35.12%,74.51%,28.89%,41.77%,65.65%,-59.61%,-17.07%,-,-,-,-
26,Shares Outstanding (Basic),855,776,806,1007,488,890,602,847,525,455,599
27,Shares Outstanding (Diluted),855,776,806,1007,488,890,602,847,525,455,599
28,Shares Change (YoY),75.25%,-12.81%,34.05%,18.90%,-7.16%,95.63%,0.47%,-,-,-,-
29,EPS (Basic),0.08,0.08,0.05,0.01,0.21,0.04,0.05,0.01,0.12,0.20,0.06
30,EPS (Diluted),0.08,0.08,0.05,0.01,0.21,0.04,0.05,0.01,0.12,0.20,0.06
31,EPS Growth,-62.98%,100.14%,-3.85%,19.23%,78.42%,-79.35%,-17.46%,-,-,-,-
32,Free Cash Flow,-137.65,-44.45,17.81,-162.29,73.02,-15.93,25.97,-75.14,71.77,-116.84,262.31
33,Free Cash Flow Per Share,-0.16,-0.06,0.02,-0.16,0.15,-0.02,0.04,-0.09,0.14,-0.26,0.44
34,Dividend Per Share,-,0.050,-,0.117,-,-,-,0.128,-,-,-
35,Dividend Growth,-,-,-,-8.59%,-,-,-,-,-,-,-
36,Gross Margin,45.42%,52.72%,45.14%,35.28%,38.50%,41.28%,33.50%,24.70%,39.67%,48.77%,28.18%
37,Operating Margin,33.30%,35.32%,30.01%,10.18%,23.70%,24.16%,17.82%,-15.78%,26.36%,29.92%,16.27%
38,Profit Margin,17.32%,18.43%,16.52%,4.71%,51.86%,18.16%,21.32%,12.13%,29.75%,34.37%,18.59%
39,Free Cash Flow Margin,-35.20%,-13.10%,7.30%,-50.58%,36.27%,-8.07%,17.70%,-85.63%,33.88%,-45.27%,129.28%
40,EBITDA,156.16,150,99.21,58.6,67.67,67.84,46.1,6.1,80.09,94.62,57.26
41,EBITDA Margin,39.93%,44.20%,40.64%,18.27%,33.61%,34.38%,31.42%,6.96%,37.81%,36.66%,28.22%
42,D&A For EBITDA,25.93,30.12,25.93,25.93,19.95,20.16,19.95,19.95,24.25,17.39,24.25
